#,Title,JPja,USen
1,"""0000""",マモに換金,Exchange for mon.
2,"""0002""",マモで買い物,Spend some mon!
3,"""0003""",やめとく,Never mind.
4,"""0005""",やっぱり好き,"Actually, I like them."
5,"""0006""",はい,OK.
6,"""0007""",いいえ,Never mind.
7,"""0008""",あなたは？,Who are you?
8,"""0009""",さようなら,Good-bye.
9,"""0010""",好き,I like them.
10,"""0011""",嫌い,I hate them.
11,"""0012""",かなり好き,I ADORE monsters!
12,"""0013""",とても好き,A whole lot!
13,"""0014""",まあまあ好き,Quite a bit.
14,"""0015""",そこそこ好き,Just a little.
15,"""0016""",換金する,Exchange for mon.
16,"""0018""",魔物について聞きたい,About monsters...
17,"""0019""",岩の巨像のこと,The stone colossus.
18,"""0020""",森の巨人のこと,The forest giant.
19,"""0021""",砂の巨獣のこと,The giant sand beast.
20,"""0023""",マモって？,What is mon?
21,"""0024""",魔物素材って？,Monster parts?
22,"""0025""",やめとく,Never mind.
23,"""0026""",マモノショップ？,Monster shop?
24,"""0027""",全部換金する,All of them!
25,"""0028""",ぜんぶ買う,I'll buy them all!
26,talk00,"それでは是非 お持ちの魔物素材を
マモに換金してください！","So let's exchange the monster parts
you have for mon!"
27,talk01,"こんばんは
マモノショップへようこそ","Good evening. And welcome to
Fang and Bone."
28,talk02,"魔物素材を手に入れたら
また来てくださいね","If you come across some
monster parts, come on back!"
29,talk03,魔物素材を手に入れられましたか？,"I imagine you have some monster parts
on your person."
30,talk04,それでは…,So now...
31,talk05,あありがとうございますっ！,"Oh, thank you very much!"
32,talk06,"ええ…ええ…
何度でも ご説明させていただきます","Yes, yes.
I'm happy to explain as many times as
you need."
33,talk07,"マモは私が発明した
私の店でしか使えない通貨でございます
魔物素材を持って来ていただいたら
マモに換金致しますので
マモをいっぱい貯めて私の研究成果でもある
マモノグッズを是非ゲットしてください","Mon is a currency I invented to
destabilize the market and fight the
establishment!
Just kidding, there is no establishment in
Hyrule! I just love monsters so much that
I turned them into money!
Here's the deal: if you bring me
monster parts, I'll exchange them for
mon.
I'm the only business in Hyrule that
accepts mon as payment!
Pretty exclusive, eh?
Anyway, you can spend your mon on
various types of monster gear that I've
created based on my research."
34,talk09,そうですか… それは残念です,I see... That's a shame.
35,talk10,このニオイは ボコブリンか はたまた…,This smells like Bokoblin or maybe...
36,talk100,"岩の巨像…それはまたの名をイワロック

その辺の岩に化け土の下に隠れている
頑丈なヤツらです
文献によれば その数40体","The stone colossus... More commonly
known as the Stone Talus.

They masquerade as normal rocks,
burying themselves in the ground.
Stubborn is an understatement...
According to the most recent count,
there are 40 of them in Hyrule."
37,talk101,"あなた これまで全40体のうち体の
イワロックを倒しましたね！","Let's see how many Stone Taluses
you've harvested so far...
Looks like  out of 40."
38,talk102,"クンクン…

あなた…まだイワロックを
1体も倒していないようですね…
それでは私からヒントを…

ヤツの体は硬過ぎて
ほとんど傷つける事ができません
しかし体の一部に色の違う場所があるはずです
そこを狙えば…","*sniff sniff*


You...you haven't killed any
Stone Taluses yet?! Whew... You have
your work cut out for you.
Let me give you a hint: these guys are
literally made of stone, so you can't just
swing blindly and hope to take them out.
But one part of their body is a
different color. If you hit them there,
your fortune may improve."
39,talk103,"あなた！全てのイワロックを
倒して来たんですね！
ああ この臭い…イワロックの生態が
手に取るように分かる…","You—! You've defeated every last
Stone Talus!

Oh, you are FRAGRANT, my friend.
It smells like there's a Stone Talus
standing right in front of me!"
40,talk104,これは岩の巨像イワロックを全て倒した証,"This is proof you have defeated every
Stone Talus in the land."
41,talk105,岩の巨像キラーさん！,You're a real rock crusher!
42,talk106,"あの巨体がどこまで成長するものなのか
まだまだ興味が尽きませんね…
ありがとうございましたっ！","I wonder how big that thing will get...
Things just keep getting more and more
interesting.
Thank you very much!"
43,talk107,"ヒノックスは4種類に分けられそうですが
なんとそれぞれ食べ物の好みが違うとは…
私もちょっと お腹が減ってきました","I knew there were four types of
Hinoxes, but I just recently learned that
each type has different food preferences.
Not me, though. I'll eat anything!"
44,talk12,それではまた美しき夜に…,"I hope to see you again another
monstrous night..."
45,talk13,"それでは お預かりしているマモで
何かと交換しますか？","What would you like to buy with your 
mon?"
46,talk14,"魔物素材とは
魔物を倒すと落とす ブツでございます
角や牙…色や形は様々ですが
魔物の体の一部である事が多いですね
珍しい物ほど いいお値段で
マモに換金させていただきます","Monster parts are the things that
monsters drop when they expire.

You know—horns, fangs, eyes...
The color and size may differ a bit,
but they're all monster parts.
The more rare they are, the more mon
they're worth!"
47,talk15,"あれ…
魔物素材を お持ちでない…？","Hmm... Do you not have any
monster parts?"
48,talk16,"…おや？
魔物素材を1つも お持ちでないようです…","Hmm? Seems like you don't have any
monster parts."
49,talk17,"こんばんは…
御用は何でしょう？","Good evening...
How may I help you?"
50,talk17B,"こんばんは…
御用は何でしょう？","Good evening...
Can I help you with anything?"
51,talk18,"魔物から出る素材…
手に入れたら また夜にお越しくださいね","The things that monsters drop when
they die. Come back at night once
you get some."
52,talk19,どれをマモに換金致しましょう,What will you exchange for mon?
53,talk20,他に御用は ございますか？,Can I help you with anything else?
54,talk200,"森の巨人…それはまたの名をヒノックス

世界中の森で眠っている
一つ目の巨人です
文献によれば その数40体","The forest giant... Also known as the
Hinox.

These sleepy, one-eyed giants spend
their days in forests around the world.

According to the latest count,
there are 40 of them in Hyrule."
55,talk201,"あなた これまで全40体のうち体の
ヒノックスを倒しましたね！","So far you've defeated  of the 40
Hinoxes!"
