#,Title,JPja,USen
1,"""0000""",女神像の話,The Goddess Statue?
2,"""0001""",若かった時の話,Ever left the town?
3,"""0002""",さよなら,Good-bye.
4,talk00,"……

なぜヴォーイがここに…","...


What's a voe doing here..."
5,talk01,"その辺の小娘はごまかせても
このムバキュは騙されないよ
でも… まあ…
アタシにはどうでもいいことだけどさ…
それより こんな裏通りまで来てくれたんだ
ちょっと話相手になってくれないかい？","Surprised? You might be able to fool all
the other vai around here, but you won't
fool me so easily.
Don't worry, though. It doesn't matter
much to me what you do.

But...since you came all the way back
here, maybe you'd like to stay a bit
and chat?"
6,talk02,"ここにある女神像は アタシの生まれる
ず～っと前からあるらしいんだけどさ…
ここではだ～れも信仰してないから
今ではこんな場所に追いやられてるってわけさ
アタシと同じ…

だからアタシぐらいは側にいてやんないとね…","Oh, the Goddess Statue has been here
since long before I was even born.

No one here really believes in that stuff
anymore, though, so they tend to avoid
stopping here.
Kind of like they avoid me...


But someone has to keep the Goddess
Statue company, so here I am..."
7,talk03,"これでもね アタシは若い時
べっぴんさんだったんだよ
ヴォーイはみ～んな
アタシに夢中だったよ…
でもね…
アタシも若かった…夢を見たくてねぇ…
運命の人と出会えるっていう
ラブポンドを探して
このハイラルをずっと旅してたんだ…

そしたらどうだい…
気づいたらけっこうな年になっちまってね…
ラブポンドも見つからなけりゃ
旦那も見つからなかったってわけさ…
なんだい？ その辛気臭い面は？
笑い話なんだから笑っとくれよ","Oh ho, I may not look it now, but I was
quite the traveler when I was young.
Quite a beauty, too!
It was a rare thing for a voe not to notice
me come into a room.

But...I had a fairy-tale notion in my mind.
I'd heard of the Lover's Pond, and I
thought I'd meet my true love there.
I traveled all across Hyrule, searching for
this fabled place. But I couldn't find it...

And before I knew it, I'd grown old. The
voe no longer turned when I walked in.

Oh, don't look so sad! I stopped being
sad about it a long time ago.
And I chased my dreams!"
8,talk04,"アタシみたいにならないように
後悔しないように生きるんだよ","Just live your life to the fullest, little voe!"
9,talk05,"こんな裏通りまで来てくれたんだ
ちょっと話相手になってくれないかい？","Since you came all the way back here,
maybe you'd like to stay a bit and chat?"
10,talk06,"ふふ… またヴォーイと話せるなんてねぇ…
まだ付き合ってくれるのかい？","Heheheh... It's such a treat to chat with
a voe again. Will you humor me a little
bit longer?"
11,talk07,サヴォッ…,Sav'o...
12,talk08,サヴァー…,Sav'a...
13,talk09,サヴァサー…,Sav'saa...
14,talk10,"やあ可愛いヴォーイさん
","Hey there, Mr. Cute Voe."
15,talk11,サヴォッタ,Sav'otta.
16,talk12,サヴァーク,Sav'aaq.
17,talk13,サヴァサーバ,Sav'saaba.
