#,Title,JPja,USen
1,"""0000""",特別な氷？,Special drinks?
2,"""0001""",おススメは？,Recommendations?
3,"""0002""",さよなら,Good-bye.
4,"""0003""",ミルクある？,How about milk?
5,talk00,"ハイリアの お嬢ちゃんかい？

いくつか知らないが
お嬢ちゃんには ウチはまだ早いようだね
ウチで使ってる氷は特別でね…
違いがわかる年齢になってから また来るんだね","Oh, are you a Hylian vai?
We don't see too many of you...

I can't tell how old you are, but you look
a little young to be coming to my shop.

You see, we mix special drinks here.
Drinks that are definitely just for adults..."
6,talk01,"ウチは王族用の氷室氷を
回してもらっていてね
だからこそ冷たいのはもちろん
酒の香りを引き立てることができるのさ…","Well, a big part of the drink is the
ice we use from the icehouse.
It makes them especially refreshing."
7,talk02,"ウチの看板カクテルは
ヴァーイミーツヴォーイ
ほとんどのヴァーイが
これを目当てにやってくるんだ
ほんのり あまじょっぱくてね…
ふふ…恋の味ってやつさ…","Our featured cocktail is called Noble
Pursuit. Many of our customers come
here specifically to order it.
The light, sweet taste... The cool
sensation from each sip... It's like
drinking distilled motivation!"
8,talk03,サヴォーク お嬢ちゃん…,"Sav'orq, little vai..."
9,talk04,"ハイリアのお嬢ちゃんかい？

いくつか知らないが
お嬢ちゃんには ウチはまだ早いようだね
ウチで使ってる氷は特別でね…
違いがわかる年齢になってから また来るんだね","Oh, are you a Hylian vai?
We don't see too many of you...

I can't tell how old you are, but you look
a little young to be coming to my shop.

You see, we mix special drinks here.
Drinks that are definitely just for adults..."
10,talk05,"ハイリアのお嬢ちゃん
外の人間は冷たいって聞いてたけど
お嬢ちゃんは違うようだね
大人になったら またおいで
その時はとびっきりのヴァーイミーツヴォーイ
ごちそうするからさ","Vasaaq, little Hylian vai. I've heard
people beyond our walls were cold, but
you don't seem to be...
Be sure to come back when you're all
grown up. I'll help you celebrate with
a Noble Pursuit!"
11,talk06,"ミルクだって？

そんな ヴェーヴィの飲みモンなんざ
ウチには ないよ
どうせ服屋のイグレッタにでも
からかわれたんだろう？
まったく陰でコソコソと
何をやってんだか…
そういや ウチの客も
アイツの店の話をしてたねぇ
まぁ隠されれば隠されるほど
若いもんは興味を持つもん なんだろうねぇ","Milk?! We don't carry anything as
childish as milk here!

Did Greta tell you to come here and ask
that? That store clerk is just playing
a prank on you.
Good grief, doesn't she have anything
better to do with her time?

She's always being so secretive about
her shop. But hiding something just
makes young people more interested..."
12,talk07,"まぁ お嬢ちゃんには
ウチの店は まだ早いってことだよ","Well, you're a little too young to be
here, don't you think?"
13,talk08,"まぁ お嬢ちゃんには
ウチの店は まだ早いってことだよ","Well, you're a little too young to be
here, don't you think?"
14,talk09,"そういえば…
最近 パクトを見ないねぇ…
毎日のように ウチのヴァーイミーツヴォーイを
飲みに来てたんだけどねぇ…
ああ ごめんよ
お嬢ちゃんには関係のない話だったね","That reminds me... I haven't seen Pokki
around lately...

She used to come here every day to
drink a Noble Pursuit, too.

Oh, I'm sorry! I don't know why I'm even
telling you this."
15,talk10,ヴァーサーク…,Vasaaq...
