#,Title,JPja,USen
1,Near_00,腰がはいっとらんぞ！,Put your back into it!
2,Near_01,フンッ！ フンッ！,Hah! Hah!
3,TerrorArrow,迎え撃ってやる！,An ambush!
4,TerrorBomb,それは一体…？,What's that?
5,TerrorExplosion,なっ なんだ！,Wh-what?!
6,TerrorFire,熱いではないか！,Hot! That's hot!
7,TerrorSword,く来るなら来い！,You wanna throw down?!
8,talk00,"見てわからないのか！
今ここは厳戒態勢中なんだ！！
よそ者は ご遠慮願おうか！","Can't you tell that we're on high
alert right now?! And no, you can't help!
Outsiders must stay out of it!"
9,talk01,"今ここは厳戒態勢中だと言っとるのに
お前もその女も勝手に兵舎に入ってくるとは
こんな状態でなければ
二人とも たたっ斬ってやるところだ！","Despite my warnings, you and this vai
here keep wandering into the barracks!

Know that the only reason you're not
already sliced into pieces is because
we are otherwise occupied!"
10,talk02,"見ての通り
今は槍の特訓中だ！
チーク様の許可が下りたといっても
我々の邪魔はしてくれるなよ","As you can see, we are in the middle of
spear training!

Teake's permission or no, I would ask
that you not interfere!"
11,talk03,"兜を取り戻したとはいえ
今回のような失態は二度とあってはならぬ
後輩の手本となるべく
訓練を怠らないようにしないとな
なんたって私は
後輩達にとって憧れの存在だからな！","Now that the chief's heirloom has been
returned, we must prevent such a crime
from happening again!
I must never neglect my training. My
diligence will inspire each and every one
of those who strive to be like me!"
12,talk04,"ふんっ…
私のこの勇ましい姿…
後輩たちの
強烈なほどの羨望のまなざしを感じるな
お前も私のようになりたければ
鍛錬を怠らんことだな！","Heh...
My brave, strong appearance...

I can feel the gazes of those weaker than
I am.

If you want to be like me, too, then
you must never neglect your training!"
13,talk05,"そのヴァーイの願い
かなえてやりたいところだが…
モルドラジークは この私でも手が出せぬ強敵…
並みの兵士では無理だろうな…","I'd like to help that vai out, but...


A Molduga is a much stronger foe
than even I can handle. It would be
impossible for an average soldier."
14,talk06,"私は礼など言わんぞ

後輩たちの指導に熱が入りすぎて
お前に後れを取っただけで
本来なら
賊どもなど皆この槍で蹴散らしてやったものを
ゲルドの民として次何かあった時は
私が この街もルージュ様もお守りするのだ
その時は私の邪魔をするんじゃないぞ！","You're not going to hear any gratitude
from me.

I got too wrapped up in coaching my
subordinates and fell behind is all.

As a member of the Gerudo, it is my duty
to prevent something like this from ever
happening again!
I will protect the town and Lady Riju with
all my strength. And you'd better not
get in the way!"
