#,Title,JPja,USen
1,"""0000""",見学する,I'll observe.
2,"""0001""",やめておく,"No, thanks."
3,"""0002""",ハートミルクスープ？,Creamy heart soup?
4,"""0003""",さよなら,Good-bye.
5,"""0004""",そうですね！,Yeah!
6,"""0005""",それはどうかと…,I'm not sure...
7,TerrorArrow,お 落ち着きなさい！,C-calm down!
8,TerrorBomb,何をする気？,What're you trying to do?!
9,TerrorExplosion,きゃぁ！,Eeek!
10,TerrorFire,や やめなさい！,"S-stop it, please!"
11,TerrorSword,な なんなの？！,Wh-what?!
12,near00,あら…,"Oh, my..."
13,talk00,"あら…私の恋のＡＢＣレッスンを
受けたいのかしら？","Oh... Would you be interested in my
class on interacting with voe in the world
outside this town?"
14,talk01,"みなさ～ん

この可愛いヴァーイに日頃のお勉強の成果を
見せて差し上げましょう
では…

ステキヴォーイが歩いてきます
アナタ達なら どうする？","OK, everyone!
Let's show our cute observer what we've
been learning in class!
Now then...


You're walking down the street on your
way somewhere, and a handsome voe
you've never met approaches..."
15,talk02,"ハイ！

さりげなく ハンカチーフを落とします！","Oh!


I would wave casually to him but also
keep myself prepared in case he's a
distraction for a bandit ambush!"
16,talk03,"プシャンちゃんは古典派なのね

ハンカチは柄物というより
少しだけレースが付いた上品な物がおススメよ","Excellent thinking, Pasha! That's a
prudent approach to a new situation.

Remember that sometimes voe may look
suspicious but are just being wary due to
the sight of a daunting Gerudo."
17,talk04,"ハイ！

足をくじいたふりをします！","Oh!


I would enthusiastically greet him,
approaching with a smile and with my
hands clearly empty!"
18,talk05,"まぁ ディショーナちゃん
そのあざとさ…
大事なことよね～

その時には ズボンじゃなくて
スカートをはいておくと よりセクシーよ","Wow, Dina, that's a very optimistic
approach to take!

Being overtly friendly is an excellent way
to put the stranger's mind at ease."
19,talk06,"ハイ！

力ずくで仕留めます！","Oh!


I would walk casually toward him and
then strike a fierce blow when he least
suspected it!"
20,talk07,"リッスンちゃん…

それは犯罪よ…","Risa...


That would be a crime..."
21,talk08,"あら…私の恋のＡＢＣレッスンを
受けたいのかしら？
そんなに急がなくても
レッスンは みんなが集合してからよ
急いては事を仕損じる…恋も同じよ","Oh... Are you interested in sitting in on
my class \""Voe and You\""? It may even
teach you a thing or two!
There's no hurry—we won't be starting
until everyone has arrived."
22,talk09,"アナタ…
心に決めた人はいる？","Do you already care deeply for
someone?"
23,talk10,"この子達は まだヴォーイと
触れ合ったこともないの…
運命の人に巡り合った時に
射止められるよう後押しするのが私の役目なの","These young vai have never even met a
voe before.

It's my duty to help prepare them for
what they'll encounter in the world
beyond Gerudo Town, good and bad."
24,talk11,"あら アナタもヴォーイハントのレッスン
受けたいのかしら？
夜は私のお家で お料理教室をやってるの
良かったらおいでなさいな","Oh, are you interested in the classes I
teach to vai before they set off from
Gerudo Town?
I teach a cooking class at my house at
night. If you want, please stop by!"
25,talk12,"あら…私の恋のお料理レッスンを
受けたいのかしら？
ヴォーイを射止めたいなら
一緒にどうかしら…？
と言いたいところなんだけど
今日レッスンしようと思ってた
ハートミルクスープのレシピが
ちょっと思い出せないのよね…","Oh... Would you be interested in my
cooking class?

I'm sure even with what you may already
know from your travels, you'd learn
something in my class!
However, while I'd love to invite you to
join us...

I can't seem to remember the recipe for
the creamy heart soup I was planning to
make for today's lesson."
26,talk13,"ハートミルクスープをマスターすれば
ヴォーイも マスターできるといわれていてね
フレッシュミルクとビリビリフルーツと
ヒンヤリメロンが1つずつ
あとはハート型の野菜が2つ必要なんだけど…

そのハート形の野菜がなんだったのか…
どうしても思い出せないのよね…","They say that a Gerudo who masters
making creamy heart soup can master
almost anything in the world.
I know you need some fresh milk, one
voltfruit, one hydromelon...and
two heart-shaped vegetables...
But I just can't seem to remember...
Grrr, what was that heart-shaped
vegetable?"
27,talk14,"あら私のヴォーイハントのレッスン
受けたいのかしら？
恋のABC教室なら兵舎の中よ
良かったらおいでなさいな","Oh, are you interested in the classes I
teach to vai before they set off from
Gerudo Town?
My \""Voe and You\"" class is in the
barracks. If you'd like, please stop by."
