#,Title,JPja,USen
1,"""0000""",近衛の剣を交換する,It's yours.
2,"""0001""",近衛の両手剣を交換する,It's yours.
3,"""0002""",近衛の槍を交換する,It's yours.
4,"""0003""",近衛の弓を交換する,It's yours.
5,"""0004""",近衛の盾を交換する,It's yours.
6,"""0005""",交換しない,I can't trade now.
7,"""0006""",聞きたい,Tell me...
8,"""0007""",いや大丈夫,"Nope, I'm good."
9,"""0008""",ゴロン式で！,Goron style!
10,"""0009""",リト式で！,Rito style!
11,"""0010""",ゾーラ式で！,Zora style!
12,"""0011""",他のやり方で！,Another way!
13,"""0012""",ゲルド式で！,Gerudo style!
14,"""0013""",シーカー式で！,Sheikah style!
15,"""0014""",自分のやり方で！,My own way!
16,talk_00,"ここから北に行くと見える城行ったことある？
100年前に滅んだと言われる ハイラル城……
あそこ昔の武器とか結構お宝が手に入るから
たまに それを頂戴しに行ってたのよ
なかでも近衛シリーズって呼ばれる
すんごい武器があるらしくて
武器コレクターの間では有名でね
私も一度見てみたいんだけどさ…
最近妙な霧が出てきてから
魔物も機械のバケモノも活発になって……
もう忍び込むのは危険すぎるわ
あなたも命が惜しかったら近づかないことね","Have you gone to the giant castle north
of here? That's Hyrule Castle.

It's said to have fallen to ruin over a
hundred years ago.

I used to sneak in there to salvage
ancient treasures, but it's too dangerous
to go in there now.
These days it's surrounded by an eerie
mist and savage machine-like creatures.

Back when it was safer, I went in looking
for this ultra-rare equipment that once
belonged to the royal guard.
It's legendary among collectors, but I
was never able to find any..."
17,talk_01,"ハイラル城…… きっと まだ沢山
知らないお宝が眠ってるんでしょうね","I bet you there are still all kinds of 
treasures hidden away in Hyrule Castle
that we don't even know about..."
18,talk_hint00,"えっ？ お城に侵入する気なの？
いろんな方法があるけど…聞いていく？","What?! You're planning to break into the
castle? There are various ways to get in.
You want some advice?"
19,talk_hint01,お城に侵入する方法…聞いていく？,"Do you want me to give you some advice
on getting into the castle?"
20,talk_hint02,"まぁ危険だから近づかないことを勧めるわ
どうしても行くなら準備をしっかりね","It's deathly dangerous near there so I
can't recommend it, but if you're set on
going, make sure you're prepared."
