#,Title,JPja,USen
1,Atacked00,"はぁ… はぁ…
危なかったねぇお互い…","Whew... Hoo, boy... That was
pretty dangerous for both of
us. But mostly for you."
2,Atacked01,魔物は まだいるみたいだなぁ…,"I don't like the look of this... There are
still some monsters running around..."
3,Failed00,アイタタ…古傷も一緒に痛みだした…,"Ow ow ow... My bum knee's started
acting up on me now, too!"
4,Failed01,心配だなぁ…また襲われるんじゃないか？,"I'm feeling really stressed out... What if
we get attacked again?"
5,Guardian00,"とっとと逃げよう…
ガーディアンが おいらたちを探してるはず","We've got to get out of here!
There's a Guardian after us!"
6,MSG_Rane_00,"心配だなぁ ゾーラ川の上流…
雨がずっと降り続いてるらしいからなぁ
ゾーラ族のみなさん
洗濯物を干せないよなぁ
あれ？ゾーラ族って服着てなかったかな？
いや普通に着てたっけ？
心配だなぁ おいらの記憶力…","I've been really worried about Zora River
lately... It's been raining nonstop, from
what I hear...
Those poor Zora can't hang their
laundry out to dry. Not in weather
like that!
Wait. Do Zora even wear clothes?
Maybe? I can never remember...
Should I be worried about my memory?"
7,MSG_Rane_00_1,"ゾーラ川の上流は
ずっと雨が降ってるんだってなぁ
あれじゃ洗濯物を干せないよなぁ…","It's been raining for ages upstream
on Zora River. I'm worried that nobody's
laundry will dry..."
8,MSG_Rane_01,"ゾーラ族には もう会ったかな？

この湿地帯に住んでる種族なんだけど
君と馬が合うかどうか心配だなぁ
馬というか魚な感じなんだけどね","Have you ever met any Zora?


They're an aquatic race that lives in this
watery region. I'm a little worried about
how they'll take to you, though...
Seeing as how you don't have fins."
9,MSG_Rane_01_1,"君は もうゾーラ族には会ったかな？
なんと言うか…魚っぽい感じのヤツらだよ","Have you ever met any Zora? They're
the, uh, how should I put this...
The fishy ones."
10,MSG_Rane_02,"ちゃんと行けるか心配だなぁ…

いやねじつはこれから君に
カカリコ村への行き方を教えるんだけどね
いいかい覚えてくれよ
この丘を南東に登ればいいんだ
とはいえ…ちゃんと行けるか心配だなぁ","I'm not sure I should tell you this...
I'm worried about what you'd do with
the knowledge...
Oh, well. I guess I'll tell you anyway!
Here's how you get to Kakariko Village.

So pay attention. At the fork in the road
here, head east.

Of course, now that I've told you how to
get there... I'm worried you'll never
make it."
11,MSG_Rane_02_1,"カカリコ村は この丘の上だよ
君がちゃんと行けるか心配だなぁ","If you're trying to get to Kakariko Village,
head east at the fork here. But I'm a little
worried about you making it all the way."
12,MSG_Rane_03,"心配だなぁカカリコ村の農家…

村で一番の特産品が ニンジンかカボチャかで
ちょっとした争いが起きてるらしくてね","I'm worried about the farmers in
Kakariko Village...

They grow pumpkins and carrots. It's
sort of their specialty. But I hear there's
a little war going on between them..."
13,MSG_Rane_03_1,"カカリコ村は特産品がニンジンかカボチャかで
争ってるんだって心配だなぁ…","Farmers in Kakariko Village are fighting
over whether carrots or pumpkins should
be their official vegetable.
I worry about them..."
14,MSG_Rane_04,"心配だなぁカカリコ村の長…

かなり長く生きてらっしゃるらしいから
誕生日のローソクがケーキを覆いつくしそうで…","I've been worried about the elder of
Kakariko Village lately...

She's lived a really long life...so her
birthday cake must be just covered in
candles... What if it just tastes like wax..."
