#,Title,JPja,USen
1,"""0000""",買う,Show me your goods.
2,"""0001""",売る,I'm selling.
3,"""0002""",さようなら,Good-bye.
4,"""5500""",はい,Yeah.
5,"""5501""",いいえ,"No, thanks."
6,"""5502""",買う,I'll take it.
7,"""5503""",やっぱりやめる,Never mind.
8,"""5507""",ぜんぶ買う,I'll take 'em all!
9,"""5508""",ぜんぶ売る,All of them.
10,Atacked00,今はただ耐えるだよ…,I'm just barely keeping it together here...
11,Atacked01,オラ こんな状況イヤだ…,I hate it here...
12,Com_Talk_00,どれを売ってくれるだ？,What do you want to sell?
13,Com_Talk_01,"を売るだか？
ルピーになるけんど いいだか？","I can give you  rupees for that.
Does that work for you?"
14,Com_Talk_02,"ありがとさん！
他にも何か あるだか？",Thanks! Did you need something else?
15,Com_Talk_02b,ありがとさん！,Thanks!
16,Com_Talk_02c,どうもどうも ありがとさん！,Thank you so much!
17,Com_Talk_02d,どうも ありがとさん！,"Thanky, thanky!"
18,Com_Talk_04,そりゃ残念だで…,That's too bad...
19,Com_Talk_05,何か買い取るだよ！,I'll buy something off of you!
20,Com_Talk_05b,何でも買い取るだよ！,I'll buy anything!
21,Com_Talk_05c,何か売ってくれるだか？,You'll sell me something?
22,Com_Talk_05d,何でも買うだよ！,I'll buy anything!
23,Com_Talk_06,どれを買ってくれるだか？,Which would you like to buy?
24,Com_Talk_07,それは今切らしちまってるだよ…,I'm out of that right now...
25,Com_Talk_08,"ルピーさ足りねえだな
もう少し稼いでくるしかねえべな","You don't have enough rupees. You'll
just have to earn some and come back."
26,Com_Talk_09,"ポーチが中サ いっぱいだ
何か売るなり捨てるなりするしかねえべさ","Your inventory is full. You'll have to sell
or discard something."
27,Com_Talk_10,を買うだね？,"Ooo, good choice."
28,Com_Talk_11,ありがとさん,Thanks!
29,Com_Talk_11b,いやいや ありがとさん,"Oh, thank you!"
30,Com_Talk_11c,どうもどうも,Thanky.
31,Com_Talk_11d,どうもどうも ありがとさん,Thank you so much.
32,Com_Talk_12,"オラの自慢の品ぞろえ
のんびり見てってくんろ","I'm quite proud of my assortment of
shrooms. Take your time looking."
33,Com_Talk_13,"を売るだか？
いくつ売るだ？",And how many do you want to sell?
34,Com_Talk_14,"を個・・・
合計ルピーで買い取るけんど？","You're selling  of them? I'll give you
 rupees."
35,Com_Talk_15,それは オラんとこでは買い取れねえだよ,"Yeah, I can't buy those here."
36,Com_Talk_16,"服を着たまま売る人は いねえべさ
売りたければ普通は脱ぐだよ","Who tries to sell something they're still
wearing? If you want to sell it, take
it off first."
37,Com_Talk_20,"あいにくの天気だで特別に…
珍しいキノコさ売ってあげてもいいだよ","I'm running a little bad-weather special
today. Check out my rare mushrooms."
38,Com_Talk_30,"が個で
合計ルピーになるだよ？","It'll be  rupees for  of them.
Is that OK?"
39,Com_Talk_31,"を買うだね？
いくつ買うだ？",How many do you want to buy?
40,Com_Talk_33,"を ひとつだけだか？
そしたらルピーだで",I can offer you  rupees for that.
41,Com_Talk_34,"を あるだけ全部？
個だからルピーになるけんど？","I have  of them, so that comes out
to  rupees. Deal?"
42,Com_Talk_35,"を個全部だか？
そしたらルピーで買い取るけんど？","I'll give you  rupees for  of
them. Deal?"
43,Com_Talk_36,"これで最後だべな
たくさん買ってくれて いいお客さんだで","That was the last of it. Thanks for being
such a great customer!"
44,Com_Talk_37,"おかげさんで もう売るもんが無えだよ

また仕入れるつもりだで
入荷予定のキノコでも見てくだか？","Thanks to you, I have nothing left to sell!


I'll restock soon. Want to take a look at
what's coming in?"
45,Com_Talk_56,"を ひとつなら
ルピーだけんど…どうすべ？",That will be  rupees.
46,Failed00,危うく おっ死ぬところだっただ…,"That was so scary. I thought I was
going to die..."
47,Failed01,オラは死んじまうかと思っただ…,I thought I was done for...
48,GoodBye00,また よろしくだ,'Til next time.
49,Guardian00,"何やってるだ！早く逃げるだよ！ 
ガーディアン""迫ってきてるだよー！","What are you doing?! Run away! 
A Guardian is coming!"
50,MSG_Taba_00,"いんやー売れた売れた
雪国特産味よしキノコ！
寒いとこで育ってっから
うまみが ギュっと詰まっとる
これから仕入れのために
雪原の馬宿サ行くだ","People come from far and wide to buy
mushrooms from Kanny, the mushroom
man!
I was actually on my way to
Snowfield Stable, but I can spare
a minute or two."
51,MSG_Taba_00_1,"雪国特産味よしキノコもよく売れたことだし
そろそろ雪原の馬宿へ仕入れサ行くだ","It's about time to head back to
Snowfield Stable to refresh my stock."
