#,Title,JPja,USen
1,Atacked00,どうしよう…怖い…,"Oh, no... I'm scared..."
2,Atacked01,もう…覚悟はできてる…,I'm... I'm ready...
3,Failed00,"こ…ここは天国？
ではなくて私…生きてるみたいね…","Am... Am I dead? This looks different
than I'd expected. Unless I'm still
alive?"
4,Failed01,もうイヤ…何でこんな目に…,"I hate this... What did I do
to deserve this?"
5,Guardian00,"逃げたほうがよさそうよ！
ガーディアンが来る前に！","Run away! Get out of here!
There's a Guardian coming!"
6,MSG_Futa_00,"キミって気温はもちろん
気分と服装も合わせてそうな気がするな
こんな世の中だからこそ
オシャレを楽しむ余裕が大事って思うでしょ？","Dressing for the weather is fine, but be
sure to express yourself. Dress how you
feel, and let your heart be your stylist!
What's the point in living in such a
beautiful world if you don't dress
beautifully too?"
7,MSG_Futa_00_1,"こんな世の中だからこそ オシャレを楽しむの！
心の余裕っていうのかなー","When things get bad and the world looks
bleak, it's important to let your fashion
shine. You can't let the sadness win."
8,MSG_Futa_01,"ねぇキミ…
寒かったり暑かったりとか大丈夫？
寒い地域と暑い地域では
服を着替えるのが快適に過ごすコツよ
ちゃんと着替えを持って旅してるんでしょ？","Quick question for you... How do you
do when the weather gets...extreme?
You know, like, too hot or too cold?
If you want to stay comfy, the key is 
to change your outfit to match the
temperature.
That's why you should always pack
a spare change of clothes when
you're exploring!"
9,MSG_Futa_01_1,"寒い地域や暑い地域では ちゃんと着替える事！
これが快適に過ごすコツよ！","If you find yourself getting uncomfortably
hot or cold, it's probably time you
considered a change of clothes."
10,MSG_Futa_02,"…どうしたの？
おねえさん当ててみようか？
服を買いに行きたいから
カカリコ村の場所を知りたいんでしょ？
ここから北に向かって歩けばいいの
値段が高いけど いい服が買えるのよね","Why the long face? 
I bet I could guess!

You're in the mood for a new outfit, but
you don't know where Kakariko Village is.
Am I right?
All you need to do is head north! Their
prices tend to be on the more expensive 
side, but the clothes are top-notch!"
11,MSG_Futa_02_1,"服を買うなら北のカカリコ村よ
いい服売ってるんだよねー高いけど…","If you're looking for a new outfit, you
should visit Kakariko Village. Things can
run a bit pricey, but they're worth it."
12,MSG_Futa_03,"キミが着こなしている服
似合ってて かっこいいわよ
おねえさんの服？
じつはこれ オーダーメイドなの
せっかくだから
お互いの着こなし褒めあいましょ！","That outfit you're wearing... It looks so
dashing, so heroic!

Oh, my outfit? It is lovely, isn't it?
Actually, I had this custom made!

This isn't weird at all to you, is it? Two
strangers on the road, praising one
another's impeccable taste?"
13,MSG_Futa_03_1,"何を隠そう おねえさんの服 オーダーメイドなの
でも誰も気づいてくれないんだよね…","I get all my clothes custom made. Not
that anyone ever notices... True fashion
sense is sometimes too subtle for most."
14,MSG_Futa_04,"…でっしぇ でっしぇ～♪

あ…ハテノ村にある染物屋さん知らない？
「でっしぇ」って そこのご主人の口ぐせなの
もしも服を染めたくなった時は
その染物屋さんが オススメよ","Today is a good day...to dye!


Wait, do you not know about the dye
shop in Hateno Village? The shopkeeper
always has these awful puns...
But if you ever want to change up your
look, you should swing by. Hue won't
regret it! HA!"
