#,Title,JPja,USen
1,Atacked00,"魔物…まだいるみたいだね
どうしたらいいかな…","Monsters are still about...
Oh, what am I to do..."
2,Atacked01,"魔物を まともに相手にしていたら
命がいくつあっても足りないよ…","If you tried to battle every monster,
you'd need more lives than a cat!"
3,Failed00,"魔物は？""魔物は去ったのか？
今のうちに この場を離れよう！","Where'd the monster go? Is it gone?!
Let's get outta here while we still can!"
4,Failed01,"まいったな…
ほんと魔物ってやつは…","Oh, what to do... Monsters are such
a hindrance..."
5,Guardian00,"早く逃げろ！とにかく逃げるんだ！
ガーディアンに見つかるぞ！","Run away! Go on, hurry! The Guardian's
gonna get you!"
6,MSG_Futa_00,"こうしていると わからないと思うけど
コイツの走りは それは見事なものでね！
馬の像があるサーディン公園跡まで
コイツを走らせるのが ボクの日課さ！","I doubt you can tell, but this horse runs
like the wind! 

It's a daily tradition for this horse and me
to ride to the horse statue over at the
Sanidin Park Ruins."
7,MSG_Futa_00_1,"馬の像があるサーディン公園跡まで
コイツを走らせるのが ボクの日課！
今日も行ってくるぜ！","It's a daily tradition for my horse and me
to ride to the horse statue over at the
Sanidin Park Ruins. Today's no different!"
8,MSG_Futa_01,"なぜかは わからない…

なぜかは よくわからないんだけど
ここからこうして ハイラル城を眺めていると…
底知れぬ不安に襲われるんだ","I don't know why, but...


looking at Hyrule Castle...fills me with an
overwhelming feeling of dread."
9,MSG_Futa_01_1,"なぜかは よくわからないんだけど
ハイラル城を眺めていると不安に襲われるんだ","I don't know why, but...looking at
Hyrule Castle fills me with an
overwhelming feeling of dread."
10,MSG_Futa_02,"この先にある テスタ橋から向こうは
坂道が続くから馬で行くのが楽なんだ
…ところでキミは口笛吹けたりするの？
吹けた方が馬を呼ぶときに便利だよね","There are lots of hills past Manhala
Bridge up ahead, so traveling by horse
is the best option.
By the way, can you whistle? I ask
because that makes it much easier
to call your horse."
11,MSG_Futa_02_1,"ところでキミは口笛吹けたりする？
吹けた方が馬を呼ぶときに便利だよね","By the way, can you whistle? I ask
because that makes it much easier
to call your horse."
12,MSG_Futa_03,"夜空を見上げていると
運が良ければ流れ星を見ることができる
もしどこかに落下したら
その地点に行けば お宝が手に入ることもある
…ぜんぶ聞いた話さ
ボクも一度は流れ星を見てみたいよ","If you're lucky, you might be able to
see a shooting star when gazing at
the night sky.
If you go to where a shooting star lands,
you'll find treasure there!

...Or so I've heard. I would love to see a
shooting star at least once in my life!"
