#,Title,JPja,USen
1,Atacked00,"はぁ… はぁ…
正直 もうだめかと…","*pant pant* 
Frankly, I thought I was done for..."
2,Atacked01,しーっ…まだ魔物がいるみたい…,"Shh! Looks like there are still some
monsters about..."
3,Failed00,"あぁ このスリ傷… 
治るかしら…","Ouch, this scratch... I hope it'll heal..."
4,Failed01,イタタタ…ひどい目に遭いました,"Ow! Owowowow... What a terrible thing
to have happen to me..."
5,Guardian00,"早く逃げましょう！
ガーディアンが こっちに来ます！","We've got to run! There's a Guardian
coming this way!"
6,MSG_Futa_00,"う～ん…あなたは男の人だし
ご興味あるかどうか…
要するに宝石の話なんですけれど
あまり ご興味ない？
では宝石はバカ高く売れると知ったら
どうかしら？","Hmm... I don't know how interested
you'd be to hear about this, really...

Oh, what the heck! I wanted to talk about
gems! Still interested? Maybe not, but...

What would you say if I told you that you
can sell gems at ridiculously high prices!
Interested now?"
7,MSG_Futa_00_1,"男の人でも宝石はバカ高く売れると知ったら…
そりゃ興味が湧くわよね","Even if the sight of gems doesn't spur
you to action, I'm sure the sight of what
they sell for will!"
8,MSG_Futa_01,"…あなた
双子山に行った事はおあり？
あの山は鉱石がたくさん採れますのよ！
ハンマーとか使って掘り当ててみたいわ！
そして…誰でもいいから
できるだけバカ高く売りつけたい！！
…ごめんなさい

宝石の美しさを思ったら
ついつい興奮しちゃいまして…","...Have you ever been to the
Dueling Peaks?

Those mountains are really rich in ore!
I want to get out there with a trusty
hammer and really mine up a fortune!
I can see it now... Big piles of gems
stacked neatly as far as the eye can see.
A buyer giving me tons of rupees...
Oh! Sorry... When I think about gems,
I just get so excited..."
9,MSG_Futa_01_1,"双子山では鉱石がたくさん採れますのよ！
鉱石は高く売れますし
私もハンマー持って掘り当に行こうかしら！","You can dig up a bunch of ore on 
Dueling Peaks! Now that I think about it,
I should use a hammer to mine that ore!"
10,MSG_Futa_02,"…もしかして あなた
カカリコ村に行きたいの？
それなら道なりに北に進みなさい

私も あの村にあるお店に
よく鉱石を売りつけに行くのよ","You wouldn't happen to be heading to
Kakariko Village, would you?

If you are, just follow the roads north.


That village is one of the places I
sell ore at, so I know the way
really well!"
11,MSG_Futa_02_1,カカリコ村は道なりに北に進むとあるわよ,"To get to Kakariko Village, follow the
roads north."
