#,Title,JPja,USen
1,Atacked00,"あぁ…""怖ろしい…
まるで悪夢のよう…",So terrifying... A real nightmare...
2,Atacked01,"魔物が去るまでは
まだ じっとしていた方が…","Maybe it would be better to just stay put
until the monsters leave..."
3,Failed00,"私…なんとか助かったんですね？
どうやらここは天国ではなさそうですし…","You...you saved me! I mean, unless I'm
in heaven right now..."
4,Failed01,"巡礼の旅…先が少し不安です
もちろん引き返すつもりはありませんけど…","This journey... I'm feeling a bit uneasy
about what lies ahead. Still, I refuse to
give up!"
5,Guardian00,"早く お逃げください！
ガーディアンに見つからないように！","Run away! Hurry, you must escape!
Don't let the Guardian see you!"
6,MSG_Futa_00,"ゼルダという名のお姫様…
あなたは ご存じですか？
おとぎ話の中ではなくて
ハイラルの地に実在したお姫様です
私は そのゼルダ姫が かつて巡礼した地を
こうして ゆっくりと辿っているのです","The princess named Zelda...
Do you know of her?

She's not just a fairy tale. She was a
princess who actually existed in the
land of Hyrule.
In fact, I'm retracing Princess Zelda's
footsteps, trying to find the locations
where she journeyed way back when.
I think I'm probably moving a lot slower
than she did, though..."
7,MSG_Futa_00_1,"ゼルダ姫はご存じですか？

私彼女が巡礼した地を辿ってるんです
彼女は各地で何を感じていたのか…","Do you know about Princess Zelda?


I'm retracing her steps to visit the places
she journeyed to. I wonder what she was
feeling at each of these locations..."
8,MSG_Futa_01,"…私ですか？
ゼルダ姫の足跡を辿る旅の途中です
次の巡礼地は ラネール山にある知恵の泉…
ゼルダ姫は そこで何を得たのでしょう","Who, me? I'm just a traveler trying to
retrace Princess Zelda's footsteps and
re-create her journey.
My next stop is the Spring of Wisdom at
Mount Lanayru. What might have
Princess Zelda found there?"
9,MSG_Futa_01_1,"私 ゼルダ姫の足跡を追ってるんです
次は ラネール山にある知恵の泉を目指します","I'm retracing Princess Zelda's steps.
Next, I'm off to the Spring of Wisdom
at Mount Lanayru."
10,MSG_Futa_02,"…私も旅の者です
いえ巡礼者というべきかもしれません
ここより少し北を旅していたときでしょうか…
カカリコ村の長に面会できたのは幸運でした
ハイラルの歴史にお詳しく
お人柄も とても素敵な女性でしたよ","I, too, am a traveler. Or perhaps I should
say \""an adventurer.\"" Yes, that's the one.

In fact, I'm in the middle of a journey.
I even had the great honor of meeting
with the leader of Kakariko Village.
She is very knowledgeable of the
history of Hyrule, and she is also
blessed with a lovely personality."
11,MSG_Futa_02_1,"カカリコ村の長は素敵な女性でした
あなたも お会いになってはいかが？","The leader of Kakariko Village is a
wonderful woman. If you can,
you should meet with her, as well."
12,MSG_Futa_03,"ここには いにしえの戦いの
名残りが残されています
失われた尊き命の数たるやさぞかし…","The traces of an ancient battle linger...
Countless precious lives must have been
lost here..."
13,MSG_Futa_03_1,"ここで失われた数々の命…
私は ただ祈る事しかできません","Just think of all the lives that were
lost here... All we can do now is
pray that their souls found peace."
14,MSG_Futa_04,"大厄災を免れたハテノ村の穏やかさが
じつは どこか危ういものだということ…
旅を通して外の世界を見ているあなたなら
きっと感じていますよね？","Hateno Village managed to escape the
brunt of the Great Calamity, yet somehow
the peace here feels so precarious...
As one who has traveled and seen so
much of the world, surely you must
feel it too?"
15,MSG_Futa_04_1,"大厄災を免れたハテノ村の危うさ…
あなたも感じますか？","Hateno Village escaped the brunt of the
Great Calamity, but the peace enjoyed
here feels precarious... Do you feel it?"
16,Near00,今日もどうか無事で…,I'm somehow still safe...
17,Near01,ゼルダ姫…,Princess Zelda...
18,Near02,巡礼の者です…,I'm an adventurer...
19,Near03,魔物に遭わぬよう…,"Stay away, monsters..."
20,Near04,降ってきました…,It's raining...
21,Rest_00,"私もあなたと同じ旅の途中…
ただし冒険ではなく巡礼の旅をしています
平和を尊ばれた ゼルダ姫の強き思いが
多くの人々の心に行き渡りますように…","I am in the midst of a journey, not unlike
you are. Though, to be frank, mine is
more of a pilgrimage.
I do hope that Princess Zelda's devout
prayers for peace will touch the lives
of others as they have touched mine."
