#,Title,JPja,USen
1,Atacked00,"うむ… 
馬の手当てもしないといかん",Hmm... I need to look after my horse.
2,Atacked01,"往診に遅れそうだが
しかたない…","I'm going to be late for my rounds, but
it can't be helped."
3,Failed00,"ふぅ…はぁ…
まいった…",Oof... *pant...* I think I'm done for...
4,Failed01,"動悸に息切れ… ハァ…
医者の不養生というやつだ…","Heart palpitations, shortness of breath...
Ah, me... Looks like I need to start taking
my own advice. Heal thyself, physician!"
5,Guardian00,"ガーディアンだ！早くお逃げなさい！
",A Guardian! Get out of here! Quickly!
6,MSG_Rane_00,"…この湿原の馬宿を後にして
これから リバーサイド馬宿に向かうところでな
わしは医者なので病人がいないかどうか
問診をしてまわっておるでな","Wetland Stable can wait 'til later. Right
now, I'm headed for the Riverside Stable.

As a doctor, I spend a lot of time on the
road, making the rounds, visiting the
sick."
7,MSG_Rane_00_1,"これから リバーサイド馬宿に向かうところでな
病人がいないか""問診をしてまわっておるでな","I'm headed for the Riverside Stable. As a
doctor, I spend a lot of time on the road,
making the rounds, visiting the sick."
8,MSG_Rane_01,"万病に効く薬があると聞いたら
医者のわしは いてもたってもいられなくなる
その薬はネルドラのウロコという名前で
聖なる泉の使いと関係があるとかないとか…","As a doctor, I was struck to the core
when I heard there was a medicine
that could cure all kinds of sicknesses.
It's called Naydra's scale, and my
research suggests it's connected to the
attendant to a sacred fountain..."
9,MSG_Rane_01_1,"ネルドラのウロコという
万病に効く薬があるらしくてな
聖なる泉の使いと関係があるとかないとか…","Naydra's scale is a powerful medicine
that stories say is connected to the
attendant to a sacred fountain..."
10,MSG_Rane_02,"往診先で聞いた国家機密級の情報をひとつ…
コッコを驚かせると タマゴを生むらしい
…国家機密じゃなくてコッコ機密だったわい","I once overheard a court secret of the
royal family in the course of doing my
rounds...
If you startle a Cucco, it'll lay an egg!
...Wait, that's not a court secret. It's
a Cuccourt secret."
11,MSG_Rane_02_1,"コッコを驚かせると タマゴを生むらしい
コッコ機密だからな","If you startle a Cucco, it'll lay an egg!
It's a Cuccourt secret."
12,MSG_Rane_03,"以前話したかどうか忘れたが
聖なる泉の言い伝え…
ラネール山 フィローネの森 オルディン火山
それぞれの地方に似たような話があってのう
それぞれの泉で手に入る龍のウロコには
万病を治すという効能があるというんだが…","I may have already told you this, but...
There is a legend about three sacred
springs...
They can be found in Mount Lanayru,
Faron Woods, and the Eldin Mountains.
The stories all say the same thing...
That these springs call to dragon scales.
Although what that means, no one has
yet been able to decipher."
13,MSG_Rane_03_1,"ラネール山 フィローネの森 オルディン火山
それぞれに聖なる泉の言い伝えがあってのう
そこで手に入る龍のウロコには
万病を治すという効能があるというんだが…","Three sacred springs in Mount Lanayru,
Faron Woods, and the Eldin Mountains...
And the stories all say the same thing...
That these springs call to dragon scales.
Although what that means, no one has
yet been able to decipher."
14,MSG_Rane_04,"往診先で聞いた
なんと裸に関する情報だけどね…
ちょっと速く泳げるらしいのう…裸だと","Here's a little something I learned
when I was running around in my
undies one day...
You can swim a little faster...if you're
wearing a little less. "
15,MSG_Rane_04_1,"ちょっと速く泳げるらしいのう…
裸だと","I hear you can swim really fast...when
you're swimming in your skivvies."
16,Near00,寝坊はいないか…,Got a fever?
17,Near01,病人はいないか…,Got a cough?
18,Near02,けが人はいないか…,Broken bones?
19,Near03,酔っ払いはいないか…,Feeling woozy?
20,Near04,風邪ひくなよ…,Don't catch cold!
21,Rest_00,"わしは医者だが
診療所は持たん主義でのう
湿原の馬宿からリバーサイド馬宿の間を
馬を走らせ往診に回る毎日だ","I'm a doctor, but I prefer not to keep 
my own office. I'd rather make my rounds
and go where I can do the most good.
I spend each and every day running my
poor horse ragged, going between the
Wetland Stable and Riverside Stable."
22,Rest_01,"医者のわしも ときどき腰が痛んでのう
医者の不養生というやつかな","Even I get a sore back sometimes
with all the riding I do."
