#,Title,JPja,USen
1,Atacked00,"馬で逃げたいが
今はじっとしておくべきか…","I want to escape on horseback, but I'm
afraid to move from here."
2,Atacked01,やっかいなことになった…,What a disaster...
3,Failed00,忌まわしい魔物は いなくなったか？,Are those vile monsters gone?
4,Failed01,俺の愛馬が心配だ…,I'm worried about my horse...
5,Guardian00,"逃げろ！駆けろ！
ガーディアンから逃げ切れ！",RUN! Run away from the Guardian!
6,MSG_Kyu_00,"俺の旅になくてはならないもの
何だと思う？
それは馬だ

馬さえいれば俺なんていなくていいくらい
俺の旅にとって重要な存在だ","There's one thing I absolutely can't
travel without. Know what it is?

It's my horse.


As long as I have my horse, I don't need
anything else. He's more important than
I am, to be honest!"
7,MSG_Kyu_00_1,"俺の旅になくてはならないもの
それは馬だ","The thing I absolutely can't travel
without is my horse."
8,MSG_Kyu_01,"ん？なんだ？
ああそうか馬の話が聞きたいんだな？
まあ遠慮するな
馬のことなら いくらでも話してやる
たとえば馬の正しいホメ方は
こんな感じ…
言うことを聞いたときに ポンポンポン
がんばって走ったときに ポンポンポン
馬をホメるタイミング覚えたな？","Hmm? Let me guess...you want me to
tell you about horses.

Well, you're in luck. I could talk about
horses all day.

Let's see here... Do you know how to
properly praise your horse?

Pet your horse when it follows directions.
Pet it when it works hard.

Praise your horse at the right time to
reinforce good behavior."
9,MSG_Kyu_01_1,"言うことを聞いたときに ポンポンポン
がんばって走ったときに ポンポンポン
馬をホメるタイミング覚えたな？","Pet your horse when it follows directions.
Pet it when it works hard.

Praise your horse at the right time to
reinforce good behavior."
10,MSG_Kyu_02,"話しかけてくれたのはいいけど
俺は馬の話題しかない男だけど いいか？
たとえば いざとなれば馬も泳げるってのは
知ってたか？
他の動物が泳げるかどうかは知らんが
馬はなんとか泳げるってのは確かだ","I'm glad you wanted to chat with me, but
I really only like to talk about horses.
So...
Did you know that horses can swim in a
pinch?

Name another animal that can swim.
Trick question—you can't. But horses
have it down cold. BOOM."
11,MSG_Kyu_02_1,"いざとなれば馬も泳げるってのは
知ってたか？","Did you know that horses can swim in a
pinch?"
12,MSG_Kyu_03,"俺は誰彼かまわず馬の話をはじめる男だ
それだけは知っておいてくれ
世界に馬宿いくつもあれど これから言う馬宿は
付けてくれる手綱やくらが ひと味違うぞ
いいか覚えろよ…

森の馬宿高原の馬宿平原外れの馬宿
そして ミナッカレ馬宿…以上の4か所だ","I'm the kind of guy who sees everything
in his life through horse-tinted glasses.

Did you know that some of the stables in
Hyrule have slightly different bridle and
saddle styles?
I know of four for sure:


Woodland Stable, Highland Stable,
Outskirt Stable,
and South Akkala Stable..."
13,MSG_Kyu_03_1,"付けてくれる手綱やくらが
ひと味違う馬宿は全部で4か所…
森の馬宿高原の馬宿平原外れの馬宿
そして ミナッカレ馬宿…以上だ","I know of four stables in Hyrule that have
slightly different bridle and saddle styles:

Woodland Stable, Highland Stable,
Outskirt Stable, and South Akkala Stable."
