#,Title,JPja,USen
1,Atacked00,この後の予定がくるっちゃうよ…,"This is really gonna mess up my plans
for today."
2,Atacked01,誰か やっつけてくれないかなあ…,"I wish someone would take care of this
for me..."
3,Failed00,助けに来てくれるのが遅いよー,"If you were tryin' to save me,
you're a little late..."
4,Failed01,盾は盾サーフィンにしか使ったことなくて…,"I've only ever used a shield for
shield surfing..."
5,Guardian00,マズい！ガーディアンが来るぞーっ！,This is BAD! A Guardian's comin'!
6,MSG_Taba_00,"やあ少年！
滑ってるかい？
おじさんも滑るために
雪原の馬宿へ よく行くんだよ
盾を使って縦に滑る…
その名も盾サーフィン！
アレ？今もしかしてスベった？","Hey there, young fella! A fan of shield
surfing, I take it? As for me, I come to
Snowfield Stable all the time.
The world of shield surfing is crazy,
but I can always count on this place
to be...stable.
...Nothin'? Not even a giggle?


I guess that one fell flat."
7,MSG_Taba_00_1,"盾サーフィン サイコー！
雪原の馬宿に さー行こー！
おじさん…すでにスベってる？","Shield surfing is a great sport, isn't it?
It never minds losin'!

...Don't tell me. Was that one no
good either?"
8,MSG_Taba_01,"おや君は武器を扱うのかい？
ということは盾も…
フフ… おじさん こう見えて
盾サーフィンの名人なんだよねー
そういえば おじさんが君くらいのころ
ヘブラ山で迷った子供を助けたっけなあ
子供を背中におぶっての盾サーフィンは
なかなか大変だったよ","Oh, you're a swordsman, aren't ya?
That must mean you use shields too.

Heh. I may not look the part, but I'm a
fairly well-known shield surfer.

Ah, that reminds me... When I was about
your age, I saved a child who was lost
in the Hebra Mountains.
I tell ya what, fella. Shield surfing down
the mountain with that kid on my back
was tougher than I expected!"
9,MSG_Taba_01_1,"おじさんが君くらいのころ
ヘブラ山で迷った子供を助けたことがあってね
子供を背中におぶっての盾サーフィンは
なかなか大変だったよ","When I was about your age, I saved a
child lost in the Hebra Mountains.

I tell ya what, fella. Shield surfing down
the mountain with that kid on my back
was tougher than I expected!"
10,MSG_Taba_02,"やあ少年！
盾サーフィンは やってるかい？
おじさん盾サーフィンを楽しむために
雪原の馬宿をめざしてるんだ
今度こそはヘブラ山北岳にある
大きなクジラの骨が見たくてねぇ…
盾サーファーはみんな
一目見れば幸せになれると信じてるからね","Hey, fella! Have you been shield surfing?
I'm headin' to Snowfield Stable to do
summa that myself. 
This time I'd like to take a look at those
bones on the Hebra North Summit.

I really believe that any shield surfer who
catches a glimpse of those can't help
but be happy."
11,MSG_Taba_02_1,"ヘブラ山北岳にあるという
大きなクジラの骨を見てみたいんだ
盾サーファーの間では
見れば幸せになれると信じられているからね","I wanna catch a glimpse of those
bones rumored to be somewhere
up on Hebra North Summit.
Among shield surfers, they're believed to
bring happiness to anyone who sees 'em."
12,MSG_Taba_03,"どうした少年？
おじさんのことが気になるか？
おじさんは雪原の馬宿を拠点にして
ヘブラ山へ盾サーフィンしに行くのさ
どうだいおじさんの武勇伝でも聞きながら
ひと滑り行くかい？はっはっは！","What's the matter, fella? Are ya worried
about me?

Well, I'll be stayin' at Snowfield Stable
then headin' up the Hebra Mountains
for some shield surfing.
So how about it? Care to hear stories
of my glory days while we walk to the
stables? Heh, ya know ya do!"
13,MSG_Taba_03_1,"おじさんは雪原の馬宿を拠点にして
ヘブラ山へ盾サーフィンしに行くのさ
おじさんと一緒にひと滑り どうだい？
はっはっは！","I like to stay at Snowfield Stable before
I head up the Hebra Mountains for some
shield surfing.
So how about it? Care to take a
whack at shield surfing with me?
Heh, ya know ya do!"
14,MSG_Taba_04,"なんだい少年？
おじさんが ここで何をしてるのかって？
この雪原の馬宿に滞在して
ヘブラ山に出かける準備を整えるつもりだよ
雪山をなめてはいけないってヘブラ山に住む
盾サーフィンの元チャンピオンに言われてね
派手で最高なライディングの裏には
地味で最高な準備あり…とも言ってたっけ
とにかくまずは寒さ対策だよ","Lemme guess, fella. You're wonderin'
what an attractive old guy like me is
doin' around these parts.
Well, I'm stayin' at the Snowfield Stable
and makin' preparations to head up to
the Hebra Mountains.
I was told not to make light of the snowy
mountains by a former shield-surfing
champion who lives up there.
Behind all that flashy ridin' is lots of
boring preparation... She said somethin'
along those lines.
In any case, for now I guess I need to
make preparations for the cold."
15,MSG_Taba_04_1,"この雪原の馬宿に滞在して
ヘブラ山に出かける準備を整えるつもりだ
雪山をなめてはいけないってヘブラ山に住む
盾サーフィンの元チャンピオンに言われてね
とにかくまずは寒さ対策だな","I'm stayin' at the Snowfield Stable here
and makin' preparations to head up
the Hebra Mountains.
I was told not to make light of the snowy
mountains by a former shield-surfing
champion who lives somewhere up there.
Anyway, for now I suppose I need to
make preparations for the cold."
16,Near00,盾サーフィンを…,Shield surfing...
17,Near02,へブラ山は…,The Hebra Mountains...
18,Near03,リト村… リト族…,Rito Village... The Rito...
19,Near04,降ってきたなあ…,It's really comin' down...
20,Rest_00,"おじさんはへブラ山で盾サーフィンの競技に
チャレンジしたことがあるんだよね
結果は…フッ…
要は チャレンジすることに意義があるのさ！","I took a crack at the shield-surfing
competition they hold on the
Hebra Mountains.
How did I do? Well... What's important is
that I tried my hardest!"
21,Rest_01,"悪天候時に盾サーフィンをやるのは危険だな

どうせ滑るなら天気の良い日が楽しいぞ！","It's dangerous to go shield surfing in
bad weather. Trust me—it's more fun
when the weather's nice!"
22,Rest_02,"こんな日は新しい盾でも探しに行くべきか？
盾サーフィンで疲れた体を休めるべきか？
悩むな～","On days like this, should I look for a new
shield? Or take a break since my body's
exhausted from shield surfing?
I really can't decide..."
23,RetMSG_Taba_00,"やあ少年！
とつぜん変なこと聞くけど高い所は大丈夫？
もしかして パラセールも経験済み？

だとしたらリトの村も大丈夫そうだな

リト族は高い所に住んでいるらしくて
高所恐怖症気味のおじさんには縁がないんだ
盾サーフィンで滑るような山なら平気だけど
どうも そういう場所じゃないらしくてね","Hey, fella! Sorry for askin' such a
strange question, but how do ya
feel about heights?
Do ya happen to have experience using
a paraglider?

If so, you should be fine headin' to
Rito Village.

I hear the Rito live somewhere high up.
Since I'm terrified of heights, there's no
way I'll ever be able to visit 'em.
I'm fine if it's a mountain I can slide
down by shield surfing, but I hear it's
not that kinda place at all."
24,RetMSG_Taba_00_1,"リト族の住むリトの村は
高所恐怖症気味のおじさんには ちょっとね
盾サーフィンで滑るような山なら平気だけど
どうも そういう場所じゃないらしいからさ","Rito Village is a bit too much for me,
seeing as how I'm terrified of heights.

I'm fine if it's a mountain I can slide
down by shield surfing, but I hear it's
not that kinda place at all."
25,RetMSG_Taba_01,"少年よ君から見たらおじさんの俺だけど
まだまだ青春の盾サーファーなんだ
せっかく話しかけてくれたんだ
盾サーフィンについて ひとつ教えてやるよ
雪や砂の上なら どれだけ滑っても
盾が壊れる事はない
ということはつまり雪や砂以外だと
滑れば滑るほど盾は劣化していくということ
まあ当たり前のことだけどね
","Fella, you may take one look at me and
think I'm just some boring old guy,
but I'm really a world-class shield surfer!
Since ya went through the trouble of
talkin' to me, I'll go ahead and teach
ya a thing or two about shield surfing.
No matter how much ya ride on top of
snow or sand, your shield won't break!

On the other hand, if ya ride on a surface
that isn't sand or snow, your shield will
break down. It's common sense, really."
26,RetMSG_Taba_01_1,"雪や砂以外の面で盾サーフィンした場合
滑れば滑るほど盾は劣化していくんだ
まあ当たり前のことだけどね
","If ya ride on a surface that isn't sand
or snow, your shield will break down.
It's common sense, really."
27,RetMSG_Taba_02,"やあ少年！
ヘブラ山へ登るのかい？
だったら盾サーフィン名人のおじさんが
登山のコツを教えよう
滑る時の気持ちよさを想像しながら登れば
苦しくないばかりか むしろワクワクできる
険しければ険しいほど
その後の盾サーフィンが楽しくなるからね","Hey, fella! Are ya climbin' up the
Hebra Mountains?

If so, allow this famous shield surfer to
teach you a trick for mountain climbin'.

If you imagine the feeling of slidin'
downhill while climbin' uphill, it's easy!
In fact, it becomes downright exciting!
That's because the tougher the going is,
the better surfing back down will be!"
28,RetMSG_Taba_02_1,"盾サーフィンのためにヘブラ山登山するなら
滑る時の気持ちよさを想像しながら登ろう
険しければ険しいほど
その後の盾サーフィンが楽しくなるからね","If you're climbin' the Hebra Mountains
to do some shield surfing, imagine the
feeling of slidin' down while climbin' up.
Remember that the tougher the going is,
the better surfing back down will be!"
29,RetMSG_Taba_03,"やあ少年！
盾サーフィンは好きかい？
おじさん…モテようと思って始めた
盾サーフィンに すっかりハマっちゃってね
ヘブラ山東岳でやってる盾サーフィンの競争に
おじさんも参加してみたいよ","Hey, fella! Do ya like shield surfing?
The truth is I started shield surfing to
become popular with the ladies.
Before I knew it, I was obsessed! I'd like
to try competin' in the shield-surfing
competition at Hebra East Summit."
30,RetMSG_Taba_03_1,"ヘブラ山東岳でやってる盾サーフィンの競争…
おじさんも参加してみたいよ","I'd like to try competin' in the shield-
surfing competition they hold at
Hebra East Summit."
