#,Title,JPja,USen
1,Atacked00,魔物… クソッ…,"Those monsters...
Man, forget them."
2,Atacked01,なんとか ならないかな…,Isn't there anything I can do?
3,Failed00,魔物の野郎…イテテテ…,"Oh, man, those monsters were wicked."
4,Failed01,辛うじて ケガはないみたいだけど…,I nearly ate it out there.
5,Guardian00,逃げたほうがいい！ アレが来る！,"Oh, man, it sees us! We gotta cut out!"
6,MSG_Taba_00,"北回りの街道を進んでマリッタ馬宿へ！
行くぜ愛馬バンボ！ヒイィィイヤッホー！
…あキミごめんね
話し相手になってやれなくて","Just hit the northern passage from here,
man, and you'll find Serenne Stable.
Let's kick it, Bamboo! Yahoooo!
Huh? Oh, sorry, man. I was talking to my
horse, Bamboo. I'm not, like, all that
great at conversations with other people."
7,MSG_Taba_00_1,"北回りの街道を進んでマリッタ馬宿へ！
行くぜ愛馬バンボ！","Just hit the northern passage from here,
man, and you'll find Serenne Stable.
Let's kick it, Bamboo!"
8,MSG_Taba_01,"俺って盾サーフィンが
めっちゃ得意っていうか むっちゃ得意！
ヘブラ山に登って かっこよく滑り降りて
ヘブラ山にまた登って かっこよく滑り降りて
ヘブラ山にまた登って かっこよく滑り降りて
ヘブラ山にまた登っ…
なぁキミ…止めてくれよ","I'm pretty wicked at shield surfing, man.
Actually I'm, like, totally wicked at it.

I just climb up the Hebra Mountains, and
then I surf back down!

Then I climb up again, and I surf it again.
And then, man, know what I do next?
Oh-ho, man, I totally surf it again!
The only way to stop me from shield
surfing, man, is to take away my shield!
Man!"
9,MSG_Taba_01_1,"俺って盾サーフィンが
めっちゃ得意っていうか むっちゃ得意！","I'm pretty wicked at shield surfing, man.
Actually I'm, like, totally wicked at it.
I just climb up Hebra Mountains and surf."
10,MSG_Taba_02,"坂を駆けあがった馬から下りて
盾サーフィンで滑降するのって サイコーだぜ
また坂を登らなきゃいけないけど
それがどうしたって話だ
俺の滑りのお手本はヘブラ山のスレミーさん！
あの人の滑りって惚れ惚れするんだよな","Riding a horse up a hill and then hopping
off it to shield surf is just radical, dude.

Once you're at the bottom, you've gotta
go all the way back up, sure, but, man!
The rush is totally worth it!
I got this good by watching Selmie surf
the Hebra Mountains. Her skills are even
sicker than mine!"
11,MSG_Taba_02_1,"坂を駆け登るのは馬で！
山を滑り降りるのは盾サーフィンで！
どっちも サイコーの体験だぜ！","Riding a horse up a hill and then hopping
off it to shield surf...
It's just radical, dude."
12,MSG_Taba_03,"盾によって滑りやすさが違うって知ってるか？

もちろん盾サーフィンの話な
最高に滑りやすい盾があるらしいぜ
それは確か…き…き…騎…忘れちゃったなぁ","Oh, man, check it. Did you know that
depending on the shield, your surfing
can be totally different?
What am I talking about?
I'm talking about shield surfing, man!
Get with it, dude!
Speaking of, I heard about a shield that's
supposed to be wicked for surfing. It's
called a kni— A knight's... Oh, man.
I totally forgot. What a drag, dude."
