#,Title,JPja,USen
1,Atacked00,"はぁ… はぁ…
落ち着くのよ私…","*pant...pant*
Just...let me catch my breath..."
2,Atacked01,"どうしましょ困ったわ…
いくら魔物が好きな私でも この状況は…","I may love monsters, but this is a bit
much even for me. Maybe I'll get lucky
and lightning will strike them."
3,Failed00,"あぶなく命を落とす所でしたわ！
まだ結婚前ですのに…","To think, I nearly died before getting
married. That's not a proper order of
operations!"
4,Failed01,"もしかして私
魔物に好かれちゃったんですかね…","These monsters would attack a lady
before she's wed? How so very...
monstrous!"
5,Guardian00,"ヒィー！ガーディアン！""逃げなきゃ！","Sweet Bokoblin! It's a Guardian!
I'm out of here!"
6,MSG_Ichika_00,"私に何か用でしょうか？

私はただの旅人ですよ…
恋人募集中で魔物好きの ただの旅人です！
この地域のどこかにいる大妖精様に会うと
幸せになれるというお話ですけど…
本当かしら？","Oh, you mistook me for a Gerudo? No
worries, for some reason it happens all
the time. No idea why!
Maybe because I'm traveling in search of
true love. I'm single and ready to mingle,
but my love of monsters scares people...
But I heard there's a Great Fairy in this
region. They say if you find her, you'll be
blessed with happiness. I hope it's true!"
7,MSG_Ichika_00_1,"この地域のどこかにいる「大妖精様」に会うと
幸せになれるというお話…本当かしら？","I heard there's a Great Fairy in this
region. They say if you find her, you'll be
blessed with happiness. I hope it's true!"
8,MSG_Ichika_01,"私に何か用でしょうか？

私はただの旅人ですよ…
恋人募集中で魔物好きの ただの旅人です！
スタルヒノックスは大きくて不気味で
自分の骨を投げてくるところが素敵です！
魔物の好きな男性と一晩中
スタルヒノックスのお話をしたいです","Oh, you mistook me for a Gerudo? No
worries, for some reason it happens all
the time. No idea why!
Maybe because I'm traveling in search of
true love. I'm single and ready to mingle,
but my love of monsters scares people...
Stalnoxes are pretty big and creepy, but
the way they throw their own bones at
you...is just so cool!
Maybe I'll find someone who likes
monsters as much as I do. Then we can
stay up all night talking about Stalnoxes!"
9,MSG_Ichika_01_1,"スタルヒノックスは大きくて不気味で
自分の骨を投げてくるところが素敵です！
魔物の好きな男性と一晩中
スタルヒノックスのお話をしたいです","Stalnoxes are pretty big and creepy, but
the way they throw their own bones at
you...is just so cool!
Maybe I'll find someone who likes
monsters as much as I do. Then we can
stay up all night talking about Stalnoxes!"
10,MSG_Ichika_02,"え？私に何か？

私はただの旅人ですよ…
恋人募集中で魔物好きの ただの旅人です！
北に向かえばヒガッカレ馬宿ですけど
その道中には とても強い魔物がいるそうです
なんだか ゾクゾクします！","Oh, you mistook me for a Gerudo? No
worries, for some reason it happens all
the time. No idea why!
Maybe because I'm traveling in search of
true love. I'm single and ready to mingle,
but my love of monsters scares people...
If you go north from here, you'll find the
East Akkala Stables. I heard there are
some strong monsters along the way.
Just thinking about such strong monsters
gives me goosebumps!"
11,MSG_Ichika_02_1,"北に向かえばヒガッカレ馬宿ですけど
その道中に屈強な魔物がいるそうですよ","If you go north from here, you'll find the
East Akkala Stables. I heard there are
some strong monsters along the way.
Just thinking about such strong monsters
gives me goosebumps!"
