#,Title,JPja,USen
1,"""0001""",買い取って！,Buy my stuff!
2,"""0002""",さようなら,Gotta go!
3,"""0003""",怪しい商人知らない？,Suspicious vendors?
4,"""5500""",はい,OK.
5,"""5501""",いいえ,Never mind.
6,"""5502""",買う,I wanna buy.
7,"""5503""",やっぱりやめる,Never mind.
8,"""5507""",ぜんぶ買う,I'll take 'em all!
9,"""5508""",ぜんぶ売る,All of them.
10,Com_Talk_00,さっさと選んでくれるかい？,"Hurry it up, would you?"
11,Com_Talk_01,"ならルピー
それでいいかい？","That will be  rupees.
Is that OK?"
12,Com_Talk_02,はいよ サークサーク,"All right, sarqso."
13,Com_Talk_02b,…サークサーク,Sarqso.
14,Com_Talk_02c,確かに金は払ったよ,"Yes, the money has definitely been paid."
15,Com_Talk_02d,はいよ これでもう満足だろ？,All right... Are you satisfied now?
16,Com_Talk_04,ここで悩むんじゃないよ…,Don't just stand there thinking about it...
17,Com_Talk_05,"サクッと済ませてくれたら
助かるんだけどねぇ…",Hurry up!
18,Com_Talk_05b,まさか まだ何かあるのかい？,Get on with it—are you still selling?
19,Com_Talk_05c,"他にもあるなら
ちゃちゃっと頼むよ",You still need to sell anything?
20,Com_Talk_05d,もう いいんじゃないかい？,Are we done here?
21,Com_Talk_13,"？
いいけど いくつだい？","Sure, how many?"
22,Com_Talk_14,"を個…
まぁルピーってとこで どうだい？","So... of them?
How is  rupees?
Sound good?"
23,Com_Talk_15,"そんな面倒そうなモンは
ごめんだよ","Ugh, that looks lame to me. I don't have
any interest in something like that."
24,Com_Talk_16,"面倒がるんじゃないよ…
着てる服を売るなんて非常識だろ！","Seriously? I'm already in a bad enough
mood without you making it worse, trying
to sell me the clothes you're wearing..."
25,Com_Talk_33,"が1つぽっちか…
それならルピーだよ","Only one?
Let's say... rupees."
26,Com_Talk_34,"を全部買うのかい？
それなら個でルピーになるよ？","Every last one?
Well,  of them will be  rupees, 
if you've got that much to spend..."
