#,Title,JPja,USen
1,"""0000""",ゲルドの街？,Gerudo Town?
2,"""0001""",神獣？,Divine Beast?
3,"""0002""",さよなら,Good-bye.
4,"""0003""",ありがとう,Thank you.
5,"""0004""",男の商人知らない？,There's this merchant...
6,Talk_000,"ここはカラカラバザールだ
ゲルドの街までの休息地のようなもんだ
旅人ならここで ゆっくりしていくがいい

といっても お前はヴォーイなので
ゲルドの街には入れんがな
まぁ どちらにしても今は神獣が暴れてる
街の方へ行くのは やめておくんだな","This is Kara Kara Bazaar.


Gerudo Town is still a fair distance
southwest of here. If you're headed
there, you should consider resting a bit.
Though, you ARE a voe... Even if you
make it to town, you won't be able to
get in...
All the same, the Divine Beast is kicking
up a storm right now, so I don't
recommend going to Gerudo Town."
7,Talk_001,"神獣 ヴァ・ナボリスのことを知らんのか？

かつては ゲルド族の守り神として
祀られたこともあったと聞くが
しばらく前から急に現れ暴れだしてな…

どうにかしようにも神獣は砂嵐と雷に
守られていて手が付けられんのだ
しかし いつゲルドの街やここに
近づくかわからんのでな
私はこうやって
ずっと見張っているんだ","You don't know about Divine Beast Vah
Naboris?

Supposedly, it is the guardian deity for
the Gerudo people, but it suddenly
started acting up a while back.
There's nothing we can do to stop it,
either... It's protected by a fierce
sandstorm and intense lightning.
Though it hasn't yet, it could easily head
toward Gerudo Town or this oasis. I do
my best to keep an eye on it from here."
8,Talk_002,"ゲルド人と話したいなら
ゲルド語を少し覚えておくと いいだろう
さよならは「サヴォーク」だ！","If you want to speak with the Gerudo,
you should learn some of our language.
For example, \""sav'orq\"" is \""good-bye\""!"
9,Talk_003,"まぁ ここまで神獣は来ないだろうが…
念のため警備しとかんとな
お前もゲルドの街に行くなら気を付けんと
せっかくの衣装が ボロボロになりかねんぞ","Well, the Divine Beast probably won't
head in this direction... But we should
be on alert, just in case.
If you're going to Gerudo Town, you
should definitely be careful... The harsh
desert could tear up your nice outfit."
10,Talk_004,"神獣が大人しくなったとはいえ
砂漠は魔物も多く危険な場所だ
引き続き警備は続けんとな","And while the Divine Beast has settled
down, the desert is still full of monsters.
You should stay on your guard."
11,Talk_005,"ここはカラカラバザール
ゲルドの街までの休息地のようなもんだ
まぁ神獣も暴れているし今は街へ行くより
ここで ゆっくりするといいだろう","This is Kara Kara Bazaar.


Gerudo Town is still a fair distance
from here. If you're headed there, you
should consider resting a bit.
Although... The Divine Beast is kicking
up a storm right now, so it would be very
dangerous to head that way."
