#,Title,JPja,USen
1,Near00,はーい,Oookaaay...
2,Near01,すーすー,Zzz... Zzz...
3,talk00,"おかあさん おなかすいたよ～
ごはん まだ～？","Mommy, I'm hungry!
Can you cook some more food?"
4,talk01,すーすー,Zzz... Zzz...
5,talk02,"これから晩ごはんなんだ
今日は なにかな","I'm gonna go have dinner!
I wonder what it'll be tonight!"
6,talk03,"おかあさんの ごはん
おいしいんだよ！",My mommy's food is the best!
7,talk04,"もう ねるの…
おやすみ","I gotta go to sleep...
Good night."
8,talk05,"これから晩ごはんなんだ
今日は海鮮パエリアなんだ うれしいな！","I'm gonna go have dinner!
Tonight's dinner is seafood paella!"
9,talk06,"今日の晩ごはんは海鮮パエリアがいいなあ
あれ おいしいんだよね","I hope dinner is seafood paella!
It's sooooo yummy!"
10,talk07,"今日の晩ごはんは海鮮パエリアだって！
あれ おいしいんだよね","I hope Mom cooks seafood paella
tonight! 
"
