#,Title,JPja,USen
1,"""0000""",知ってる,I did hear that.
2,"""0001""",知らない,I hadn't heard that.
3,"""0002""",何のこと？,That's nice.
4,near001,ふんふんふ～ん♪,♪Poopy poop pooooop!♪
5,talk001,"ヤーギさん ヤーギさん
草おたべー草おたべー
ゴーゴーたっぷり ダッシュゴーゴー
ガッツガッツで元気もりもりー","Mr. Goat, Mr. Goat! 
Eat that grass, eat that grass!

Fill up on that go-go grass,
and then dash super go-go fast!

Get it in your guts! And run like nuts!
With a healthy! Heaping! Helping!"
6,talk010,"にもつ！ にもつ！
おてつだい！
お兄ちゃんもポーチににもつ
入れてるの？
森の妖精さんが おっきなポーチくれる
うわさばなし しってる？ しってる？","Car-go! Car-go! Helping out!


Hey, mister. Do you put your cargo in
your pouch?

Didja hear the rumor about how the
forest people can give you a bigger
inventory? Didja?"
7,talk011,"知ってるの？！
やったー！ なかま！ なかま！
妖精さんのおとしもの集めたらいいんだよね！
おとしものって どんなのだろ？","You heard?! Yaaaay!
Now we're friends!
Now we're friends!
I hear you can collect things the forest
children drop! What do you think their
droppings look like?"
8,talk012,"知らないの？！
エン妖精さんに教えてもらった！
おっきな妖精さんに やさしくしてあげたら
おっきなポーチ もらえるんだって！
いーなー！ いーな！ おっきなポーチいーなー！","You haven't heard?! I heard about it from
a fairy!

He said, \""If you're nice to a really big
forest kid, he'll make your inventory
bigger!\""
I don't know what an inventory is, but
bigger is always better if you ask me!"
9,talk013,"にもつ！ にもつ！
おてつだい！
森の妖精さんも にもつをいっぱい持って
おでかけすること あるのかな？ あるのかな？","Car-go! Car-go! Helping out!


I wonder if the big forest kid ever leaves
the forest..."
10,talk020,"おうまさん♪ おうまさん♪
おうちをキレイに してあげる♪
お兄ちゃん知ってる？ エン おうまさんに乗って
旅してるおじさんから聞いたんだ","♪Horsey! Horsey! I'll make you a BED!♪
♪Horsey! Horsey! Rest your head!♪

I heard that song from some guy who
came by here riding a REALLY 
cool-looking horse!"
11,talk021,"お城の正面から少し外れた西のほうに
ちいさなこーどーが あるんだって！
そのこーどーを進めば お城の中に
入れるかもしれないんだけど…
危ないから お城には近づいちゃダメだって
そのおじさん言ってたの！
だから お兄ちゃんも
お城に近づいたら ダメなんだからね！","He also said that there's a small secret
tunnel just west of the castle entrance.

And that if you go through that tunnel,
you can get INSIDE the castle!

But the man also said not to go near
the castle because it's dangerous.

That goes for you too, mister!"
12,talk022,"おうまさん♪ おうまさん♪
おうちをキレイに してあげる♪
お城の西のほうに
ちいさなこーどー あるけれど…
どんなに速い おうまさんに乗ってても
危ないから近づいちゃダメ！ ダメ！","♪Horsey! Horsey! I'll make you a BED!♪
♪Horsey! Horsey! Rest your head!♪

I heard there's a small tunnel west of the
castle entrance.

But no matter how fast your horse is,
you shouldn't go there because it's too
dangerous!"
13,talk100,"あめあめ ざーざー…
ヤギさんも おうちにいれてあげたいなぁ","Rain, rain, drippity drip...
I should bring Mr. Goat inside too."
14,talk200,むにゃ…,Mmm... Mmm...
15,talk201,"おてつだい がんばった…
エン… ねむい……","I helped out...
I...I'm sleepy..."
