#,Title,JPja,USen
1,ClearTerrorEnemy,フゥゥ…,Phew...
2,ClearTerrorGuardian,コワカッタデース…,That was scary...
3,Near,道行クあなたノ恋人…,Love is the answer...
4,TerrorAnimal,来ナイデクダサーイ！,Get back!
5,TerrorArrow,ヤメテクダサーイ！,Please stop!
6,TerrorBomb,ワォ！,WHOA NOW!
7,TerrorEnemy,ノワアァーッ！,Eeeeeeeeek!
8,TerrorExplosion,ウワァアッ！,Haaaaeeeeee!
9,TerrorFire,燃エタクナイデース！,I don't like fire!
10,TerrorGuardian,ヒャァアーッ！,Hyeeeeeeehh!
11,TerrorHorse,オォット！,Whoa!
12,TerrorImpulse,オオゥ！,Ohhh!
13,TerrorInsect,ハチはニガテデース！,NOT BEES! AHHHH!
14,TerrorLightning,アァッ！,AHHH!
15,TerrorSword,アウッ！,Owww!
16,talk_03,"オゥ！ ヤッパリお会いシマシタネー！
あなたモハヤテリーノ ストーカー デスネー！ 
イクラテリーノコトガ好キデモ コンナニ
ツケマワスノ ヤメテクダサーイ！！
……………

オットテリートシタコトガ…
トリミダシテシマイ申シ訳アリマセーン","Oh! I knew I'd see you again.
I think that technically makes you
my stalker! HAHAHAHA!
But seriously, I'm going to have to ask
you to stop following me around.

...


Who am I kidding? I love the attention!"
