#,Title,JPja,USen
1,"""0002""",頑張って,Good luck.
2,"""0003""",危ないよ,It's too dangerous!
3,"""0004""",何してるの？,...Whatcha doin'?
4,"""0005""",何の事？,What do you mean?
5,"""0006""",今度こそは！,I won't fail her again.
6,near00,キエーーッ！,KEEEEAAAAAAAHHH!!!
7,near01,ごごご…,*rumble*
8,talk00,キエーーーッ！！,KYAAAAAAHHHH!!!
9,talk01,ケェーーーッ！！,KEEEEYAAAAAHHH!!!
10,talk02,"ハァ… ハァ…

ミファー様！""見ててくだされ！

かつて鬼軍曹と言われた このセゴンめが
今こそ神獣 ヴァ・ルッタを討つ…ゾラッ！","*pant...pant*


Lady Mipha! Watch THIS!


I, Seggin, the aptly named Demon Sergeant,
shall strike down the Divine Beast Vah Ruta!"
11,talk04,"しらばっくれるか！英傑リンク！

お主は ミファー様を
厄災ガノンから守れなかったゾラ！
あれからはや 100年…
ああ ミファー様…おいたわしや…","Playing dumb, eh?! Nice try,
but you cannot fool me,
Champion Link!
You were unable to protect Lady Mipha
from Calamity Ganon!

It has been 100 years since we lost her...
Poor Lady Mipha... How heartbreaking..."
12,talk05,"フン！今更お主の助けなんざ借りんゾラ！

里の鬼軍曹こと このセゴン！
たとえこの身朽ちようとも
ルッタに電気の矢を浴びせ
ミファー様の無念を お晴らしするゾラ！
分かったら今すぐ立ち去られい！","Hmph! There is no way we would ask for
your help now, after all this time and
after all that has happened!
So says I, Seggin, the Demon Sergeant!
Even if this body of mine is destroyed...

I will drown Ruta in shock arrows myself!
And in doing so, Lady Mipha's regrets
shall be alleviated.
If you understand anything of courage,
then get out of my way at once!"
13,talk06,"おのれ ミファー様の仇が
よくもノコノコと…
しかし もう遅いゾラ！

ルッタは このセゴンが討つと
元老院評議会で決まったゾラ！
お主は引っ込んどれゾラ！","You have acted so cold and unconcerned
about the harm that befell Lady Mipha...

But no matter—it is too late now.


I shall be the one to shoot Ruta down.
So it was decided by the Zora council!

Just stay out of my way!"
14,talk07,お主…リンク！,You! Link!
15,talk08,また お主か！,You again?!
