#,Title,JPja,USen
1,"""0002""",感動？,Deeply moved?
2,"""0003""",滝を登る？,Climb waterfalls?
3,"""0004""",ダイビングスポット？,Diving spot?
4,"""0005""",さようなら,Good-bye.
5,talk00,やぁ,Hey.
6,talk05,"おお？！ ハイリア人？！
ハイリア人なんだな！","Oh! A Hylian! You are a Hylian,
aren't you?!"
7,talk06,"おお？！貴殿は！

小生だよ！塔の上で
シド王子に置き去りにされた ノールだ
結局 小生はあれから
シド王子とは合流できなかったのだよ…","Oh! You! Hi!


It's me! I'm the one Prince Sidon left at
the top of the tower! The name's Gruve!

In the end, I wasn't able to join up with
Prince Sidon..."
8,talk07,"なので気合一発塔からゾーラ川に飛び込み
ここまで戻って来たワケだが
小生…水面に映る自分自身の飛び込む姿に
感動してしまってな","Instead, I worked up some fighting spirit
and jumped into Zora River from the top
of the tower. Then I came back here.
I was...deeply moved seeing my
reflection on the water's surface
as I dove in... Yes. Deeply moved."
9,talk08,"貴殿には理解できぬか…
飛び込む姿こそが人の最も美しい姿…
なので最近は
ダイビングスポット選定の日々なのだ
貴殿も滝を登れるようになったら
その美しい姿を小生に見せて欲しい","I don't expect you to understand this...
but one's diving form is their truest and
most beautiful form... Yes, truly.
So lately, I've been spending my days
scouting out diving spots.

When you learn how to climb waterfalls,
please show me your beautiful form."
10,talk09,小生に用か？,Do you need something?
11,talk10,"ハイリア人はそのままだと
滝を登る事はできんな
王家の姫が作るゾーラの鎧でも着れば
話は別なんだが…","Equipped like a normal Hylian, you can't
experience the joy of climbing waterfalls.

But with the Zora armor that our
princesses are known to make...
Well, that's a completely different story."
12,talk11,他に聞きたい事は あるか？,Is there anything else you'd like to ask?
13,talk12,"貴殿の美しい飛び込み姿…
待っておるぞ！",How is your diving form coming along?
14,talk13,"最近のお気に入りの ダイビングスポットは
雷獣山の先端…試しの岬だ
あそこから飛び込んだ時に
東の貯水湖に映る己の姿といったら…
ただし雷獣山にはライネルが居るんで
行くなら肋骨の2～3本は覚悟する事だな","My favorite diving spot of late is
Shatterback Point at the tip of
Ploymus Mountain.
I can scarcely put it into words...the joy
of your own reflection when diving into
East Reservoir Lake from there...
However, a Lynel does reside on
Ploymus Mountain. If you go,
be prepared for the worst."
15,talk14,"小生は飛び込みの姿を美しく見せてくれる
ダイビングスポットを引き続き調査中だ
貴殿も滝を登れるなら
様々な滝からの飛び込みに挑戦して欲しい！","I'm constantly finding more and more
diving spots to show off the beautiful
diving form.
If you can climb waterfalls too, I'd like to
challenge you to dive from as many
different waterfalls as you can!"
16,talk15,"…

……おお？！

貴殿がシド王子を手伝ってくれる
ハイリア人なんだな？！","...


...Oh?!


You're the Hylian looking to help
Prince Sidon, aren't you?!"
17,talk16,"申し遅れた小生の名はノール

小生はかつてシド王子と共に
ハイリア人を探しておったのだが
そのハイリア人が自ら現れてくれるとは
渡りに船である！
とも言うのも小生…

かつてシド王子とハイリア人を探している時
王子に塔に置き去りにされてしまってな…","Sorry I didn't introduce myself sooner.
I'm Gruve.

I used to help Prince Sidon with his
search for a Hylian.

For you to find him yourself is
a godsend! Yes, it is!

However, while searching for a Hylian,
Prince Sidon left me stranded on
a tower..."
