#,Title,JPja,USen
1,"""0000""",そうだよ,Yes.
2,"""0001""",違うよ,No.
3,"""0002""",何してるの？,What are you doing?
4,"""0003""",さよなら,Good-bye.
5,"""0006""",遊びたい,Yeah!
6,"""0007""",ついてきただけ,I just followed you.
7,"""0008""",キノコおにぎり？,Mushroom rice balls?
8,"""0009""",残念だね,That's too bad...
9,Talk_01,"外国のお姉ちゃんだー！
サヴォッタ！","A foreign vai!
Sav'otta!"
10,Talk_02,"外国のお姉ちゃんだー！
サヴァーク！","A foreign vai!
Sav'aaq!"
11,Talk_03,"外国のお姉ちゃんだー！
サヴァサーバ！","A foreign vai!
Sav'saaba!"
12,Talk_04,"明日はどこに
パトロール行こうかな…","I wonder where I should pa-troll
tomorrow..."
13,Talk_05,"あ…外国のお姉ちゃん…
サヴァサーバ…
はぁ…""今日もだよ…

隣のお店から聞こえてくる おしゃべりの声が
うるさくて全然眠れないんだぁ
窓の下まで行くと
何しゃべってるのかまで丸聞こえ…
パールは大きくなってお酒を飲んでも
絶対小さな声でしゃべるんだ！","Oh...you're that foreign vai...
Sav'saaba...

*sigh* Night after night, the voices of
the people in the cant-eenter come right
in my window. They're super loud...
If you stand under the window, you can
hear everything they're saying...

When I grow up, I'm always going to
speak in a quiet voice. Even if I'm
having a really great time!"
14,Talk_06,"もう暗くなるのに
これからお出かけなの？","It's already dark outside. Are you still
planning to go out?"
15,Talk_07,"あっ わかった！
お酒でしょ？
パールのお家のお隣さんはお酒を飲むところで
夜は特ににぎやかなんだ！
…でも窓からおしゃべりの声が
パールのお部屋の中まで聞こえてきて
パールもロテインお姉ちゃんも
ちょっと困ってるんだけどね…","Oh, I know! You're going out to the
cant-eenter, aren't you?

The place next to my house is where
people go to relax and grab a drink.
It's real lively at night!
...Which means I can hear their voices
through my window. It sorta annoys
me and my big sister, Rotana..."
16,Talk_08,"パール知ってるんだ！
大人は酒場に行くんでしょ？
パールのお家ね酒場の隣なんだけど
窓からおしゃべりの声が聞こえてきて
ちょっと困ってるの…

だからお姉ちゃん
酒場に行っても シーだよ！","I know all about it! Grown-ups go to the
cant-eenter, right?

My house is right next door, see?
But the voices come through the
window, and it's really annoying...
They're so loud, it's like I'm in the
cant-eenter too, you know?"
17,Talk_09,"ごめんね
今はお姉ちゃんと遊べないんだ","Sorry, but I can't play with you right
now, lady."
18,Talk_10,"ウルボザ様ごっこしてるの！

ウルボザ様はね
パールよりもずーっと前に生まれた偉い人でね
この街を悪いオバケから救ってくれた
エイケツ様なんだよ！
だからパールも悪いオバケがいないか
毎日街を見回ってるの！","I'm pretending to be Lady Urbosa!


Lady Urbosa was an amazing
person who was born a long, long time
before I was.
She was a Champion who saved this
town from an evil ghost!

I'm going on pa-trolls every day to make
sure that no more bad monsters
show up."
19,Talk_11,サヴォーク！,Sav'orq!
20,Talk_12,これからお出かけ？,Are you going somewhere now?
