#,Title,JPja,USen
1,"""0000""",見えます,"Yup, I can see them."
2,"""0001""",見えません,I can't see them.
3,Talk_01,"やっぱり夜はいいねぇ～

あんなに暑いってのに
よくみんな昼に動くもんだよ…
さっ まずは寝起きの一杯といこうかねぇ…","The nighttime is really nice.
I can't believe how much people move
around in the heat of the afternoon.
I guess I could get a drink to wake
myself up..."
4,Talk_02,"ぐひぃ～

寝起きはコレに限るわい","Phew! This is really the only thing
that can wake me up."
5,Talk_04,"あたしのばぁさんがよく言ってたよ…

酒とマックスドリアンは
一緒に食べるな…ってね
理由はよくわからんが そう言われるってことは
何か理由があるんだろうねぇ…","My vaba often said to never eat a
hearty durian while drinking...

I don't really know why, but since she
said it so much, there must be a
good reason."
6,Talk_05,ちょいと酒の肴でも探すとしようかね…,"I think I'll look for something to
drink and maybe some snacks..."
7,Talk_06,"あたしの母さんがよく言ってたよ…

二日酔いには
キノコ料理がいいってね…
だからあたしも しんどくなった時は
いつもカレー香りキノコ炒めさ
ゴロンの香辛粉とキノコさえあればできる
お手軽料理だからねぇ","My mom often said that dishes with
mushrooms were good for nursing
serious headaches.
So...when I'm feeling tired, I always make
fragrant mushroom sauté.
I love that curry flavor!
It's a simple dish that you can make if
you have some Goron spice and
mushrooms."
8,Talk_07,"そろそろ暑くなってきたし
あたしゃ寝るとするよ","It's gonna get hot soon, so I think I'm
going to head to bed."
9,Talk_08,"…うーん なんだい
あたしゃ夜しか動かないよ","Ugh, what is it? I prefer to rest
and relax until night..."
10,Talk_09,"美人にしか見えないキノコなんて
見えやしないじゃないか！
もしかして お前さんには見えるのかい？","Mushrooms that only beautiful people
can see? Not like I'll fall for that.

Wait, you're not seriously saying you can
see them, are you?"
11,Talk_10,"そりゃ ほんとかい？

あたしゃてっきり
アージュが品物がないことをごまかすための
冗談かと思ってたんだけどね…

まぁ見えなくても仕方ないさ
あたしゃ元美人だからね","Oh, wow, really?


And I just thought it was all some kind
of joke that Ardin came up with to trick
her customers when she's all out...
Well, I don't care if I can see them or
not. I could have seen them when I was
younger—that much I know."
12,Talk_11,"おや お前さんみたいな
べっぴんさんでも見えないとなりゃ
これはアージュのデマカセだね…

アイツたまにへんなウソつくんだよ","Oh, well, if someone as pretty as you
can't see them, that means...

Then Ardin must have made up another
silly lie. She tells really weird ones
sometimes."
13,Talk_12,"売り切れなんて
しけてるねぇ…","Sold out? Ugh, that's the worst..."
14,Talk_13,"ハイリアのヴァーイかい…
サヴォッタ…","A Hylian vai, huh...
Sav'otta..."
15,Talk_14,"ハイリアのヴァーイかい…
サヴァーク…","A Hylian vai, huh...
Sav'aaq..."
16,Talk_15,"ハイリアのヴァーイかい…
サヴァサーバ…","A Hylian vai, huh...
Sav'saaba..."
