#,Title,JPja,USen
1,"""0000""",借りるザラシ,Let's seal the deal!
2,"""0001""",乗り方教えザラシ,How do I set seal?
3,"""0002""",借りないザラシ,Seal you later!
4,"""0003""",スナザラシ？,A sand seal?
5,"""0004""",捕まえ方教えて,How do I catch one?
6,"""0006""",さよなら,Good-bye.
7,"""0007""",歩いてきた,I came on foot.
8,"""0008""",乗ってきた,I rode here.
9,"""0009""",スナザラシって何ザラシ,Sand seal? Sealiously?
10,"""0010""",乗り方教えて,How do I ride one?
11,Near_01,みんな～しっかり～,"Come on, everybody!"
12,Near_02,流行は取り入れんとね,I've got to keep up...
13,Near_03,いそがなきゃ！,I have to hurry!
14,Near_04,一乗り20ルピーだよ,Sand seals—20 rupees!
15,Talk_01,"ヴァーサーク！

広大な ゲルド砂漠を渡るなら
スナザラシは必須！
一乗りたったの20ルピー！
盾がないなら50ルピー！
どう？乗ってかない？","Vasaaq! If you are hoping to cross the
vast Gerudo Desert, sand-seal surfing is
the way to do it!
It's only 20 rupees to rent one!
Need a shield, too? Just pay 50 rupees!
What do you say?"
16,Talk_02,"なに… そのしゃべり方？

もしや外のヴァーイ達の間で流行ってるとか…","What? Is that some kind of slang?


I wonder if it's just a thing outside Gerudo Town..."
17,Talk_03,"なに… そのしゃべり方？

もしや外のヴァーイ達の間で流行ってるとか…

と… ともかく ゲルド砂漠は広いからね
外に出るならスナザラシは必須だよ
必要になったら また声かけてよね！","What? Is that some kind of slang?


I wonder if it's just a thing outside Gerudo Town...


Anyway. The Gerudo Desert is vast.
You'd be wise to take a sand seal if
you're traveling beyond town."
18,Talk_04,"なに… そのしゃべり方？

もしや外のヴァーイ達の間で流行ってるとか…

そ それより
お代が足りないんだけど…
スナザラシの世話も タダじゃないからね
これ以上は安くできないのよ ごめんね","What? Is that some kind of slang?


I wonder if it's just a thing outside Gerudo Town...


Hrm. It looks like you haven't got
enough to pay the rental fee.

You know, sand-seal care isn't cheap...
I hate to say it, but you can't rent one if
you can't afford it."
19,Talk_05,"盾…持ってないんじゃない？
スナザラシに乗るためには盾が必要なの
盾もつけるなら50ルピーになるけど
どうする？","Oh, um... Do you not have a shield?
You need a shield if you want to go
sand-seal surfing.
For 50 rupees, I can give you a shield.
What do you think?"
20,Talk_07,"ヴァーサーク ザラシ！

広大なゲルド砂漠を渡るなら
スナザラシは必須ザラシよ！
一乗りたったの20ルピー！
盾がないなら50ルピー！
どう？乗ってかないザラシ？","Vasaaq! If you are hoping to cross the
vast Gerudo Desert, a sand seal is a
must! It'd be sealy not to have one!
It's only 20 rupees to rent one!
Need a shield, too? Just pay 50 rupees!
What do you say?"
21,Talk_08,"では気をつけて！
サヴォーク ザラシ！","Seal you another time!
Sav'orq!"
22,Talk_09,"ゲルド砂漠は広いからね
外に出るならスナザラシは必須ザラシよ
どう？ ザラシ語 なかなか様になってるでしょ？
ふふ…外の流行も取り入れないとね","Anyway... The Gerudo Desert is vast.
It'd be a sealious mistake not to take a
sand seal if you're traveling out of town."
23,Talk_10,"まぁ習うより慣れろって言うし
一度レンタルしてみたら？","They say practice makes perfect, so why
not just try for yourself?"
24,Talk_11,"お代が足りないんだけど…

スナザラシの世話もタダじゃないし ザラシ
これ以上安くできないのよね ザラシ","Hrm. I seal a problem, though... It looks
like you haven't got enough to pay the
rental fee.
You know, sand-seal care isn't cheap...
I hate to say it, but you can't rent one if
you can't afford it."
25,Talk_12,"盾…持ってないんじゃない？
スナザラシに乗るためには盾が必要ザラシよ
盾もつけるなら50ルピーになるけど
どうするザラシ？","Oh, um... I seal a problem... Do you not
have a shield? You need a shield if you
want to go sand-seal surfing.
For 50 rupees, I can give you a shield.
What do you think?"
26,Talk_13,"まぁ習うより慣れろって言うザラシ
一度レンタルしてみるザラシ？","They say practice makes perfect, so why
not just try for yourself? I doubt
anything will go sealiously wrong."
27,Talk_14,"ヴァーサーク！

来てくれたんだ！
サークサーク！！
広大な ゲルド砂漠を渡るなら
スナザラシは必須！
一乗りたったの20ルピー！
盾がないなら50ルピー！
どう？乗ってかない？","Vasaaq! You came! Sarqso! If you are
hoping to cross the vast Gerudo Desert,
sand-seal surfing is the way to do it!
It's only 20 rupees to rent one!
Need a shield, too? Just pay 50 rupees!
What do you say?"
