#,Title,JPja,USen
1,"""0000""",神獣？,Divine Beast?
2,"""0001""",わかった,"OK, fine."
3,"""0002""",監視所？,Lookout post?
4,"""0003""",わかった,I understand.
5,Near_Raimei_001,神々しいな…,How divine...
6,Npc_oasis023_001,"悪いけど この街は男子禁制なんだ
さぁ帰った帰った！","Stop right there! Voe are forbidden from
entering this town. Turn back the way
you came!"
7,Npc_oasis023_003,"この街は男子禁制だと言ってるのに
なぜこうも男がウロついているのか…
さぁ帰った帰った！","Hear this: men are not allowed in Gerudo
Town. So quit loitering, and get out of
here!"
8,Npc_oasis023_004,"こんな所をウロついてたら危ないよ
特にここは神獣に近いからね
監視所が建てられてはいるけど
この辺りも安全ってわけじゃないしな…","It's dangerous to wander around out
here. Especially since we're so close to
that Divine Beast.
We do have a lookout post, but that
doesn't mean it's perfectly safe around
here..."
9,Npc_oasis023_005,"監視所はアソコだよ
旗がたってるアレ
神獣 ヴァ・ナボリスを
24時間監視してるんだ","The lookout post is over there. It's the
building with the flag flying over it.

They're monitoring the
Divine Beast Vah Naboris every
moment of the day from that post."
10,Npc_oasis023_006,"神獣がいなくなるなんてな…

アレには迷惑しかかけられてないけど
ずっと見てただけに
いなくなると少しさみしい気もするな","I can't believe the Divine Beast is gone...


All it did was cause problems for us, but
I've been watching it for so long...

Now that it's gone, I actually feel a
little lonely."
11,Npc_oasis023_007,"あの砂嵐の中に姿をひそめていて
ここからじゃ はっきり見えないが
神獣 ヴァ・ナボリスっていってね
昔は この辺りの守り神だったらしいんだけど…
しばらく前に急に姿を現して
この辺りを見境なく歩くもんだから
この街に来るんじゃないかって
みんな ヒヤヒヤしてるんだ
族長様も アレをどうにかしないとって
頑張られてはいるんだが…
神獣に近づくと雷にやられて
クロコゲにされちまうって噂だ
私達は アレがこの街に来ないことを
願うしかないのさ…","That's the Divine Beast Vah Naboris.
They say it used to be a god who
protected this area, but...
It suddenly appeared a little while ago
and just started walking around
aimlessly.
Everyone's afraid that it may wander
into town eventually.

The chief is doing what she can about
it, but...

I heard a rumor that if you get too close
to the Divine Beast, it will shoot you with
lightning and burn you to a crisp.
All we can do is hope that it doesn't
come this way..."
12,Npc_oasis023_008,"まぁ街の中は とりあえずは安心だ
気にせず ゆっくりしていってくれ
サヴォーク！","Well, for now it is safe to be in town.
Despite all I said, don't let the stomping
worry you too much!
Sav'orq!"
13,Npc_oasis023_009,"…もしかして
監視所に行くつもりか？
近くに見えるけど結構距離もある…
それに今は魔物も出る時間だからな
行くのはいいが
朝を待った方がいいんじゃないか？","...You don't really intend to go to the
lookout post, do you?

It may seem close, but it's actually pretty
far away... And besides, monsters tend to
appear at this hour.
It's fine if you're set on going there, but
don't you think you should at least wait
until morning?"
14,Npc_oasis023_010,"…もしかして
監視所に行くつもりか？
近くに見えるけど結構距離もある…
せめてスナザラシにでも乗っていくんだな","...You don't really intend to go to the
lookout post, do you?

It may look close, but it's actually pretty
far away... At least take a sand seal, if
you're truly set on going there."
15,Npc_oasis023_012,"監視所にはアレの雷は届かないが
あの辺りは魔物も少なくない…
私なら絶対近づかないね","The lightning from the Divine Beast can't
reach the lookout post, but there are
still plenty of monsters in the area...
If I were you, I wouldn't even dream of
going near it."
16,Npc_oasis023_013,サヴォッタ！,Sav'otta!
17,Npc_oasis023_014,サヴァーク！,Sav'aaq!
18,Npc_oasis023_015,サヴァサーバ！,Sav'saaba!
19,Sinjyu_Female_001,"族長様がお一人で飛び出された時は
どうなることかと思ったが
まったく大したお方だよ…

そういや アンタと同じハイリアのヴァーイが
族長様と共に戦ったそうだよ
きっとかなりの屈強な
ヴァーイだったんだろうな
しかし ずっとここにいたけど
そんなヴァーイ見なかったがなぁ…","I was worried about what might happen
when the chief set out on her own...
But she's really capable, isn't she?
Which reminds me, apparently a Hylian
vai, just like you, was fighting alongside
the chief.
She must be pretty strong...


However, I've been here this whole time,
and I haven't seen a vai like that around.
I wonder where she went..."
20,Sinjyu_Normal_001,"族長様がお一人で飛び出された時は
どうなることかと思ったが
まったく大したお方だよ…

そういや アンタと同じハイリア人が
族長様と共に戦ったそうだよ
しかもヴァーイだそうだ！

きっとかなりの屈強な
ヴァーイだったんだろうな
しかし ずっとここにいたけど
そんなヴァーイ見なかったがなぁ…","I was worried about what might happen
when the chief set out on her own...
But she's really capable, isn't she?
Which reminds me, apparently a Hylian
was fighting alongside the chief.
A Hylian vai, no less!
She must be pretty strong...


However, I've been here this whole time,
and I haven't seen a vai like that around.
I wonder where she went..."
