#,Title,JPja,USen
1,Near_Raimei_001,なぜその兜を？！,You have that helm?!
2,Npc_oasis047_001,旅の方ですか？,Are you a traveler?
3,Npc_oasis047_002,"ここからは外の様子を
見ることはできませんが
ナボリスが鎮まってからというもの
民の笑い声が増えた気がします
族長様にもその声が
聞こえていることでしょう
ああ申し訳ありません
私は話が長くなりがちでして…
お告げをご所望でしょうか？

それでしたら パトリシアちゃん様の近くに
果物をお供えください
笑顔になれるような
良いお告げが聞けるといいですね","I can't see what's going on outside from
here, but...

I heard that Naboris has calmed at last.
I can almost feel the stress rising off the
shoulders of the townsfolk.
I'm sure the chief feels it too.


Ah, I apologize. I'm just going on and on
and on...

Do you desire some words of wisdom?
If so, approach Patricia and offer her
some fruit.
Patricia does have a particular fondness
for wildberries, but she'll happily accept
any kind of fruit."
4,Npc_oasis047_008,"こちらに御座すのは族長様のスナザラシ様
パトリシアちゃん様でございます！
パトリシアちゃん様は お告げをしてくれる
超特別なスナザラシ様でございます
パトリシアちゃん様の近くに
果物をお供えください
ありがたいお告げをいただけますよ","Sitting here is the chief's favorite
sand seal, Patricia. But she's no
ordinary sand seal...
She's actually something of an oracle!


If you offer fruit to Patricia by placing it
before her, you'll receive some words of
wisdom in return!"
5,Npc_oasis047_010,"パトリシアちゃん様の お世話だけでなく

族長様が無事にこの椅子に座られ
そして無事に戻られるのを見守るのも
私の重要な役目なのです

お告げをご所望でしたら
パトリシアちゃん様に果物をお供えください","I'm not just taking care of Patricia, you
know...

I also try to keep an eye on the chief
whenever she's in town. And I worry for
her when she's away...
Anyway, if you desire words of wisdom,
please offer some fruit to Patricia."
6,Npc_oasis047_011,"これから ここに族長様がいらっしゃいます
私も お迎えの準備をしないといけませんので
失礼いたします

お告げをご所望でしたら
パトリシアちゃん様に果物をお供えください","The chief is on her way here, so I must
prepare to meet her. Please excuse me.

If you desire words of wisdom from
Patricia, simply offer her some fruit."
7,Npc_oasis047_012,サヴォッタ,Sav'otta.
8,Npc_oasis047_013,"ナボリスが出現してからというもの
この街は安らぐことはありませんでした
族長様は ご自分の時間も顧みず
ずっとご公務に励んでおられました
しかし今 やっと族長様にも
安息の時間が戻ってきました
パトリシアちゃん様との時間を楽しまれたり
寝屋でくつろがれたり…
私も嬉しい限りなのです！

おっと…
おしゃべりが過ぎましたね…
お告げをご所望でしたら
パトリシアちゃん様に果物をお供えください","Since Naboris appeared, this town
hasn't had a moment to catch its breath.

That's been doubly true for the chief, if
you can believe it. She's been working
night and day.
But now that the Divine Beast has been
calmed, the chief can finally take some
time to herself.
She can play with Patricia, and she can
relax in her room...

I'm so happy for her!


Oops, I was just going on and on there.
If you'd like some words of wisdom,
please offer Patricia some fruit."
9,Npc_oasis047_014,"今は族長様の御前です
失礼がないように頼みますよ
それにしてもやっと族長様が
元のお優しい顔に戻られた気がします
族長様の笑顔を絶やさぬことが
今の私の一番の務めだと思っています
ああ…
またしゃべりすぎてしまった…
族長様がいらっしゃっても 
お告げを受けることはできますので
ご所望でしたら
パトリシアちゃん様に果物をお供えください","You are in the chief's presence now.
Please behave appropriately.

I ask this because she appears to have
returned to her normal, kind self.
It's such a relief to see her happy again.
I consider it my duty to protect her good
mood at all costs.

Er...
I'm blathering again, huh...

You can receive words of wisdom even
when the chief is here.

Just offer Patricia some fruit if you desire
some of her insight."
10,Npc_oasis047_015,"以前は毎日のように
族長様がお見えになってたのですが…
最近は ご自分の時間を持つことさえ
許されぬようです…
まだ幼い御身だというのに…

私は いつ族長様が来られても良いように
パトリシアちゃん様の お世話をしているのです
申し訳ありません
少し おしゃべりがすぎましたね…
お告げをご所望でしたら
パトリシアちゃん様に果物をお供えください","I used to see the chief around
here every day...

But she's been so busy lately, I don't
think she's allowed herself even a
moment to relax.
Such responsibility at such a
young age...

Anyway, I make sure to care for Patricia
so that she'll be ready at a moment's
notice from the chief.
Ah, I apologize. I'm just going on and on
and on...

If you'd like some words of wisdom, just
offer Patricia some fruit."
11,Npc_oasis047_017,サヴァーク,Sav'aaq.
12,Npc_oasis047_018,サヴァサーバ,Sav'saaba.
13,Npc_oasis047_019,"ここは族長様のスナザラシ様
パトリシアちゃん様のお庭でございます
パトリシアちゃん様は お告げをしてくれる
超特別なスナザラシ様でございますが
現在族長様と共に
お出かけになられております
お告げをご所望でしたら
またの機会に お越しください
そうそう お告げには果物が必要となりますので
お忘れなきよう","This is the yard of Lady Patricia. She's
the chief's sand seal.

Patricia is no ordinary sand seal...
She's actually something of an oracle!

At the moment, she is off with the chief.
If you've come for a reading, you'll have
to return later.
Oh! You will need a piece of fruit for her.
Please don't forget."
