#,Title,JPja,USen
1,"""0000""",最初のページ,First page.
2,"""0001""",最後のページ,Final entry.
3,"""0002""",読まない,Don't read.
4,"""0003""",次のページ,Next page.
5,"""0004""",前のページ,Previous page.
6,"""0005""",やめる,Stop reading.
7,DiaryFirst,"「避難小屋を使う人へ」
雪の女王 スレミー","Evacuation Hut Notes
By Selmie, The Duchess of Downhill"
8,Obj_DiaryIceVillage011_A_01_010,"雪山での盾サーフィンや お宝探し…
ヘブラ山脈に散歩気分で来たあなた
死にますヘブラ山脈で遭難する人が
後を絶ちません
ハイラル平原にいるような恰好で
来るところではありません！","Whether you've come to Hebra Mountain
to shield surf the slopes, hunt treasure,
or just take a walk, you must remember...
This. Mountain. Will. Kill. You!The accident rate on this mountain is too
high to measure!

And before anything else, you must
dress appropriately for the weather here,
not like you're heading to Hyrule Field!"
9,Obj_DiaryIceVillage011_A_01_020,"けれど雪山はとても美しいし
なにより盾サーフィンに もってこいの場所です
たくさんの人に
ヘブラ山脈の良さを知ってもらいたい…
この小屋に雪山を生き抜くためのものを
置いておくので使ってください","Despite the dangers, though, this snowy
peak really is extremely beautiful.
And it's an ideal spot for shield surfing.
I want as many people as possible to
enjoy shield surfing, so I'll leave behind
this manual for survival on the mountain.
I hope that it can help people enjoy
Hebra Mountain."
10,Obj_DiaryIceVillage011_A_01_030,"雪山の道中にある旗の根元にも
役立つものを置いておきました
万が一雪山で遭難したら
旗を目指して進んでみてください","I've left a few things behind on the
mountain trails and at the base of the
flags planted.
If you're in trouble, spot a flag and head
toward it. Hopefully these items will be
of use to you!"
11,Obj_DiaryIceVillage011_A_01_040,落書きが続いている…,Someone else has added notes...
12,Obj_DiaryIceVillage011_A_01_050,"スレミーちゃん！ オレと盾サーフィン勝負して
オレが勝ったら結婚しよう！！
負け続けてるぜ！ このダサ男～華麗なスレミー様の滑りに憧れてたのに…
引退されるなんて…今どこにおられるの……？
スレミーさん ありがとう！
この小屋の食べ物 いただいていきます！
盾サーフィン めちゃくちゃうまい子がいた！
ブリザー谷の北だったよ！","Selmie! Baby! I think I'm a better shield
surfer! If I prove it, can we get married?
This total loser will never win!I didn't know what love was until I saw Selmie
sliding down the slopes... I can't believe you
retired... Where did you go?
Selmie, thank you for leaving the food!
I'll make good use of it here in the hut!

I saw some kid north of Coldsnap Hollow!
He looked like he was pretty great at
shield surfing!"
13,Obj_DiaryIceVillage011_A_01_060,"スレミーさん ここで以前いただいた食べ物に
僕は命を救われました
後に来る人のために
僕も食糧を置いておきますね
これを読んでいる誰か
よかったら使ってください","Selmie, thanks for the food that was left
here. It seriously saved my life. I'll be
sure to leave some for the next person.
To whoever is reading this, please take
as much of the food as you need."
