#,Title,JPja,USen
1,"""0000""",最初のページへ,First page.
2,"""0001""",最後のページへ,Last page.
3,"""0002""",今は読まない,Don't read.
4,"""0003""",次のページへ,Next page.
5,"""0004""",前のページへ,Previous page.
6,"""0005""",読むのを止める,Stop reading.
7,"""0006""",読む,Read.
8,"""0007""",もっと読む,Read more.
9,"""0008""",読み返す,Read again.
10,Diary00,"人も近づかん この台地では
わしの唯一の楽しみは料理だ
そして今日 ついに究極の料理が完成した！
名付けて ピリ辛山海焼き だ","On this desolate plateau, the only
pleasure that brings me comfort
is cooking.
And today, I outdid myself! Truly,
I created the perfect dish. I call it...
spicy meat and seafood fry."
11,Diary01,"この料理の凄いところは体力回復はもちろん
寒い雪山でもポカポカで動き回れるという事だ
これさえあれば
あの窮屈な防寒着など もういらん","This recipe not only restores health,
but it also keeps me warm, even when
traveling in the snowy mountains.
With this dish on my side, I no longer
have need of that itchy warm doublet."
12,Diary02,"だが何とした事か
肝心のレシピを書き留めるのを忘れてしまった
ケモノ肉と ポカポカ草の実を使ったのは
覚えているのだが
他に何を使ったのか どうしても思い出せない
わしも歳を取ったものだ","I do not know how I allowed this to
happen, but it seems I forgot to
write down a very important recipe.
I know it contained raw meat and
spicy pepper. However...

I simply cannot remember what else
I used! My age is catching up to me."
13,Diary03,"人も近づかん この台地では
誰かの知恵を あてにすることもできないが
もし その食材を教えてくれる者が現れたら
礼に わしの防寒着を進呈してやろう
むなしい願いだとは思うが…","Sadly, on this lonely plateau, I have only
my own knowledge and memory to
rely on. Still...
If I did find someone who knew the
missing ingredient, I would happily
reward them with my warm doublet.
However, it seems unlikely that such a
miraculous wish will ever be fulfilled."
14,Diary04,"驚いた事に わしの考案した究極の料理
ピリ辛山海焼きを再現する者が現れた
わしの防寒着を与えるに ふさわしい
なかなか見どころのあるヤツだ","To my surprise and delight, I did happen
upon someone who was able to re-create
my spicy meat and seafood fry.
I gave him my warm doublet, and I was
happy to do so. He is a fine young man
with great potential, that one."
15,Diary05,"今度こそ忘れないよう
レシピを書き留めておこう
ケモノ肉と ポカポカ草の実
そして ハイラルバスを鍋で豪快に焼くのだ","Ah, and I will now write down this
perfect recipe so that I will never
forget it.
Place some raw meat, spicy pepper,
and hyrule bass in a pot, and then
turn up the heat. Voilà!"
16,Diary06,"この料理を食えば寒い雪山でも動き回れるが
効能に時間制限があることを忘れておった
防寒着なら ずっと寒さを凌ぐこともできたが
少し惜しいことをした","Eating this dish allows you to walk the
snowy mountains with ease, though I did
forget there's a time limit on the effect.
It is too bad I already gave away that
warm doublet, which keeps you warm
no matter how long you wear it."
17,Diary07,"リンクよ

薄々気づいておったかも知れぬが
わしの素性を隠していて すまなかった
回生の眠りから目覚めた お主に事を伝えるには
他に方法が思いつかなかったのだ","Link...


Bit by bit, you may come to realize who
I am. I am sorry for not revealing my
true identity to you sooner.
The truth is, after you awoke from your
long Slumber of Restoration, I did not
know how to tell you all there was to say."
18,Diary08a,"わしの演技も なかなかじゃったろう？

冗談は さておき…

厄災ガノンを倒し
わが娘 ゼルダを助けてやってくれないか
簡単ではないことは わかっておる
だが お主にはできる
そう わしは確信しておる
100年前と変わらぬ いい眼をしておったぞ","Perhaps deceiving you was not the right
thing to do. Still...you must admit I put
on a great performance!
But all joking aside...what I ask of you
is of the utmost importance, dear hero.

I implore you, with all my heart...
defeat Calamity Ganon and save
my precious daughter, Zelda.
I understand this is no simple task I am
asking of you, but I know beyond a
shadow of a doubt that you can do it.
I do not doubt it for a moment. I see
courage in your eyes, just as I did
100 years ago. I believe in you, Link."
19,Diary08b,"わしの演技も なかなかじゃったろう？

冗談は さておき…

厄災ガノンを倒し
わが娘 ゼルダを助けてやってくれないか
簡単ではないことは わかっておる
だが お主にはできる
そう わしは確信しておる
100年前と変わらぬ いい眼をしておったぞ","Perhaps deceiving you was not the right
thing to do. Still...you must admit I put
on a great performance!
But all joking aside...what I ask of you
is of the utmost importance, dear hero.

I implore you, with all my heart...
defeat Calamity Ganon and save
my precious daughter, Zelda.
I understand this is no simple task I am
asking of you, but I know beyond a
shadow of a doubt that you can do it.
I do not doubt it for a moment. I see
courage in your eyes, just as I did
100 years ago. I believe in you, Link."
20,Diary09,"そうそう防寒着を ここに置いておこう
これから先 きっと お主の役に立つだろう
料理や暖を取って寒さをしのぐのもいいが
無茶は いかん
では頼んだぞ","Ah, yes, one more thing. I have left the
warm doublet here as a gift of sorts.
I'm sure it will be useful on your journey.
You can also weather the cold with
cooking alone, but I caution against it.
There is no time for recklessness.
We are all counting on you."
21,DiaryFirst00,老人の日記のようだ…,The old man's diary...
22,DiaryFirst01,老人の日記のようだ…,The old man's diary...
23,DiaryFirst02,老人の日記のようだ…,The old man's diary...
