#,Title,JPja,USen
1,"""0000""",次のページへ,Next page.
2,"""0002""",前のページへ,Previous page.
3,"""0003""",読むのを止める,Stop reading.
4,"""0004""",最初のページへ,To first page.
5,"""0005""",最後のページへ,To last page.
6,"""0006""",読まない,Don't read.
7,talk00,ロベリー回顧録,Robbie's Memoirs
8,talk01,"時は 100年前

厄災ガノンが ゼルダ姫を飲み込み

ミーとプルア女史が
リンクを回生の祠に眠らせてから数日後の話
それでは チェケラ！

インパ様をカカリコ村に残し
ミーとプルア女史は カカリコ村を出た
このまま カカリコ村に留まって
三人まとめて厄災ガノンにやられてしまえば
いつか目覚めたリンクに ゼルダ姫の伝言を
伝える者が居なくなってしまう…
つまり語り部は一人でも多い方がよい
という結論だ
そのために ミーやプルア女史は インパ様の元…
カカリコ村を離れ生き延びねばならん
幸いな事に ハテール地方とアッカレ地方に
大きな古代エネルギー溜まりを発見した
この近くに引っ越せば ハイラル城に居た時の
厄災ガノン封じの研究も続けられるだろう
プルア女史と じゃんけんの結果…
ミーはアッカレ地方に引っ越す事になった","Let me start from the beginning. It was
100 years ago... Calamity Ganon had
already swallowed Princess Zelda.
Dr. Purah and I had already taken Link
to the Shrine of Resurrection and left
him to recover.
Dr. Purah and I departed for
Kakariko Village, where we left
Lady Impa...
All three of us couldn't stay together, of
course. We couldn't risk Calamity Ganon
getting all of us in one strike.
If that happened, there'd be no one left
to deliver Princess Zelda's message to
Link when he recovered and woke up...
We had to ensure at least one of us
would be able to talk to him.

So Dr. Purah and I set out to survive as
long as we could. We were lucky...

We found large amounts of ancient
energy in the Necluda and Akkala
regions. We could continue our research.
Just as we had in Hyrule Castle, we could
again set ourselves to finding some way
to seal Calamity Ganon away.
We decided who would go where in the
only fair way: rock, paper, scissors.
I set out for Akkala soon after."
9,talk02,"いざ アッカレ地方に

…と思ったが まずプルア女史を ハテール地方の
古代エネルギー溜まりまで送る事になった
プルア女史が「か弱い女子を一人旅させるのか」
と ゴネたからだ
あのワガママさえなければ容姿端麗頭脳明晰
スタイル抜群の完璧な女性なのだが…
…

ハイラル城で使っていた
彼女の勇導石を リアカーに乗せ
インパ様と再会を約束し ミーとプルア女史の
二人は カカリコ村を後にした","I was all set to go to Akkala, but first I
decided to go with Dr. Purah to the
ancient energy source in Necluda.
...Actually, that implies I had any choice.
Dr. Purah laid on a pretty heavy guilt trip
when I suggested her going alone.
\""In a world as dangerous as ours, are
you seriously asking me to travel alone?\""
She's so darned pushy...
Anyway, Dr. Purah promised Lady Impa
that they'd meet again someday, then
she and I set out from Kakariko Village...
But not before loading a cart with the
Guidance Stone Dr. Purah had been
using at Hyrule Castle."
10,talk03,"ナリシャ高地を南下 シェーラ湖を渡り
クロチェリー平原から ハテノ砦へ
ハテノ砦…

そこは リンクが大量のガーディアンと戦い
力尽きた かの土地である
ハイラル王に剣の腕を見込まれ
ゼルダ姫お付きの騎士となった リンクだったが
このガーディアンの数の前には
流石の天才剣士も成す術が無かったろう
すまんかった リンク…

こうなる前に ガーディアン研究の
第一人者である このミーが
対ガーディアン用の武器を渡していれば…

と ハテノ砦の数十体のガーディアンの亡骸を
前にして思った次第である","We traveled for some time. South of the
Pillars of Levia, across Lake Siela, and
through Blatchery Plain... 
Then we came upon Fort Hateno. Link
had battled an army of Guardians there,
and it was where he'd been defeated.
A master swordsman such as Link, who'd
impressed King Rhoam enough to be
made Princess Zelda's personal knight...
Well, even someone like that has their
limits.

I'm sorry, Link...
I spent so much of my life researching
the Guardians...
Even with all my knowledge, I wasn't
able to give you the weapons or power
you needed to succeed.
Those were my thoughts as I looked
upon the broken husks of the Guardians
strewn around Fort Hateno."
11,talk04,"そのように しばらく感慨にふけっておったら

先行していた
プルア女史の姿が見えなくなってしまった
まぁ ここから目指すべきハテノ村までは
比較的安全な道のりだし
大厄災のダメージが少ない ハテノ村なら
一人でも何とかなるじゃろう…
と思い後を追うまでもなく
プルア女史とは無言の別れと あいなった
そしてミーは その足で
カカリコ村へ引き返したのだ","Lost in my thoughts, I didn't notice that
Dr. Purah had slipped away.

I knew Hateno Village wasn't much
farther along the road, and that the
Calamity had barely touched that area...
So I felt safe letting her continue on her
own. We parted ways without even
saying good-bye, I suppose.
Stirring myself back to action, I set
out on my own journey back toward
Kakariko Village."
