#,Title,JPja,USen
1,"""0001""",読まない,Don't read.
2,"""0002""",次のページ,Next page.
3,"""0003""",前のページ,Previous page.
4,"""0004""",やめる,Stop reading.
5,"""0005""",最初のページ,First page.
6,"""0006""",最後のページ,Last page.
7,Diary_00,"こんなところに本が…
以前から あったのだろうか？",Was this book always here?
8,Diary_01,"ハイラル城より奪いし 6つの秘宝
宝箱に収め隠した地を記すラムダ","I hid the six priceless relics I stole from
Hyrule Castle in treasure chests...
I shall write down their locations. -Misko"
9,Diary_02,"異世界より訪れし旅商人の頭巾は
カズリュー湖勇気の泉を喰らう龍の右手に…","The traveling merchant's hood is in the
right hand of the dragon that consumes
the Spring of Courage at Dracozu Lake."
10,Diary_03,"大海原を巡った風を操りし勇者の青き衣は
エン川が生まれし所","The blue garb of the hero who controlled
the wind and traveled the ocean is where
the Menoat River was born."
11,Diary_04,"影の王を僭称せし者の兜は
双子山の南に潜む枯れ木谷の沼に","The helm of the self-proclaimed King of
Shadows is in the swamp of the valley
of dead trees, south of Dueling Peaks."
12,Diary_05,"大魔王を象りし悪霊の甲冑は
フィローネの樹海に隠す
1つは フロリア湖より
北に連なる3つ目の滝の底に
1つはフロリア川小さな滝に挟まれし橋に
1つは樹海リベラ砕かれし石の鳥","The evil spirit's armor set is hidden
within Faron's sea of trees.

Find these pieces at the highest of three
waterfalls north of Lake Floria...

at the bridge between small waterfalls
over Floria River...

and at the broken stone bird
of Ebara Forest.
"
13,Diary_06,"最後のページには「Ex2」と書かれている
何を意味しているのだろうか…？","\""EX 2\"" is all that's written on the
last page. What could it mean?"
