#,Title,JPja,USen
1,"""0000""",アイツ等？,The gang?
2,"""0001""",伝説の剣？,Sword of legend?
3,"""0002""",さよなら,See you around.
4,"""0003""",実は…,So...
5,FR01_Talk_01,"もうヤダよ～
お願いタスケテ！！","I can't take it anymore!
Please help me!"
6,FR01_Talk_02,"もしかして…
私助かったの？","Wait...
Am I...saved?"
7,FR01_Talk_03,"ゴマナは当てにならないし
アナタが来てくれなかったら
私どうなってたか…

ありがとうね

でも…
旅って危険なのね…
雑誌にはこんなこと書いてなかったのに…

はぁ…何事も
実際体験しないと わからないものなのね","Sesami is such a Cucco. If you hadn't
come along... *shudder*

Thanks so much.


I had no idea traveling was so
dangerous. There was nothing like this
in the travel guidebook...
I guess you can't assume to know
anything until you experience it for
yourself."
8,FR01_Talk_04,"ゴマナですって？

アイツ魔物が出た途端
一目散に一人だけ逃げてったのよね
女の子を置いて逃げるなんて
酷いと思わない？
アイツ絶対許さないんだから！

ゲルドキャニオン馬宿だっけ？
ちょっと文句言ってくる！","At least I'm safe now. No thanks to
Sesami.

As soon as the monsters showed up,
he ran away as fast as he could and left
us for dead.
Who does that? Especially to a girl!


He's at the Gerudo Canyon Stable?
If he thinks I'm going to forgive him for
this, he's got another thing coming!"
9,FR01_Talk_05,"アナタが来てくれなかったら… って思ったら
今でもゾッとしちゃうわ本当にありがとうね
でも…旅って危険なのね…
雑誌にはこんなこと書いてなかったのに…
ホント何事も体験しないと
わからないものよね
でも お陰で私わかったの
私には旅は向いてないって
だから ここでちょっと休んだら
私は お家に帰るつもりよ
アナタは まだ旅を続けるんでしょ？
強いし大丈夫だと思うけど気を付けてね","If you hadn't come along... *shudder*
Thanks for saving me.

I had no idea traveling was so
dangerous. There was nothing like this
in the travel guidebook...
I guess you can't assume to know
anything until you experience it for
yourself.
But at least I've figured out that traveling
isn't my thing. I'm going to rest here
awhile and then head back home.
I get the feeling that going home isn't an
option for you, so take care of yourself
out there."
10,FR02_Talk_01,"くっそ…
ブタヤロー共が調子に乗りやがって…","Blasted monsters! Those pig-faced jerks
are gonna get what they deserve!"
11,FR02_Talk_02,"助けてくれて サンキューな
いや ホント災難だったわ
あ～ まだアチコチ痛いったらありゃしない
ったく あのブタヤロー共め！","Thanks for the assist, pal. That could've
been the end of me.

Boy, I'm gonna be sore tomorrow.
Filthy bottom-feeders..."
12,FR02_Talk_03,"ゴマナのヤツに
アタイの怒りをぶつけようと思ったんだけどさ
アタイの顔見た途端
泣きそうになってやんの…
あいつは あいつで
仲間が帰ってこないことが怖かったみたいだし
しゃーないから
許してやったよ","I was gonna yell at Sesami for leaving me
to die, but as soon as he saw my face, he
looked like he was gonna start sobbing...
I can't be mad at him for being scared.
That's just the way he is."
13,FR02_Talk_04,"ゴマナだって？

あいつ アタイを助けもせずに
馬宿で のうのうとしてるなんて…
アタイが受けた痛み
あいつにも受けさせてやらないと！","So Sesami was kicking his feet up in the
stable while I was being tortured by
those sorry sacks?!
Oh, I'm going to go give him a piece of
my mind, all right. A piece of my fist too!"
14,FR02_Talk_05,"ゴマナのヤツに
アタイの怒りをぶつけようと思ったんだけどさ
アタイの顔見た途端
泣きそうになってやんの…
しゃーないから
許してやったけどさ
アタイ… もう誰かの足かせになるような事は
まっぴらゴメンだからさ
旅は一旦ここで終わらせようと思うんだ

アンタみたいに強くなって
また出直すよ
次に出会うことがあれば
その時は アタイがアンタを守ってやるから
楽しみにしといてくれよ","I was gonna yell at Sesami for leaving me
to die, but as soon as he saw my face, he
looked like he was gonna start sobbing...
I can't be mad at him for being scared.
That's just the way he is.

Anyway, thanks for the help. If I ever get
the chance to save you, I'll take it."
15,FR03_Talk_01,"オレは死ぬのか…
もうここで人生終わりなのか…
うう… ゴマナ先輩ぐらい強かったら
こんな奴ら ひとひねりなのに…","I guess this is where my story ends...
Good-bye, Hyrule.

If only Sesami was here. He'd save me
for sure."
16,FR03_Talk_02,"あれ…オレ…

生きてる？
生きてるよね？
キミが魔物倒してくれたの？","Huh? I'm...


I'm alive? But...the monsters...
Did you get rid of them?"
17,FR03_Talk_03,"ゴマナ先輩にさ

「何で助けに来てくれなかったんですか？」って
聞いたらさ
伝説の剣がどうのこうのって話ばかりでさ
ごまかしてばかりなんだ…
ゴマナ先輩って…
もしかして実は弱いんじゃないか…","I asked Sesami why he didn't come to
save me.

He spouted some garbage about the
sword of legend in an attempt to dodge
the conversation.
I guess Sesami is just a big wuss..."
18,FR03_Talk_04,"すっごいね！

キミすっごいね！

ゴマナ先輩の次ぐらいに
強いんじゃない！","That's incredible!
YOU'RE incredible!

You might even be braver than Sesami!"
19,FR03_Talk_05,"えっ… ゴマナ先輩
馬宿にいるの？
オレを助けに来てくれてるんじゃないの？

武器がないから無理？

え？何言ってんのさ？
先輩は手刀の達人だし空手もすごいし…
まさか…騙されてた？
ちょ ちょっと先輩に確かめてくる！","Sesami...is waiting at the stable?
He didn't come to save me?

But he said he'd mastered the martial
arts. Did he...lie to me about that?
Nah...this must be a misunderstanding."
