#,Title,JPja,USen
1,"""0000""",見せてあげます,I'll show them to you.
2,"""0001""",楽しそうですね,You're...funny.
3,"""0002""",それはちょっと…,I can't do that.
4,"""0003""",その球は？,Can I have that orb?
5,Near_00,すべすべ…,So smooth and ancient...
6,Talk_0000,"マルリアンちゃんは今日も美肌ね…え？誰か見ているですって？
マルリアンちゃんってば恥ずかしがり屋さん
見せつけてあげればいいわ
あなたの美しく輝く姿を…
え？その誰かが
物欲しそうに見ているですって？
心配しないで マルリアンちゃん
私が貴女を手放すわけが無いじゃない
古の時代を生きてきた貴女に
私はぞっこんなんだから…","Your skin is so smooth and gorgeous,
my little Roscoe...Hm? Someone's watching us?
Oh, my sweet Roscoe! You're so shy,
aren't you? YES, YOU ARE!
Why not proudly show off your beaming
beauty, my darling? You really MUST
come out of your shell.
Hm? The person watching looks like
he wants something? Maybe he's
after... *GASP* Is he after you?!
Don't you worry, my sweet Roscoe!
I would never ever EVER let you go!

I'm head over heels for my special
friend who's been around since
ancient times!
You're so ancient and special, Roscoe!
YES, YOU ARE!!"
7,Talk_0001,"ごめんなさい マルリアンちゃん
私 ウソをついたわ
ガーディアンを見てみたいの！飛んでいるのと小さいのと歩いている
ガーディアンを全部見てみたいの…
ここにある朽ちたモノじゃなく
新品の イキイキしたガーディアン…
見てしまったら私…
貴女から離れてしまうかもしれない
でも大丈夫よ 
ガーディアンに近づくのは危険なこと
飛んでいるのと小さいのと歩いている
ガーディアンを見るなんて夢のまた夢…","Sorry, my sweet Roscoe, but I fibbed a little...
The truth is...

I wanna see Guardians!Flying ones! Small ones! Ones that
walk around! I wanna see all the
Guardians in all the world!!
Not the ones around here that have
rusted away, either. I wanna see
fresh and lively Guardians!
If I ever do get to see them... I may just
have to leave you, my friend.

Oh, but don't you worry! Getting near a
Guardian is too dangerous for me. Flying
ones, small ones, ones that walk...
I'm afraid seeing Guardians like that is
nothing more than a dream within a
dream for me..."
8,Talk_0002,"マルリアンちゃん…安心して
貴女を手放したりしないわ
飛んでいるのと小さいのと歩いている
ガーディアンを見ない限り…","My sweet Roscoe... Don't you worry,
my special friend! I would never ever,
EVER let you go.
...Unless, of course, I find a way to see a
flying Guardian and a small one and one
that walks around."
9,Talk_1000,"マルリアンちゃん…安心して
貴女を手放したりしないわ
飛んでいるのと小さいのと歩いている
ガーディアンを見ない限り…","My sweet Roscoe... Don't you worry,
my special friend! I would never ever,
EVER let you go.
...Unless, of course, I find a way to see a
flying Guardian and a small one and one
that walks around."
10,Talk_1001,え？誰かが何かを言っているですって？,Hm? Someone's speaking?
11,Talk_1100,見せる？ガーディアンを？,You'll...show me? A Guardian?
12,Talk_1101,"ちょっとアンタ
私とマルリアンちゃんの邪魔しないでくれる？","Hey, you! Could you please not bother
my Roscoe and me?"
13,Talk_1102,"ガーディアンを見せるだなんて
できるわけ…","It's not like you can show me a
Guardian or anything..."
14,Talk_1103,"その絵……！飛ぶガーディアン！
恐怖を感じる美しいフォルム！","That image... That's a flying Guardian!
Wow, I feel alive with terror just from
gazing at its beautiful form!"
15,Talk_1104,"小さいガーディアン！
姿に似合わず凶悪そうで カワイイ！","A small Guardian! Awww, it looks so
vicious for its tiny size! Adorable!!"
16,Talk_1105,"ちょっと まさか
二種類見せてくれたってことは…","Hold on... If you've been able to show
me two types, then that must mean..."
17,Talk_1106,"ふう…ねえアナタその箱を私にちょうだい！
毎日見ていたいの！","Phew... What a joy.Hey, you! Give me that box, OK?!
I wanna look at those images
every single day!"
18,Talk_1107,"ダメ？そう…残念…
絵を思い出して手触りを妄想するしかないわね","You can't? I see... How unfortunate.
I guess I'll just have to burn those
images into my imagination."
19,Talk_1108,"え？ああ マルリアンちゃ…球っころなら
好きにしていいわよ
私今は頭の中に描いている
ガーディアンちゃん達に夢中なの！","Hm? Oh, you mean Roscoe?
Sure, that weird sphere thing is
all yours. Really, I'm over it.
Yeah, I'm all about Guardians now!
If I close my eyes, I can see them
in my imagination! It's glorious!"
20,Talk_1109,"歩いている ガーディアン！
危険極まりない！恐ろしい姿！","A walking Guardian! I can't believe it!
Nothing could be more dangerous!
What an exhilaratingly scary sight!"
21,Talk_1200,"マルリアンちゃん…貴女に夢中なのよ私
何も聞こえないわ……","Sweet Roscoe... You're all I think about!
Nothing compares to you..."
