#,Title,JPja,USen
1,"""0000""",了解！,Understood!
2,"""0001""",えっ？,Huh?
3,"""0002""",理解した,I've got it.
4,"""0003""",まだよく分からない,I still don't get it.
5,"""0006""",大丈夫,I'll be fine.
6,"""0012""",はい,Yes.
7,"""0013""",いいえ,No.
8,"""0014""",どうしてそれを？,Why do you ask?
9,"""0015""",教えて,Tell me.
10,"""0016""",これどうぞ,I have your picture.
11,"""0017""",まだでした,I still haven't.
12,near01,うーむ…,Hmm...
13,talk00,…こんにちは,Hello.
14,talk01,…こんばんは,Good evening.
15,talk02,…はい,Oh!
16,talk03,あなたは…リンクさんですね,You are Link...right?
17,talk04,"シド王子が…
ハイリア人のリンクと神獣を止めに行くぞ！
…と叫んでいましたからね

という事は あなたは雷獣山に電気の矢を
取りに行かれる という事ですね？","Prince Sidon ran off through the
eastern gate. He was shouting
something like...\""I'm off to stop the Divine Beast!
Link the Hylian is coming with me!\""

I assume that means you're going
up Ploymus Mountain in search of
shock arrows?"
18,talk05,"そうですか
私の思い違いだったようです…",Oh. My mistake.
19,talk06,だったら ついでのお願いがあるのです,"If so, I have a request that is...
somewhat related."
20,talk07,"あの山が雷獣山です

ライネルという赤いたてがみを持つ
魔物が棲みついているそうです
あの山にいるライネルでも
他の場所にいるものでも良いので
とにかくライネルの姿を
私に見せてもらえませんか？","There's a red-maned monster called a
Lynel that lives on Ploymus Mountain.

I REALLY need a picture of a Lynel.
It can be a picture of any red-maned
Lynel. Not just the one on the mountain.
So what do you say? Can you get me 
a picture of a Lynel?"
21,talk08,リンクさん…雷獣山に行くんですよね？,"Link... You are on your way to climb
Ploymus Mountain, correct?"
22,talk09,"話が早くて助かります
",I am glad that was settled so quickly.
23,talk11,"あの雷獣山には赤いたてがみを持つ
半人半馬の魔物""ライネルが棲んでいます
過去に何人もの村の若者が
ライネルの犠牲に なっています
どうか お気をつけて…","You have probably already heard, but up
on Ploymus Mountain there lives a Lynel.
This creature is half man, half beast.
In the past, a number of Zora from
the domain have fallen prey to this
red-maned Lynel...
It is not to be underestimated.
Please be careful."
24,talk12,すいません今移動中ですので…,"Sorry, but I'm on my way somewhere...
at least I hope I am."
25,talk13,"すいません唐突すぎましたね
もう少し咀嚼してお話ししましょう","I'm sorry. I know that was a bit sudden.
Allow me to elaborate."
