#,Title,JPja,USen
1,"""0002""",はいどうぞ,Enjoy!
2,"""0003""",あげません,"No, it's all mine!"
3,"""0004""",聞きたい,I'm all ears.
4,"""0005""",大丈夫,Not right now.
5,"""0006""",聞く,Why not?
6,"""0007""",聞かない,Not right now.
7,"""0008""",兄弟岩の歌,Warbler's Nest song.
8,"""0009""",お腹の歌,Tummy song.
9,Demo305_0_01,わぁ！お姉ちゃん達 あれ見て！！,"Wow! Hey look, guys!"
10,Demo305_0_02,"あれれ～？
あんな所に お家あったっけ～？","Huh? Was that weird-looking house
always there?"
11,Demo305_0_03,"違うよ！
あれはゾクチョーさまが言ってた ホコラだよ！","No, that's that \""shrine\"" thing that the
elder was talking about!"
12,Demo305_0_04,"すごいすごい！
兄弟岩に こんなヒミツがあったなんてー！","So cool! Who knew Warbler's Nest was
keeping a secret like that!"
13,Demo305_0_05,ねぇ ママにも教えてあげようよ！,Let's tell Mom!
14,Demo305_0_06,うん そうしよう！,"Yeah, let's!"
15,Demo305_0_07,お兄ちゃん またね！！,See ya later!
16,Demo305_0_08,"そうだ！
ママの所まで競争しよう！！",Last one to mom is an unhatched egg!
17,Demo305_0_09,"いいねー
じゃあ よーいスタート！！！","Ready, set...GO!"
18,Npc_HighMountain031_R_001,"ルルル～♪ ルルルル～♪
ル～ル ララ ルルル～ラララ～ッ♪
は～い ただ今お聴きいただいた曲は
『怪鳥を鎮めし勇者の帰還 ～プレリュード』！
ご清聴ありがとうございました～！","♪Loo loo loo!♪
♪Loo loo loo loo!♪
♪Loo loo lala loo loo loo...lalala!♪
Do you like that? I call that little ditty
\""Return of the Bird-Wrangling Hero...
Prelude in E-sharp Minor.\""
Thank you for listening!"
19,Npc_HighMountain031_R_002,"私達が歌うのは ふるーい歌なんだよ～

兄弟岩で練習するから聴きにきてね～！","I like to sing REALLY OLD songs.
The older, the better!

And they sound even better when I sing
them at Warbler's Nest! That's where I
usually practice. You should stop by!"
20,Npc_HighMountain031_S01_001,"ランラ～ン♪ルララ～♪
ラララ～ ルル ランラン～ ララ～ッ♪
は～い ただ今お聴きいただいた曲は
『怪鳥を鎮めし勇者の帰還 ～第一楽章』でした
ご清聴 ありがとうございました～！

…えっ兄弟岩の歌の練習？
モチロン忘れてないよ
三女のゲンコが どうしてもサーモンムニエルを
食べたいっていうから
仕方なく姉妹で手分けして
食材を買い集めてたの
私は あっと言う間に終わったから
暇つぶしがてら ここで練習してたんだけどね
でも キールに悪いことしちゃったかな…急いで練習に行ってあげなくちゃね！","♪La la loo loo la la!♪
♪La la la, loo loo!♪
♪La la laaaaaaa la la!♪
I call that song...
\""Return of the Bird-Wrangling Hero... 
First Movement.\""
Thank you for listening!


What? Singing rehearsal at
Warbler's Nest? I didn't forget!

It's just that Genli really wanted some
salmon meunière, so my sisters and I
have been looking for ingredients.
I finished early, so I was practicing here
to kill time.

I feel bad we left Kheel waiting, though.
I really should head over to rehearsal."
21,Npc_HighMountain031_S01_002,"それじゃ はい
このタバンタ小麦は お兄ちゃんにあげま～す！
これで とっておきのサーモンムニエルを
ゲンコに作ってあげてほしいな！
あれを食べないと
歌の練習したくないんだってさ
ま～本当は別の理由だと思うけどねそれじゃ後のことはヨロシク～♪","Well then...I guess I'll give the
Tabantha wheat to you! Please make
the best salmon meunière for Genli!
She says she can't sing on an empty
stomach, but I'm pretty sure that's just
an excuse.
Well, good luck!"
22,Npc_HighMountain031_S01_003,"みんなが集まったら
私も兄弟岩のところへ行くね！
ルルル～♪四女のグリグリはちゅん天堂～♪
次女のコッツは おサカナとりに入口へ～♪","I'll head over to Warbler's Nest once
everyone's there! 

I think my fourth sister, Cree, is at the
Slippery Falcon. The second oldest,
Kotts, should be at the village entrance."
23,Npc_HighMountain031_S01_102,"それじゃ はい
このタバンタ小麦は お兄ちゃんにあげます…
…って ポーチの中身が いっぱいだよ！
空きを作ってきてちょ～だい！","Well then...I guess I'll give the
Tabantha wheat to you...

...Hey, your inventory is full!
Go make some space!"
24,Npc_HighMountain031_S01_201,"あれっ もしかして もうゲンコに
サーモンムニエルを ご馳走してくれたの？
さっすがー！お兄ちゃん仕事早い！

あれを食べないと
歌の練習したくないんだってさ
ま～本当は別の理由だと思うけどね

それじゃ みんなが集まるころに行くね～♪","What? You already treated Genli
to some salmon meunière?

Wow! You're amazing!


Genli said she doesn't want to sing on an
empty stomach, but I think she's hiding a
different reason.
Well, I'm gonna meet up with everyone.
See you around!"
25,Npc_HighMountain031_S02_001,"ラー ルルルー ラー♪

うん ちゃんと練習してたからバッチリ！","♪La loo loo loo la!♪


Yeah! I'm sounding great thanks to all of
the rehearsing."
26,Npc_HighMountain031_S02_002,お兄ちゃん！練習したお歌聞いてくれる？,"Hey! Would you like to hear the song I've
been practicing?"
27,Npc_HighMountain031_S02_003,"はーい！
練習続けるね！","OK! I'll keep practicing, then!"
28,Npc_HighMountain032_R_001,"おサカナ…おサカナ…

おサカナ売ってなーい！

おサカナ買えないと
おつかい終わらないよー！
…もう そいやーって
つかまえに いっちゃおうかな？","Fishy... Fishy...


No one's selling fishies!


If I can't buy any fishies...
I can't finish my task!

Maybe I'll just be like...\""hiyah!\""
and catch one myself."
29,Npc_HighMountain032_R_002,"ちゅん天堂に おサカナ売ってないよ～！

自分でつかまえに いっちゃおうかな？","They don't sell fishies at the
Slippery Falcon!

Maybe I'll catch some on my own..."
30,Npc_HighMountain032_S01_001,"そいや～！そいや～！
マックスサーモン捕ったど～！
…って お兄ちゃんどうしたの？
えっ お歌の練習？
ひゃ～～おサカナ捕まえるのに必死で
すっかり忘れてた…
ううっ急いでキールのところに行かなくちゃ！
また怒られちゃうよ～！！","Hiyah! HIYAH!
I'm fishing for hearty salmon!

...Huh? What are you doing here?
What? Rehearsal?

AHHH! I totally forgot!
I was too focused on catching these fish.

Kheel's going to kill me!"
31,Npc_HighMountain032_S01_002,"お兄ちゃん このマックスサーモンあげるから
ゲンコにサーモンムニエル作ってあげて！
これで機嫌直してくれれば いいんだけど…

それじゃ～漢の料理を頼んだよ～！
わっしょ～い！！ わっしょ～い！！","Please take this hearty salmon and go
make some salmon meunière for Genli.

Hopefully she'll feel like singing after she
has some."
32,Npc_HighMountain032_S01_003,"もうちょっとだけ おサカナ捕まえてるね！

えっ？みんなどこにいるのかって？

一番上のお姉ちゃんは高いとこが好きで～
グリグリはちゅん天堂に いるんじゃない？","I'm going to try to catch some more fish
before I head out. 

Why don't you go find my other siblings
in the meantime?

My oldest sister loves high places, and
Cree is probably at the Slippery Falcon."
33,Npc_HighMountain032_S01_004,"材料が集まったら炊事場にあるおナベで
お料理♪お料理♪","Once you get all the ingredients, you can
cook the meal in the pot in the kitchen! 
♪Cookie cook cook!♪"
34,Npc_HighMountain032_S01_201,"あれっお兄ちゃん もうサーモンムニエルを
ゲンコに作ってくれてたの？！
うゎ～い どうもありがとう！
これで機嫌直してくれれば いいんだけど…","You already made salmon meunière
for Genli?

Yaaay! Thank you so much!
Hopefully she stops whining now..."
35,Npc_HighMountain032_S02_001,"そいや～ そいや～！

いっけない間違えちゃった！","Hiyah! HIYAW!


Oh, no... I messed up!"
36,Npc_HighMountain032_S02_002,"間違えないように ちゃんと歌うね！
お兄ちゃん聞いてくれる？","I'll try not to mess up my song.
Do you want to hear it?"
37,Npc_HighMountain032_S02_003,"今度は間違えないぞ！そいや～！
…あれれ？","I won't make a mistake next time! Yeah!
Huh?"
38,Npc_HighMountain032_S02_101,"お兄ちゃんこのマックスサーモンあげるから
ゲンコにサーモンムニエルを…
…ってポーチの中身がぐちゃぐちゃだよ～
キレイにしてきてね～！","Please take this hearty salmon and make
some salmon meunière for—

...Hey! Your inventory is full!
Clean out your bag and come back."
39,Npc_HighMountain033_R_001,"ふんっ お歌の練習なんて大っキライ！
上手に歌えなくたって い～んだもんね～！
あ～そんなことよりお腹空いちゃった…

サーモンムニエルが食べた～い！","Hmph! I hate practicing singing!
Who cares if I'm not a good singer!

*sigh*
All of this pressure is making me
hungry.
I want some salmon meunière!"
40,Npc_HighMountain033_R_002,"サーモンムニエルが
食べたいったら食べたいの！！","I want to eat some salmon meunière!
I want it. I want it. I WANT IT!"
