#,Title,JPja,USen
1,Talk_Castle_Stone_01,"-兵士訓練所最終試験-
巨大な魔物を討ちし者王国騎士と認める"," - Test of the Royal Guard -
Strike down the giant foe to become
recognized as a knight of the kingdom."
2,Talk_ChgE3_Hint_001,我が宝箱を捧げよ,"Please place my chest in my mouth.
The shield eater's brother stole it from me."
3,Talk_ChgE3_Hint_002,"蘇りし魔物たちの守る古びた盾を
我が内に捧げよ","Feed me the aged shield guarded
by monsters eternal. My brother will
repay you in kind."
4,Talk_Gerudo_Bar,"Bar
Pure Love",The Noble Canteen
5,Talk_Gerudo_Costume,Fashion Passion,Fashion Passion
6,Talk_Gerudo_Hotel,Hotel Oasis,Hotel Oasis
7,Talk_Gerudo_Jewelry,"-Jewelry-
Star Memories","Starlight Memories
 - A Jewelry Shop -"
8,Talk_Gerudo_Sunazara_Ctr,"レンタザラシをご利用になりたい方は
正面受付までお越しください","Please see the front desk for all inquiries
regarding the renting of seals."
9,Talk_Gerudo_Sunazara_East,"レンタザラシ屋
【南東門店】","Sand-Seal Rental Shop
Southeast Booth"
10,Talk_Gerudo_Sunazara_West,"レンタザラシ屋
【北西門店】","Sand-Seal Rental Shop
Northwest Booth"
11,Talk_Kanban_I-7_002,リンクのお家,Link's House
12,Talk_Korogu_Escape1,"～マカマカからのお知らせ～
ここの樹だけ特別デス！
口の中に入ると森の外へ出られるように
しておきましたデスよ！ えへん！","A Note from Maca:
Just climb into this tree's mouth to leave
the forest. I promise it won't eat you."
13,Talk_Macuse,"マキューズ半島の勇者の試練へは
この古の球が導くだろう","Only a hero bearing this ancient orb
shall be granted the right of trial on
Rist Peninsula."
14,Talk_NightStone_001,"力を望む者よ
青き光の石を捧げよ","If you seek power untold,
offer a shining blue stone."
15,Talk_ZoraLithograph_Mess_01,"― ゾー…史 …7章 ―
魔…ライネルを討伐…た勇者…の…録
ゾーラ王 ドレファン こ…に…す ―――

民は雷獣…に住み…いた魔…に怯えていたしかし1人のハイリア…が彼奴を退…し
里の…穏を取り戻して…れた
この戦い…彼が身に…けてい…ゾーラの兜は
里の…にある ト……の……に安置する
勇者 ……クの活躍を称えて","H---ory of the Zor-, Part S-ven
The H-ro Who D-feat-d the Ly--l
As T--d b- King Dorephan
T--re was a time when the p--ple of the
land were thre--ened by the dr--- beast
Ly-e- who lived on Pl--mu- M--ntain.But one Hy---n drove th- beast back
an- re--ored p--ce to the do--in.

Th- Zora helm w-n in th-s fight i-
no- north of --- in the r--ns near
---- L-ke.
It re--s ther- to h--or the d--ds
of the he-- L---."
16,Talk_giant_bros,"テルメ山の巨人たちが守りし古の球が
勇者の試練へと導くだろう","The ancient orbs guarded by the giants
of Mount Taran lead to the shrine."
