#,Title,JPja,USen
1,Talk_B-3_001,"いつもニコニコ
よろず屋 ちゅん天堂はこちら！","- The Slippery Falcon -
We have the best deals in the west!"
2,Talk_B-3_002,"おしゃれの事なら紅孔雀
各種防寒具取りそろえてマス","- Brazen Beak -
We've got you covered!"
3,Talk_B-3_003,"旅の疲れを癒すなら…
御宿 ツバメの巣","- Swallow's Roost -
Home of the world-famous
Rito-down bed. "
4,Talk_G-6_001,御宿 『合歓』,Shuteye Inn
5,Talk_G-6_002,素材屋 『満福』,High Spirits Produce
6,Talk_G-6_003,呉服屋 『忍杏亭』,Enchanted
7,Talk_G-6_004,萬屋 『亜路雨』,The Curious Quiver
8,Talk_H-1_GoronCamp,"ここはド根性ガケ！
オマエのド根性見せるゴロ！！","Welcome to Gut Check Rock

DO YOU HAVE WHAT IT TAKES?!"
9,Talk_I-3_001,ちゅん天堂 イチカラ村支店,Slippery Falcon (Tarrey Town Branch)
10,Talk_I-3_002,ブティック ザ・パウダ,Rhondson Armor Boutique
11,Talk_I-3_003,石のお店 ププンダ屋,Ore and More
12,Talk_I-7_000,"ハテノ古代研究所
かまどは熱い！触るな！","- Hateno Ancient Tech Lab -
If the flame is blue, the furnace is hot!
DO NOT TOUCH!"
13,Talk_I-7_001,"ハテノ古代研究所
あぶない！子供は今すぐ引き返すべし！","Hateno Ancient Tech Lab 
Enter at your own risk!"
14,Talk_I-7_002,"ハテノ古代研究所
お子様へ！ しょく台で遊んではいけません！","Hateno Ancient Tech Lab 
Mind the lanterns!"
15,Talk_I-7_003,"ハテノ古代研究所
あぶないよ？ いい子のみんなは来ちゃダメ"," Hateno Ancient Tech Lab
       NO SOLICITING"
16,Talk_I-7_005,"よろず屋
イースト・ウィンド","- East Wind -
General Goods"
17,Talk_I-7_006,"お洋服の染色ならコチラ
元祖東風屋","- Kochi Dye Shop -
We live to dye!"
18,Talk_I-7_007,民宿 トンプー亭,- The Great Ton Pu Inn -
