#,Title,JPja,USen
1,"""0000""",どうしたの？,What's wrong?
2,"""0001""",元気出して,Keep your chin up.
3,"""0002""",誰が通ったの？,Who came by?
4,"""0003""",さよなら,Good-bye.
5,"""0005""",宝珠はどこ？,Where's the heirloom?
6,"""0006""",村人は通ったの？,Villagers?
7,"""0007""",何してるの？,What are you doing?
8,"""0008""",夜は何してる？,Nighttime activities?
9,"""0009""",盗んだ？,Did you steal it?
10,"""0010""",宝珠盗んだ？,Did you steal it?
11,"""0011""",…ですね,...Right.
12,"""0012""",宝珠盗んでない？,So... Did you steal it?
13,"""0013""",さよなら,Sorry for your loss...
14,Near00,じいさんは行ったかの,Is my old man gone?
15,Near01,自然に しとかんとな,Just act naturally...
16,Near02,ここまでくれば…,I made it this far...
17,Near03,ふぅ…,Phew...
18,Npc_Assassin_0,"クックックッ怖い顔ですねぇ…思った通り この宝珠は アナタたちの村にとって
相当大切な物らしいですねぇ","Heh... Such anger.It seems this thing is truly special to the
fools of this village."
19,Npc_Assassin_1,"そんな大きな声を出さなくても
私は ここにいますよ",You don't have to shout. I'm right here.
20,Npc_Assassin_2,"おやおや その言葉は心外ですね～先に組織を抜けたいと言ったのは
ドゥラン… アナタではないですか？
組織を抜けるということが どういうことか…
アナタが一番 ご存じなはずでは？","Don't play dumb, Dorian.You knew what you were getting yourself
into when you decided to leave the
organization.
You forfeited your life the moment you
left."
21,Npc_Assassin_3,"しかし…
アナタは最後に いい仕事をしてくれました","You did well to tell us about
the heirloom."
22,Npc_Assassin_4,"アナタの始末は後回しです
…まずは","Unfortunately, your usefulness has come
to an end, as must you. But first..."
23,Npc_Assassin_5,"そちらに隠れている剣士様の
お命からいただくとしましょう！",It appears we have an audience!
24,Npc_Assassin_6,"そちらに隠れている剣士様の
お命からいただくとしましょうか…
我が主の恨みも…
しっかり晴らさせていただきますよ","It appears we have an audience!


FOR MY FALLEN MASTER!"
25,Npc_Kakariko002_Near,とんでもないことに…,This is awful...
26,Npc_Kakariko002_R_001,"リンク様…ちょっと目を離した隙に…パーヤは…
パーヤは どうすれば…","Link...I swear I only took my eyes off it for a
second!What should I...
What should I do?"
27,Npc_Kakariko002_R_002,"宝珠が…宝珠が盗まれてしまったのです…やっと… やっと あの宝珠の謎が
わかったところ でしたのに…","The Sheikah heirloom...The heirloom has been stolen!And just when I had finally discovered
the heirloom's secret..."
28,Npc_Kakariko002_R_003,"元気なんかでるわけが
ないじゃないですか！
宝珠が…宝珠が盗まれてしまったのです…やっと… やっと あの宝珠の謎が
わかったところ でしたのに…","Keep my chin up?
Do you even realize how bad this is?!

The Shiekah heirloom...The heirloom has been stolen!And just when I had finally discovered
the heirloom's secret."
29,Npc_Kakariko002_R_004,"『この宝珠に認められし者
古の加護をうけん』パーヤはのう…
この宝珠に認められし者とは其方のことだと
寝る間も惜しんで
宝珠の謎を調べておったのだ
そして古の加護とは村の高台にあるような
古代の祠のことであり…
そしてまた あの宝珠は
祠を開く鍵であることをつきとめ
それらを其方に伝えるべく
待っていた矢先に…このようなことに…","\""The hero, as chosen by the Sheikah
heirloom, will be gifted the blessing
of antiquity.\""Paya thinks \""The hero, as chosen by the
Sheikah heirloom\"" is you, so she stayed
up all night researching the heirloom.
She came to the conclusion that
\""the blessing of antiquity\"" refers to
one of those ancient shrines.
And that the heirloom is the key that
opens the shrine.

And just before we were able to tell
you this, the thing is stolen!"
30,Npc_Kakariko002_R_006,"パーヤは朝から夕刻まで
毎日宝珠を磨いておりました…
闇夜に乗じて何者かが忍びこんだことは
間違いないのですが…
ここは部外者は入れぬ場所…この村に… そのようなことをする者は
おらぬと信じてはおりますが…","I had been cleaning the heirloom
regularly every day from morning
to dusk.
Someone must have stolen it during 
the deepest hour of the night.

This place is off-limits to outsiders...And no one from the village would do
such a thing! Would they?"
31,Npc_Kakariko002_R_008,"パーヤは毎日宝珠を磨いておりました
盗人は闇夜に乗じ忍び込んだに違いありません…
ドゥランやボガードにも確認いたしましたが
村人以外は見かけていないと…
しかし… この村にそのようなことをする者が
いるとは思えませんし…
それよりも宝珠がなくなって
まだ間ものうございます
盗人は まだ近くに潜んでいるかもしれませぬ夜に怪しい動きをする者を見つけられても
決して近づかれませぬよう…","I clean the heirloom during the day,
so the thief must have snuck in
at night.
I checked with Dorian and Cado, but
they've only seen other villagers around.

And I can't think that anyone in this
village would do something like this.

Since the heirloom was stolen recently,
the thief could still be hiding nearby.Just to be safe—if you see someone
acting suspiciously at night,
don't approach them."
32,Npc_Kakariko002_R_009,"悪意を持った者が この神聖な場に…
祖母が無事であったのは何よりですが
パーヤは…
パーヤは恐ろしゅうございます…","Someone with evil intent came into this
sacred place.

I'm glad Grandmother is safe, but I still
feel so...violated."
33,Npc_Kakariko002_R_010,"リンクよ… パーヤはすっかりおびえておる
賊もまだ近くにいるやもしれん…
しばらくは パーヤの側にいてくれぬか…","Link... Paya is afraid that the thief may
still be nearby. Would you please stay by
her side today?"
34,Npc_Kakariko002_R_011,"…リンク様…
ありがとうございました
リンク様が一日中側にいてくださったおかげで
私も盗人に立ち向う勇気が湧いてまいりました
泣いてばかりは いられませんね…

ドゥランやボガードにも確認いたしましたが
村人以外は見かけていないと…
私も宝珠が盗まれた あの夜のことを
もう一度思い出してみようと思いますが
盗人は まだ近くに潜んでいるかもしれません夜に怪しい動きをする者を見つけられても
決して近づかれませぬよう…","Master Link...


Thank you for staying by my side for the
whole day.

I see now that crying and feeling scared
won't help us get the heirloom back.

I checked with Dorian and Cado, but they
said they didn't see anyone other than
villagers around.
I'll try again to remember all I can about
the night the heirloom was stolen,
but the thief may still be hiding nearby.I have a bad feeling. If you spot any
suspicious movement at night, don't
approach..."
35,Npc_Kakariko006_01,"お前さんも
あの城を見に来たのかのぅ？あの光…
邪悪なものだとわかっているんじゃが…
夜になると浮かび上がる姿が美しくてのぅ
時折 ここに見に来るんじゃ
…こんなこと ばあさんや村の者には
口が裂けても言えんがな","Have you come to look at the castle too?I know the light swirling around the
castle is the manifestation of pure evil
and all, but it's kind of beautiful.
I sometimes come up here at night to
look at it, but I could never tell my old
lady or the village about it."
36,Npc_Kakariko006_02,"お前さんも
あの城を見に来たのかのぅ？あの光…
邪悪なものだとわかっているんじゃが…
夜になると浮かび上がる姿が美しくてのぅ
時折 ここに見に来るんじゃ
しかし…
今夜はよく人を見かけるのぅ…
さっきもドゥランが奥の裏山の方に
走っていきよったしのぅ…
なんだか急いでおったでのぅ
声はかけなんだが…","Have you come to look at the castle too?I know the light swirling around the
castle is the manifestation of pure evil
and all, but it's kind of beautiful.
Although I'm surprised to see so many
people up here tonight. I just saw Dorian
run off to the hills back there.
He seemed like he was in a hurry, so 
I didn't get a chance to speak with him."
37,Npc_Kakariko006_03,"今日は気分がいいでのぅ

ちょっと散歩してから
帰るとするかのぅ","What a nice day today was.


I think I'll go for a little walk, and then
head home."
38,Npc_Kakariko006_Near,ほほぅ…,Humm da dumm...
39,Npc_Kakariko007_101,"いるんだろ！
隠れてないで出てこい！","I know you're there!
Show yourself!"
40,Npc_Kakariko007_102,宝珠を盗んだのは お前だな！,"So you're the ones who stole
the heirloom!"
41,Npc_Kakariko007_103,なぜ盗んだりなど…,Why would you steal it?
42,Npc_Kakariko007_104,くっ…,Hnng...
43,Npc_Kakariko007_105,"まさか後をつけられていたとは…

お気づきだと思いますが…
今回のことは すべて私が招いたことなのです…","I can't believe I was being followed.


I'm sure you've figured it out, but all of
this is my fault..."
44,Npc_Kakariko007_106,"しかし私は再度決意をしたのです
アイツらと縁を切ることを！
子供たちだけなら私の手で守れる…
そう考えたのです
…しかし アイツらは卑怯にも
インパ様やパーヤ様にまで魔の手を…","But my grief over losing my wife
consumed me, and I finally decided to
cut ties with the Yiga completely!
I decided I could protect my children
from the Yiga. I wasn't afraid of them.

But the Yiga are pure evil. They told
me they would kill both Impa and Paya if
I didn't play along!"
45,Npc_Kakariko007_107,"ご存知かと思いますが この宝珠は
古の祠を開く鍵だと分かりました
私たちには扱うことができませんでしたが
貴方様ならきっと…","Paya figured out that this heirloom is the
key to opening an ancient shrine.

We weren't able to make it work,
but Paya thinks that maybe you can."
46,Npc_Kakariko007_108,"勝手な お願いだとは分かっておりますが
今回のことは秘密にしていただけませんか？
子供達に… ココナとプリコに
これ以上 つらい思いは させたくないのです
償えるものではないと分かっておりますが
これからは命をかけて護るつもりです
村も家族も…","I'm very sorry for all of this.


I know it's a selfish request, but do you
think you could keep what really
happened a secret?
I truly don't deserve mercy, but I don't
want my children, Koko and Cottla, to
suffer anymore.
I know it doesn't make up for what I've 
done, but I pledge to protect the village
and my family from now on.
No matter the cost."
47,Npc_Kakariko007_109,"隠していても仕方がありません…

実は…

私は イーガ団の人間なのです…

しかし妻と出会い子に恵まれ
私は考えを改め…
そしてイーガ団から足を洗おうとしました

しかし そのことで… 
妻は命を奪われてしまったのです…","There's no point in trying to hide it.


I am...a member of the Yiga Clan.
Or I used to be, anyway.

But then I met the most incredible
woman who blessed me with two
amazing children.
And so I tried to change my ways.
Tried to leave the clan.

But the Yiga... They took my wife's life
as punishment."
48,Npc_Kakariko007_110,"手ごわいですが敵は一人です！
ここで奴を倒しましょう！","It won't be an easy fight, but he's just
one man. To arms!"
49,Npc_Kakariko007_111,"私は これ以上家族に魔の手が及ばないよう
門番という立場を利用し
アイツらに この村の…
貴方の情報を流していたのです","I couldn't let them hurt my children, so I
used my position as gatekeeper to
gather information for the Yiga.
I told them about you and about the
village in exchange for safety."
50,Npc_Kakariko007_112,"貴方様の お役に立てることが
パーヤ様の…""皆の願いです","Paya...and all of us are devoted to
helping you in your quest."
51,Npc_Kakariko007_113,さぁ宝珠を台座に お納めください,"Go ahead and place the heirloom
on its pedestal."
52,Npc_Kakariko007_114,"このままだと奴は村の者に何をするか…
ここで決着をつけましょう！","If we let him go, there's no telling what
he might do! Let's finish this!"
53,Npc_Kakariko007_115,"リンク殿 どちらへ？
さあ宝珠をお納めください","Where are you going, Master Link?
I thought you were going to return
the heirloom to its pedestal."
54,Npc_Kakariko007_117,さぁ この宝珠を台座にお納めください,"Now, please restore this heirloom
to its pedestal."
55,Npc_Kakariko007_118,おおっ祠が…,"The shrine!
"
56,Npc_Kakariko007_119,"やはりその宝珠は祠を開くカギだったのですね
よかった…
リンク様 その…","So the heirloom WAS the key to opening
the shrine. Incredible...

Master Link, I..."
57,Npc_Kakariko007_S1_001,"しかし一体誰が宝珠を…この屋敷に出入りしていた者は おりましたが
皆村の者…
怪しい者など誰一人通りませんでした","But who could have stolen the heirloom?There were some people visiting
the manor, but they were all
known villagers.
I don't remember seeing anyone
suspicious."
58,Npc_Kakariko007_S1_002_1,"ぬおっ！ これはこれはリンク殿
こ… このような時間にどうされましたか？","Whoa! Well if it isn't Master Link.
What are you doing wandering around
in the dead of night?"
59,Npc_Kakariko007_S1_002_2,"私ですか？
ああ…まあ…""私はですね… 
村の…

そう！""村の見回りをしているのです！
賊がまだ村に潜んでいるやもしれませんのでな！
しかし… ボガード1人にお屋敷の警護を
任せるのも気がかりですし
やはり戻るとしようかな…
…では失礼","Me? Um...
I was just...

The village...


Yes! I was patrolling the village!
The thief could be hiding anywhere,
you know!
But I should probably get back to my
post. Leaving Cado alone on guard duty
is dangerous.
Stay safe out here."
60,Npc_Kakariko007_S1_002_3,"こ… こんな時間に怪しい動きをしていると
犯人に間違われてしまいますよ
リ… リンク殿も お気を付け下さい","You should really stop stalking about at
night like this, or someone may mistake
you for the thief.
P-please do be careful, Master Link."
61,Npc_Kakariko007_S1_002_4,"むおっ！ リンク殿？！

こ… このような場所で会うとは
奇遇ですなぁ！","Whoa! Master Link?


I...uh, didn't expect to run into you
here!"
62,Npc_Kakariko007_S1_002_5,"し… しかし こんな時間に
こんな所にいらっしゃるなんて
不審者と間違われてしまいますよ
ははは…","You know, stalking about at night around
here makes you look pretty suspicious.
Someone may mistake you for the thief!
Hahaha!"
63,Npc_Kakariko007_S1_002_6,"私… ですか？

私は…夜の…

そう！""夜の散歩をしているのです！

しかし…少し遠くまで
来すぎてしまったようです
そろそろ戻るとしようかな…
…では失礼","What am I doing?


I was...just...walking.


Yes! I was taking a walk at night!


But it seems I've walked a bit too far.
Excuse me. I'm going to head back."
64,Npc_Kakariko007_S1_002_7,これはこれは リンク殿…,"Well, if it isn't Master Link..."
65,Npc_Kakariko007_S1_Near001,……,...
66,Npc_Kakariko007_S1_Near002,まさか… アイツら…,How could they?
67,Npc_Kakariko007_S1_Near003,こうしてはおれん,I must do something.
68,Npc_Kakariko007_S1_Near004,やはり戻るか…,I should turn back...
69,Npc_Kakariko007_S1_Near007,誰も… おらんな,Sure is quiet out here...
70,Npc_Kakariko007_S1_Near008,む？今何か…？,What was that?!
71,Npc_Kakariko007_S1_Near009,気のせいか…,Must be imagining things.
72,Npc_Kakariko007_S1_Near010,どこだ！出てこい！,Show yourself!
73,Npc_Kakariko007_S1_Near012,何てことだ…,I can't believe this.
74,Npc_Kakariko007_S1_Near013,誰がこんなことを…,Who did this?
75,Npc_Kakariko008_01,"いくら年上が好きと言っても
私は人妻… あきらめるんじゃな","I can tell you're into older women, but
I'm married. Give it up."
