#,Title,JPja,USen
1,"""0008""",始めます,Let's do this.
2,"""0009""",もう少し待って,Hold on.
3,"""0010""",スナザラシラリー？,Sand-seal race?
4,"""0011""",パフュー？,Tali?
5,"""0014""",もちろん,Of course.
6,"""0015""",やめておきます,I'll pass.
7,"""0016""",はい…,OK.
8,"""0017""",……困ります,Forget it.
9,"""0018""",ルールを教えて,Tell me the rules.
10,"""0019""",もう一度挑戦する,I want to try again.
11,"""0020""",今はいいです,Not right now.
12,"""0021""",アナタは？,Who are you?
13,"""0022""",さよなら,Good-bye.
14,"""0023""",勝負したい,I'm ready to race. 
15,Npc_oasis038_AfterGoal_010,"アーチは全部通ったようだけど…チャンピオンの記録
分秒に届かなかったから失格だよ！","Well, you passed through all of the
arches...But you didn't break the champ's
record of :.
Too bad."
16,Npc_oasis038_AfterGoal_020,"コースにある全てのアーチを通らないと
失格だよ
アーチは7つ！
次は忘れるんじゃないよ！","You'll have to pass through all seven
arches on the course, or you'll be
disqualified.
Don't forget!"
17,Npc_oasis038_AfterGoal_030,"…お前のファンキーなザラシテクニック
また見せに来てくれ…","...Come show us your funky seal
technique again sometime..."
18,Npc_oasis038_Demo330_1_530,…たった3年か,...Just three years?
19,Npc_oasis038_S1_001,アンタも懲りないねぇ,I didn't think you were a quitter.
20,Npc_oasis038_S3_001,"……

ファンキーな走りだったよ","...


That was some solid riding..."
21,Npc_oasis038_S3_002,"おぇい！

チャンピオンがアタシ以外と
そんなにおしゃべりするなんて…
ちょっと焼けるねぇ","Heh...


The champion talking to someone
besides me? I must admit...
I'm a little jealous."
22,Npc_oasis039_Demo330_1_510,"こんな記録が
生きているうちに拝めるとはねぇ","Never thought I'd see that record broken
in my lifetime."
23,Npc_oasis039_Demo330_1_520,"まったく… いい走りに興奮しすぎて
寿命が3年は縮まったよ","I got so excited seeing a run that good—
it probably shaved three years off of my
life."
24,Npc_oasis039_Demo330_1_540,"ん？
あんだって？",I need to sit down for a moment...
25,Npc_oasis039_R_005,じゃあ再開といこうじゃないか！,Then let's do this!
26,Npc_oasis039_R_Near,やっとだね パフュー,"Finally, Tali!"
27,Npc_oasis039_S1_001,"ゲルド伝統の競技
スナザラシラリー！
ウチのチャンピオン パフューに勝てば
唯一無二のトロフィーゲット！
1回50ルピーだが挑戦するかい？","Sand-seal racing, the traditional
Gerudo sport!

Beat the great Tali's time and walk away
with the one and only trophy! Just
50 rupees per race. How about it?"
28,Npc_oasis039_S1_002,"いいね～
まれにみる良い返事だ！
じゃあ50ルピーはいただくよ","Excellent. A good answer is a rare thing
these days. That'll be 50 rupees."
29,Npc_oasis039_S1_003,"ふふ このラリーが始まる前の緊張感…

何度経験してもいいもんだね～","Hehe, these stomach butterflies before a
race...

I never get sick of it."
30,Npc_oasis039_S1_007,"ちょいちょいちょい！

盾を持ってないじゃないか！
スナザラシに乗るには盾がいるって
学校で教わらなかったのかい？
盾を装備してから
出直してくるんだね","Hey, hey, hey! You don't have a shield!


Didn't they teach you in school that you
need a shield to sand-seal surf?
That's basic knowledge!
Come back when you've got a shield."
31,Npc_oasis039_S1_100,"スナザラシに乗り決められたアーチを通って
目的地に向かい時間を競い合う
途中でスナザラシから下りたり…
コースエリアから外れすぎたら失格だよ
チャンピオンの記録分秒を切って
ゴールできたら アンタの勝ちさ
チャンピオンの名誉だけでなく
受け継がれてきたトロフィーも アンタのもんさ
さっ もういいだろ？
長い話は嫌いなんだ
1回50ルピーだが
ウチのチャンピオンと勝負するかい？","Ride the sand seal to compete for the
best time while also going through
the marked arches.
If you get off your shield or leave the
course bounds, you're disqualified.

If you beat the champion's record
of :, you become the new
world champion!
Not only that, but you'll also receive the
grand trophy, which has been passed
down for generations!
But that's enough talk. Time to put your
rupees where your mouth is.

It costs 50 rupees per attempt. Are you
ready to challenge the champion's time?"
32,Npc_oasis039_S2_001,"ちょいちょいちょい！
スナザラシから降りたらダメだって言っただろ！
残念だが ここで終了だよ","Hey, hey, HEY! I told you, you can't get
off your shield!

That's it. The race is over!"
33,Npc_oasis039_S2_002,まだまだ素人の走りだね…,"Pfft... You need some training wheels on
that sand seal?"
34,Npc_oasis039_S2_003,"ちょいちょいちょい！
コースを外れたら終了だって言っただろ！
今回はここまでだよ！","Hey, hey, hey! I told you, you can't leave
the course bounds!

That's it. This race is over!"
35,Npc_oasis039_S2_004,"ちょいちょいちょい！

用があるんなら アタシが受けるよ

なんてったって パフューは
ウチのチャンピオンだからね
素人が気軽に話せる
存在じゃないんだよ！","Hey, hey, hey!


If you need something, you talk to me.


Tali is the world champion! You can't
just walk up and talk to her!"
36,Npc_oasis039_S2_005,"まだやるかい？
もちろん50ルピーはいただくけどね","You want to try again? It'll be another
50 rupees."
37,Npc_oasis039_S2_006,"ふふっ分秒の壁の高さが
わかっただろう？
ウチのパフューは世界チャンピオンなんだ
次は もっと練習してから来るんだね","Heh, I see you now understand how
difficult the record is to crack.

Our Tali is a world champion!
Come back after you get some practice."
