#,Title,JPja,USen
1,"""0001""",読まない,Don't read.
2,"""0002""",次のページ,Next page.
3,"""0003""",前のページ,Previous page.
4,"""0004""",やめる,Stop reading.
5,"""0005""",最初のページ,First page.
6,"""0006""",最後のページ,Last page.
7,Diary_00,ゼルダの研究録を読みますか？,Read Zelda's research journal?
8,Diary_01,"シーカー族のインパを引見
私は今日から本格的に遺物の研究に関わる
インパから プルアとロベリーを紹介された
共にインパ同様 シーカー族との事
明日は彼等と発掘調査に赴く予定
勇導石を操作する為の遺物発見が急務だ","Today I met with Impa of the Sheikah
tribe and began my research into the
ancient technology in earnest.
Impa introduced me to Purah and
Robbie, other respected members
of her tribe. 
Tomorrow I embark on an excavation
with them.

We hope to find ancient tech with which
to operate the Guidance Stones."
9,Diary_02,"遺跡より勇導石操作用と思われる
石状の遺物が出土した
両手で持つサイズのそれは長方形の物体で
全面に古代シーカー族の紋様が確認出来る
素材は不明だが おそらく各地に点在する祠と
同じ物質で造られていると推察している
インパの進言により私が預かる事になった
これが研究の進展に繋がれば良いのだが","Today we uncovered some ancient 
technology that we believe may have the
power to control the Guidance Stone.
It is a rectangular object, small enough
to be held in my two hands. Sheikah
text is featured prominently on it.
It is made of an unknown material,
but we believe it is the same as the
shrines scattered across each region.
Impa proposed that I hold on to it for
now. I hope that it leads to some new
developments in our research."
10,Diary_03,"発見された石版状の遺物を シーカーストーンと
呼称する事になった
出土した記録の中には この遺物の名を示す
資料は発見されず プルアの命名案が採択された
シーカー族の造った石状の遺物だから
シーカーストーン…少し安直な気もする…","The stone relic we discovered has
been named. We are calling it the
Sheikah Slate.
We have not found any mention of a
name for this object in the records
we have unearthed so far...
Nevertheless, Purah insisted we call it
the Sheikah Slate, as the relic is a slate
made by the Sheikah tribe.
Feels a bit on the nose to me, but it was
not a fight I thought I could win."
11,Diary_04,"シーカーストーンの機能を一部回復出来た
この石版は写し絵を作成出来る事が判明
通常の写し絵の様に人間の描き手を必要とせず
対象物を ありのままの姿で写せるのだ
今更ながら古代シーカー族の技術の高さに
驚かされる…
シーカーストーンは勇導石を操作する為の
機能も有していると推測される…研究を急ごう","We did it. We were finally able to restore
some functionality to the Sheikah Slate.

We have discovered that this stone slate
is capable of producing...images. Perfect
likenesses of the things you point it at.
Unlike normal pictures drawn by hand,
this requires no artist to capture
anything in perfect detail.
I deeply admire the accomplishments of
Sheikah technology. Still...I know there
is more to learn. There must be.
We believe the Sheikah Slate may have
a function that will allow it to control
the Guidance Stone.
We must continue our research,
and quickly."
12,Diary_05,"英傑による神獣の操作訓練を行った

意外と言うと失礼だが ミファーがソツ無く熟し
ダルケルが最初少しだけ苦戦していた
ウルボザやリーバルも神獣との相性は良い様だ
厄災に対する光明が見えてきた","We have started training the Champions
who will pilot the Divine Beasts.

It may sound rude that I found this
unexpected, but Mipha mastered
the controls with surprising ease.
Daruk struggled at first but eventually
got the hang of it. Urbosa and Revali
both managed just fine as well.
I can finally see the light of hope in our
fight against the rising Calamity."
13,Diary_06,"ロベリーが発掘したガーディアンを次々に
可動状態まで持って行ってくれている
だが ガーディアンは全て発見された訳では無い
記録によれば更に多くの数や種類があるという
そしてそれらはハイラル城の地下に眠る
5本の巨大な柱に格納されているらしいが…
城の地下をいくら捜索しても柱は発見出来ない
恐らく相当深い位置に埋まっているのだろう
その柱は厄災ガノンの出現を感知して出現する
仕組みになっているのだろうか？","Robbie has restored mobility to many of
the Guardians we've excavated.

...But we have still yet to find all of the
Guardians. Records mention a greater
number of them—and even other types.
They are said to be stored in five giant
columns that rest beneath Hyrule
Castle. The thing is...
No matter how I search beneath the
castle, I can't seem to locate these
columns. They must be buried deep.
Were they perhaps designed to sense
the appearance of Calamity Ganon
and to only activate upon his return?"
14,Diary_07,"ハイラルの各地で無数に発見されている遺物…
あの中に入る為の研究が行き詰っている
記録によれば あれは厄災を打ち倒す勇者の為に
造られた施設なのだが肝心の起動方法が不明だ
シーカーストーンが起動の鍵なのでは？という
プルアの推測に私も賛成だが…反応は全く無い
厄災に対抗する手立ては全て万全を
期しておきたい…諦める訳にはいかないのだ","Countless ancient structures are being
discovered across Hyrule...but all
attempts to enter them have failed.
Records indicate that these are facilities
designed to train the hero who is fated
to combat the Calamity.
But the crucial activation mechanism
remains a mystery. Is the Sheikah Slate
the key to activating them?
That is Purah's theory, and I concur.
And yet, my experiments so far have
been fruitless.
Still, we must exhaustively investigate all
means of opposing the Calamity. We must
not give up, no matter what!"
15,Diary_08,"以前発見された回生の祠について
プルアと話をした
やはりあの祠が治癒能力を備えた
医療施設である事は間違いない様だ
また治療を行いながら超長期にわたる睡眠を
継続させられる機能も備わっているらしい
一万年前の厄災戦では あの遺物での治療が
必要な程の重症者が出たのだろうか…？
それに私達が あれを完全な状態で稼働する
ところまで調整出来ていない事にも不安は残る
もし厄災ガノンが復活しても回生の祠を
使う様な闘いにならない事を祈るばかりだ…","I spoke with Purah about the
Shrine of Resurrection we
discovered earlier.
As we speculated, this particular
shrine is, in fact, a medical facility
with the power to heal.
It also has a long-term stasis function
that can be activated and maintained
until healing is complete.
In the war against the Calamity 10,000
years ago...were the injuries so great
as to necessitate such a facility?
If so, I will remain uneasy until we have
made all adjustments necessary to
restore it to full working order.
I can only pray that even if Calamity
Ganon returns, our battle will not require
the Shrine of Resurrection's power..."
