#,Title,JPja,USen
1,"""0000""",長すぎる眠りに…,I've been sleeping.
2,"""0001""",記憶がない,I lost my memory.
3,"""0002""",ミファー？,Mipha who?
4,"""0003""",分からない,Doesn't ring a bell.
5,"""0004""",準備した,I'm ready!
6,"""0005""",まだ準備してない,Not yet.
7,"""0008""",思い出した,I remember.
8,"""0009""",少しだけ…,Just a bit...
9,"""0010""",すみません…,I'm so sorry...
10,"""0011""",どうなったのでしょう？,What happened?
11,"""0012""",分かった,I'm ready.
12,"""0013""",本当にいいのか？,Are you sure?
13,"""0014""",退魔の剣？,What sword?
14,"""0015""",無くしたかも,Perhaps.
15,"""0016""",まかせろ,I'm on it!
16,"""0017""",もう一度聞かせて,Come again?
17,"""0018""",わかった！,I'm in. Let's do this!
18,"""0019""",実は…,"I, um..."
19,"""0020""",ミファーを思い出した,Mipha... I remember.
20,"""0022""",もちろんだ！,No problem!
21,"""0023""",一度撤退しよう,Let's retreat.
22,"""0024""",このまま続けよう,Never surrender!
23,"""0025""",ゼルダの声が聞こえた,I heard Zelda's voice.
24,"""0026""",ハイラル城で…,"Yes, in Hyrule Castle."
25,Npc_Zora003_F_001,"おおリンク！ よくぞ戻った！
待っておったゾヨ！","Link! You did well to survive your trial!
I have been awaiting your return!"
26,Npc_Zora003_F_002,"あれほど猛威をふるった豪雨が嘘のように止み
この里の危機は消え去ったゾヨ ！
ハイラルの大地が水没する心配は
もうなくなったゾヨー！","The violent downpour has disappeared,
as has the threat to Zora's Domain!
It is all little more than a bad dream now.
Thanks to your efforts, there is no longer
any danger of a great flood laying waste
to Hyrule!"
27,Npc_Zora003_F_003,"豪雨も止み神獣も戻った！
なんとめでたいゾヨ！","The heavy rains have stopped, and the
Divine Beast is our ally once again!"
28,Npc_Zora003_F_004,"そういえばリンク
ソナタは退魔の剣を持っておらぬが…
かつての記憶と共に
退魔の剣もなくしたゾヨか？","By the way, Link. I see you are without
your trusty blade...the sword that seals
the darkness.
Did you perhaps lose it when you lost
your memory?"
29,Npc_Zora003_F_005,"きっと このハイラルのどこかで
主が来るのを待っているにちがいないゾヨ","It is no doubt resting somewhere in
Hyrule even now...waiting for its
master to return."
30,Npc_Zora003_F_006,"ソナタが眠っておる間は
どこかで帰りを待っているはずゾヨ","It undoubtedly found a safe place
to wait for you...sleeping soundly,
just like its master."
31,Npc_Zora003_F_007,"そういえば あれも退魔の剣といったか…
迷いの森に名のある剣が眠ると聞く
ソナタが100年前に持っていた
退魔の剣そのものかどうかは知らぬゾラが…
行ってみるのも悪くない
迷いの森はここより西ハイラル城の北ゾラよ","Speaking of the sword that seals the
darkness... I hear that a legendary
blade now sleeps in the Lost Woods.
Mind that I cannot say with certainty
that it is the same blade you wielded
100 years ago.
Still, I advise you to go there and see it
for yourself. The Lost Woods are to
the west, north of Hyrule Castle."
32,Npc_Zora003_F_008,"リンク今回のソナタの働きには
ゾーラ一同心から感謝するゾヨ！","Link, all of the Zora thank you from the
depths of our hearts for your heroic
and selfless work!"
33,Npc_Zora003_F_009,"お前がリンクと共に神獣と戦ったこと…
父親として誇りに思うゾヨ
知らぬ間に そんなにたくましくなりおって…
もう ワシの跡取りとして申し分ないゾヨ！","As your father, I am proud of you
for fighting the Divine Beast
alongside Link.
You have grown much recently. I know
you will be a worthy heir when your
time comes."
34,Npc_Zora003_F_010,"…とはいえ退魔の剣を持つソナタの事
あまり使う機会は ないかもしれんが…
その剣は ソナタにしか扱えぬ伝説の剣
くれぐれも大切にするのだゾヨ","Oh...but I see you already awakened the
sword that seals the darkness. Perhaps
you do not have need of this after all.
What you have there is a legendary blade
that only you can wield. You must take
great care of it."
35,Npc_Zora003_F_011,むぅ やはり忘れておったかゾヨ…,Hm. So you have forgotten that as well...
36,Npc_Zora003_F_012,なんと！無くしてしもうたゾヨか！,What? Is it truly lost?!
37,Npc_Zora003_F_013,"あれは英傑のリーダーである
ソナタにしか扱えぬ剣","That is a legendary blade that only you,
the Hylian Champion, can wield."
38,Npc_Zora003_F_014,"ソナタが眠っておる間は
どこかの森で帰りを待っているはずゾヨ","I expect it was awaiting your return while
you slept, resting in a sacred forest
or some such."
39,Npc_Zora003_F_015,"リンク！
ソナタには礼を渡さねばならぬゾヨ！",Link! I must reward your efforts!
40,Npc_Zora003_F_016,…そして シド,"...And you too, Sidon."
41,Npc_Zora003_F_018,"ソナタが水の神獣を鎮めてくれたおかげで
このゾーラの里は救われた！
期待以上の働きをしてくれた ソナタに
民を代表して心から感謝の意を示したいゾヨ！","You appeased the Divine Beast Vah Ruta
and thusly saved Zora's Domain!

We are all truly grateful! What you did
for us is more than we could have
ever expected of you."
