#,Title,JPja,USen
1,"""0000""",それは…,And that is...
2,"""0001""",そうです,That's right.
3,"""0002""",望むところだ！,I'm ready.
4,"""0003""",やめとく,Never mind.
5,"""0004""",はい,Yes.
6,"""0005""",ヒント教えて,Any pointers?
7,"""0006""",いいえ,No.
8,"""0007""",その通り,Hundreds of them.
9,"""0010""",作戦は？,What's the plan?
10,"""0012""",リンクです,I'm Link.
11,"""0015""",神獣 ヴァ・メドーを…,Vah Medoh...
12,"""0016""",さようなら,Bye.
13,"""0017""",ええ…,Actually...
14,"""0018""",少しは,I've seen a few.
15,"""0019""",オッケー！,I'm ready.
16,"""0020""",ちょっと待って,Wait a second.
17,"""0022""",分かってます,Then let's get started.
18,"""0024""",手伝います！,I can help you.
19,"""0025""",ゼルダを救うため,To rescue Zelda.
20,"""0026""",村を救いたい,To save Rito Village.
21,"""0027""",見ちゃいられない,I can't just watch...
22,"""0028""",なんとなく,Just because.
23,"""0029""",準備って？,Preparations?
24,near00,ハァ… ハァ…,*pant...pant*
25,near01,……,...
26,talk00,"ほぅ… こんな寒い所で素っ裸とはな

ともかく俺は忙しいんだ邪魔しないでくれ","Huh... It's not every day you see topless
Hylians around these parts.

Anyway, I'm busy. Go away."
27,talk01,フン…,Hmph...
28,talk02,"でリンクさんよ

ウチの族長に会ってるって事は
俺を連れ戻しに来たんだろ？
全く…族長のお人好しにも参ったもんだ

どうせメドーにやられて怪我する前に
連れ帰って欲しいとか言われたんだろ
残念だが…
俺は ここを動くつもりは無いからな
俺だって リトの戦士の端くれ
仲間がやられて おめおめ帰る訳にはいかねぇさ
…しかしな""一つだけ
俺をリトの村に帰らせる方法があるぜ
それは神獣 ヴァ・メドーが沈黙し
ヤツが空から消えた時… つまり","Well, Link. I'm Teba.
But you already knew that.

I'm guessing the elder asked you to
come here and talk some sense into me.
Am I right?
Just like the elder to trust any fool wandering into
town.

Look—you seem like an all-right guy,
but let's make one thing clear:
I'm not going anywhere.
As a Rito warrior, I can't rest until my
people are safe.

There's only one way I'm going back to
Rito Village.

Once Divine Beast Vah Medoh falls from
the sky."
29,talk03,"神獣 ヴァ・メドーを ぶっ潰す…

それが今すぐ達成できりゃ
村に帰ってやってもいいぜ？","If I have to kill Medoh...so be it.


Only then will I return to the village."
30,talk05,"…何か用か？""俺は忙しいんだ","...Did you need something?
I'm busy here."
31,talk06,"手伝います？何を？

…待て

神獣 ヴァ・メドーを知る客人か…
さては族長や妻の仕業だな？
だとしたら俺の事も聞いているだろう？
俺が テバだ
客人の名を聞いておこうか

フム…リンク…
どこかで聞いたような名だな","Help me? With what exactly?


Let me get this straight...


Some random Hylian wants to help me
bring down Divine Beast Vah Medoh?
I'm not buying it.
What's your name, stranger?


Link, huh?"
32,talk07,"分かってます？

ハハッ！
俺の性格まで村のヤツらに教えられたか！
…でもな族長が言ってたぜ

神獣 ヴァ・メドーを本当に止めるには
ヤツの内部に入らないと ダメだってな
まさか おまえ…
メドーの中に入れるとか？","Are you serious?


HA! Well, far be it from me to talk you
off the ledge.

But it's as the elder said: the only way
to stop Divine Beast Vah Medoh is to
get inside it.
Fat chance of that happening. There's no
way we can set foot in Medoh."
33,talk08,"じゃ行け
矢で的を5個だぞ","Then go destroy five targets with your
arrows."
34,talk09,"フン…""臆したか","Hmph... Cold feet, huh?"
