#,Title,JPja,USen
1,"""5500""",はい,はい
2,"""5501""",いいえ,いいえ
3,"""5502""",買う,買う
4,"""5503""",やっぱりやめる,やっぱりやめる
5,"""5504""",何か買う,何か買う
6,"""5505""",何か売る,何か売る
7,"""5506""",やめとく,やめとく
8,"""5507""",ぜんぶ買う,ぜんぶか買う
9,"""5508""",ぜんぶ売る,ぜんぶう売る
10,Com_Talk_00,どれを売ってくれるんだい？,どれをう売ってくれるんだい？
11,Com_Talk_01,"を売ってくれるんだね？
ルピーになるけどいいかね？","を う売ってくれるんだね？
ルピーになるけどいいかね？"
12,Com_Talk_02,"ありがとう
他にも売ってくれるかい？","ありがとう
ほか他にもう売ってくれるかい？"
13,Com_Talk_02b,いやー助かるよ… ありがとな,いやーたす助かるよ… ありがとな
14,Com_Talk_02c,ありがとな,ありがとな
15,Com_Talk_02d,オーケー また頼むよ,オーケー またたの頼むよ
16,Com_Talk_03,まだ何かあるかい？,まだ何かあるかい？
17,Com_Talk_04,おや 残念だね,おや 残念だね
18,Com_Talk_05,何でも買い取るよ！,何でも買い取るよ！
19,Com_Talk_05b,ゆっくり選んでいいからな,ゆっくりえら選んでいいからな
20,Com_Talk_05c,オーケー買い取りなら まかせてくれ！,オーケー か買いと取りなら まかせてくれ！
21,Com_Talk_05d,何を売ってくれるんだい？,なに何を う売ってくれるんだい？
22,Com_Talk_06,どれを買ってくれるんだい？,どれを買ってくれるんだい？
23,Com_Talk_07,悪いね 今そいつは切らしてるんだ,悪いね 今そいつは切らしてるんだ
24,Com_Talk_08,"ルピーが足りないみたいだね
もう少し稼いでから来なよ","ルピーが足りないみたいだね
もう少し稼いでから来なよ"
25,Com_Talk_09,"ポーチがいっぱいみたいだな
売るか捨てるかして空きを作ってから来てくれ","ポーチがいっぱいみたいだな
売るか捨てるかして空きを作ってから来てくれ"
26,Com_Talk_10,"を買うんだな？
ルピーになるけどいいかね？","を買うんだな？
ルピーになるけどいいかね？"
27,Com_Talk_11,まいどあり！,まいどあり！
28,Com_Talk_11b,オーケー ありがとよ,オーケー ありがとよ
29,Com_Talk_11c,まいど オーケー,まいど オーケー
30,Com_Talk_11d,まいどっ！,まいどっ！
31,Com_Talk_12,"自慢の品ぞろえさ
ゆっくり見ていっとくれ！","自慢の品ぞろえさ
ゆっくり見ていっとくれ！"
32,Com_Talk_13,"を売ってくれるんだね？
いくつだい？","をう売ってくれるんだね？
いくつだい？"
33,Com_Talk_14,"を個で
合計ルピーで買い取るけどいいかい？","をこ個で
ごうけい合計ルピーでか買いと取るけどいいかい？"
34,Com_Talk_15,それはちょっとうちでは買い取れないな,それはちょっとうちではか買いと取れないな
35,Com_Talk_16,着てる服は脱いでから売ってくれよ,き着てるふく服はぬ脱いでからう売ってくれよ
36,Com_Talk_20,"こんな天気でも冒険とはご苦労だね
せっかくだし取っておきを並べるよ！","こんなてんき天気でもぼうけん冒険とはごくろう苦労だね
せっかくだし と取っておきをなら並べるよ！"
37,Com_Talk_30,"が個で
合計ルピーになるけどいいかい？","がこ個で
ごうけい合計ルピーになるけどいいかい？"
38,Com_Talk_31,"を買ってくれるのか？
いくつだい？","をか買ってくれるのか？
いくつだい？"
39,Com_Talk_33,"をひとつだけだね？
それならルピーだけどいいかい？","をひとつだけだね？
それならルピーだけどいいかい？"
40,Com_Talk_34,"をあるだけ全部だね？
個でルピーだけどいいかい？","をあるだけぜんぶ全部だね？
こ個でルピーだけどいいかい？"
41,Com_Talk_35,"を個全部だね？
合計ルピーで買い取るけどいいかい？","をこぜんぶ個全部だね？
ごうけい合計ルピーでか買いと取るけどいいかい？"
42,Com_Talk_36,"これで最後だ
いっぱい買ってくれて うれしいねぇ","これでさいご最後だ
いっぱいか買ってくれて うれしいねぇ"
43,Com_Talk_37,"もう今日は売るものがないんだよ
たくさん買ってくれてありがとな！
入荷予定の品物リストだけでも見ていくかい？","もうきょう今日はう売るものがないんだよ
たくさんか買ってくれてありがとな！
入荷よてい予定の品物リストだけでもみ見ていくかい？"
44,Com_Talk_50,"だね？
ルピーになるけど いいかい？","だね？
ルピーになるけど いいかい？"
45,Com_Talk_51,"かい？
いくつにするかい？","かい？
いくつにするかい？"
46,Com_Talk_52,"が個だと
合計ルピーになるけどいいかい？","がこ個だと
ごうけい合計ルピーになるけどいいかい？"
47,Com_Talk_53,"おや
いい品だったのに残念だな","おや
いいしな品だったのに ざんねん残念だな"
48,Com_Talk_54,おいおい ルピーが足りないみたいだよ,おいおい ルピーがた足りないみたいだよ
49,Com_Talk_55,"よく見たら荷物がいっぱいみたいだな
売るか捨てるかしてくれよ","よくみ見たらにもつ荷物がいっぱいみたいだな
う売るかす捨てるかしてくれよ"
50,Com_Talk_56,"を一つだけだね？
それならルピーになるけど いいかい？","をひと一つだけだね？
それならルピーになるけど いいかい？"
51,Com_Talk_60,"？
それならルピーだよ！","？
それならルピーだよ！"
52,Com_Talk_61,"あら残念
他のも見てってよ！","あらざんねん残念
ほか他のもみ見てってよ！"
