#,Title,JPja,USen
1,"""0000""",エキスパンション・パス,Expansion Pass
2,"""0001""",購入特典,Purchase Bonus
3,"""0002""","「始まりの台地」に、エキスパンション・パス限定の装備などが入った
特製宝箱が3つ追加されました","Three special treasure chests containing exclusive Expansion Pass items
are now available on the Great Plateau."
4,"""0003""",第1弾 「試練の覇者」,Pack 1: The Master Trials
5,"""0004""",ラムダの秘宝,Misko's Treasure
6,"""0005""","ムジュラの仮面など ゼルダシリーズの作品を
モチーフにした装備が全部で8つ追加されました
それらを盗み出した大盗賊ラムダの手記が
「ハイラル宿場町跡地」に置かれている とか…","Eight items have been added, including Majora's Mask and other relics
honoring the legacy of The Legend of Zelda series. There is apparently
a journal at Outpost Ruins written by the fiend who stole these items—
the great bandit Misko!"
7,"""0006""",第1弾 「試練の覇者」,Pack 1: The Master Trials
8,"""0007""",コログのお面,Korok Mask
9,"""0008""","近くに隠れコログがいると知らせてくれる コログのお面が追加されました
「森の馬宿」に そのウワサが書かれた本が置かれているそうです","The Korok Mask has been added. It has the power to alert the wearer when
a Korok is hiding nearby. There is apparently a book containing rumors about
the Korok Mask at Woodland Stable."
10,"""0009""",第1弾 「試練の覇者」,Pack 1: The Master Trials
11,"""0010""",ワープマーカー,Travel Medallion
12,"""0011""","自分で置いた場所に ワープできるようになる
ワープマーカーが追加されました
「ミナッカレ馬宿」に ワープマーカーの
ウワサが書かれた本が置かれている とか…","The Travel Medallion has been added. Place it at your current location and
you will be able to travel there instantly. There is apparently a book containing
rumors about the Travel Medallion at South Akkala Stable."
13,"""0012""",第1弾 「試練の覇者」,Pack 1: The Master Trials
14,"""0013""",足跡モード,Hero's Path Mode
15,"""0014""","マップに 自分が旅してきた足跡を表示できる機能です
ゲームを少し進めた後 マップを開くと追加されます
およそ200時間 プレイした足跡を記憶することができ
それを超えると 新しい足跡が記憶されるたびに 古い足跡が消えていきます","A feature that lets you use the map to view the path you've taken on your journey,
footstep by footstep. Once you've advanced far enough in the game, this option will
be added when you open your map. You can save around 200 hours of gameplay
this way. If you exceed this amount of play data, the oldest footsteps will be erased
as new ones are added."
16,"""0015""",第1弾 「試練の覇者」,Pack 1: The Master Trials
17,"""0016""",マスターモード,Master Mode
18,"""0017""","より手ごたえのあるプレイを楽しめるマスターモードが追加されました
タイトルメニューから「マスターモードで遊ぶ」を選ぶと 遊べます
なお マスターモードのセーブデータは 2つです","A harder mode that will put your courage and skills to the test.
From the title screen, select Play in Master Mode to begin.
Please note that in Master Mode you will have one save file
and one autosave file."
19,"""0018""",第1弾 「試練の覇者」,Pack 1: The Master Trials
20,"""0019""",剣の試練,Trial of the Sword
