#,Title,JPja,USen
1,"""0008""",パラセール,Glide
2,"""0009""",もつ,Pick up
3,"""0011""",おりる,Climb down
4,"""0017""",ひらく,Open
5,"""0018""",はなす,Talk
6,"""0019""",とる,Take
7,"""0020""",ひろう,Take
8,"""0021""",とる,Search
9,"""0027""",のる,Mount
10,"""0028""",ねる,Sleep
11,"""0036""",しらべる,Examine
12,"""0039""",なだめる,Soothe
13,"""0042""",おもいだす,Recall
14,"""0043""",つかまえる,Grab
15,"""0044""",かう,Buy
16,"""0045""",とびつく,Climb
17,"""0046""",りょうり,Cook
18,"""0047""",ひまをつぶす,Sit
19,"""0048""",ラッシュ,Flurry Rush
20,"""0049""",おこす,Wake
21,"""0050""",かざる,Display
22,"""0051""",いのる,Pray
23,"""0052""",ぬく,Pull
24,"""0053""",とる,Take
25,"""0054""",[長押し] ぬく,Pull(Hold)
26,"""0056""",とめる,Stop Time
27,"""0057""",うつ,Activate
28,"""0058""",つくる,Freeze
29,"""0059""",こわす,Shatter
30,"""0060""",ふいうち,Sneakstrike
31,"""0061""",のぼる,Swim Upward
32,"""0062""",ダッシュ,Dash
33,"""0063""",脱出する,Leave
34,"""0064""",のる,Hold On
35,"""0065""",こい,Come
36,"""0066""",まて,Stay
37,"""0068""",しらべる,Search
38,"""0069""",キャッチ,Catch
39,"""0070""",きく,Listen
40,"""0071""",のる,Ride
41,"""0072""",たたく,Hit
42,"""0073""",さす,Place
43,"""0074""",いれる,Fuel
44,"""0075""",よびだす,Summon
