#,Title,JPja,USen
1,"""0019""",ポーズメニュー,Pause Menu
2,"""0020""",シーカーストーン,Sheikah Slate
3,"""0021""",武器切替,Change Weapon
4,"""0022""",アイテム切替,Change Rune
5,"""0023""",口笛を吹く,Whistle
6,"""0041""",英傑 リーバル,Revali's Flap
7,"""0042""",英傑 ダルケル,Daruk's Mettle
8,"""0043""",仮初めの儀式,Subdued Ceremony
9,"""0044""",決意と苦悩,Resolve and Grief
10,"""0045""",ゼルダの苛立ち,Zelda's Resentment
11,"""0046""",英傑 ウルボザ,Urbosa's Hand
12,"""0047""",イーガ団の凶刃,Blades of the Yiga
13,"""0048""",予兆,A Premonition
14,"""0049""",姫しずか,Silent Princess
15,"""0050""",英傑 ミファー,Mipha's Touch
16,"""0051""",ラネール山へ,To Mount Lanayru
17,"""0052""",雨宿り,Shelter from the Storm
18,"""0053""",父と娘,Father and Daughter
19,"""0054""",訪わぬ力,Slumbering Power
20,"""0055""",大厄災復活,Return of Calamity Ganon
21,"""0056""",絶望,Despair
22,"""0057""",覚醒 ゼルダ,Zelda's Awakening
23,"""0058""",マスターソード,The Master Sword
24,"""0059""",英傑リーバルの詩,Champion Revali's Song
25,"""0060""",英傑ダルケルの詩,Champion Daruk's Song
26,"""0061""",英傑ミファーの詩,Champion Mipha's Song
27,"""0062""",英傑ウルボザの詩,Champion Urbosa's Song
28,"""0063""",英傑たちの詩,The Champions' Ballad
29,"""0100""","厄災ガノン討伐において リンクの援護を命じられた
リト族の英傑リーバルは 彼への対抗心をむき出しに
する… リトの村で 自身の特殊能力を自慢げに
見せつけ リンクへの挑発的言動を繰り返すのだった","Revali, Champion of the Rito, openly
expresses his opposition to supporting
Link. He confronts Link in Rito Village,
but to what end?"
30,"""0101""","デスマウンテンで神獣の訓練を行う英傑ダルケル
伴なったリンクに豪快な口調で語りかけるさなか
地響きと共に山が荒ぶり 落石に襲われる… 危機を
回避したダルケルだったが 異常な事態に首を傾げる","Goron Champion Daruk is training with his
Divine Beast on Death Mountain. But when he
feels the ground rumble, he protects himself and
Link from a landslide of boulders—and wonders
whether the strange event was natural."
31,"""0102""","ハイラル王家の姫であるゼルダ御付の騎士として
英傑の一人であるリンクが選ばれた
英傑ダルケルの提案で伝説の儀式を真似る二人
だがゼルダの口調は重く 表情は暗く沈んでいた","Link is chosen to be the appointed knight to
Zelda, princess of the royal family of Hyrule.
Zelda does her best to facilitate the fabled
\""ceremony of legend,\"" as suggested by Daruk,
but her own insecurities are laid bare..."
32,"""0103""","ゼルダとリンクは神獣調整の為にゴロンシティに
向かう…道中 遺物調査への決意を語るゼルダ
しかしその直後 リンクに問いかけるゼルダの
背中には 彼女の密かな苦悩が浮かび上がっていた…","Zelda and Link head to Goron City to make
adjustments to the Divine Beast there. 
Zelda expresses her commitment to researching
the ancient technology and still struggles with
her own quiet anguish."
33,"""0104""","ハイラルに数多く存在する祠の調査を続けるゼルダ
祠への進入方法が解らず苛立ちを募らせている場へ
同道を断ったリンクが現れる… 彼への苦手意識を
克服出来ないゼルダは思わず声を荒げてしまう","Zelda continues her research on the shrines,
but her repressed frustration builds as she is
denied entry. 
When Link appears, Zelda loses control and is
overcome by her anger."
34,"""0105""","ウルボザに呼び出され ゲルド砂漠へ向かうリンク
そこには研究の疲れで寝入ったゼルダの姿もあった
リンクはウルボザから彼女の悩みや過去を教えられ
そして改めて「彼女を護れ」と告げられるのだった","Link is called to the Gerudo Desert by Urbosa.
There, he sees Zelda, exhausted and asleep.
Urbosa opens up about her concern for Zelda
and reminds Link that it is a warrior's honor
to protect a member of the royal family."
35,"""0106""","リンクの同道を嫌がり単身で遺物の調査に赴いた
ゼルダは 王家に恨みを持つイーガ団に襲われる…
必死に逃げるも 遂に追い詰められたゼルダを
救ったのは 彼女を追って来たリンクだった","Zelda is attacked by members of the Yiga Clan.
She attempts to escape, but to no avail. At
the last moment, Link appears and saves her."
36,"""0107""","リンクと打ち解けていくゼルダは 彼が自分を
護ってくれる為に無茶をしていると心配する
そして襲ってくる魔物達が以前よりも数多く 更に
強靭な種族も混じっている事にも不安を感じていた","Zelda explains to Link that in order to properly
fulfill his role, he needs to exercise caution.
She then expresses her unease about the
growing numbers and types of monsters that
have been seen recently in Hyrule."
37,"""0108""","ゼルダはシーカーストーンで写し絵を撮りつつ
ハイラルの花についてリンクに解説する…姫しずか
という花に何か想いを託している様子だが 次の瞬間
目にした物のせいで彼女の雰囲気は一変した…","Zelda shows Link some of the rare types of
wildlife in Hyrule.
She explains her admiration for a flower called
the silent princess. She also catches something
unexpected and inspiring!"
38,"""0109""","怪我をしたリンクを神獣の上で治療するミファー
治癒の力を持つ彼女は 厄災ガノンとの戦いで
仲間やリンクが傷ついた時は どんな怪我でも自分が
治してみせる と静かな…しかし強い決意を口にする","Mipha quietly expresses her concern for Link
while tending to his wounds atop the
Divine Beast.
She reassures Link that he can count on her
in the upcoming trials ahead."
39,"""0110""","リンクと遺物調査に赴いた帰り道 ゼルダは遥か
向こうにそびえるラネール山を見て語り始める…
あの山での修行なら私の力は目覚めるかもしれない
ゼルダは最後の希望である その山に行く事を告げる","Upon returning from a field survey, Zelda shows
Link Mount Lanayru towering in the distance...
Zelda commits to going to the mountain to
initiate the sacred rites that may awaken her
hidden power there."
40,"""0111""","遺物調査の道中 リンクとゼルダは不意の雨に
見舞われ 木の下で雨宿りをする… 時間を持て余し
剣技の鍛錬を始めるリンクを見て ゼルダは自らの
境遇を彼に重ねて たとえ話を始めるのだった…","While Zelda and Link seek refuge from the rain
beneath a tree, she opens up to Link about
her own doubts and the choices she has made."
41,"""0112""","ハイラル城で行われたガーディアンの実験を見つめ
顔をほころばせるゼルダだったが そこへ父親である
ハイラル王が現れ表情が一変する… 力の覚醒を求め
叱責する父に 娘は唇を噛んで押し黙るしかなかった","Zelda gleefully watches the experiments with
the Guardians at Hyrule Castle, but her
demeanor changes quickly with the entrance
of her father, King Rhoam..."
42,"""0113""","封印の力を目覚めさせるべく 力の泉で沐浴の修行を
行うゼルダ… だが10年以上修行を続けても 覚醒
出来なかった不甲斐無い己を自嘲し 肩を震わせて
リンクに問いかける… 私には何が足りないのか？と","Zelda engages in a sacred ritual at the
Spring of Power in hopes of awakening her
sealing power, but she is overcome with the
frustration and seeming futility of her dedication."
43,"""0114""","ラネール山にある知恵の泉でも ゼルダは修行の
成果を上げられず 失意の中でリンクと共に下山する
出迎えた英傑の一人ミファーが ある考えをゼルダに
告げかけた時 復活した厄災ガノンの咆哮が響き渡る","Zelda's efforts at the Spring of Wisdom on
Mount Lanayru bear no fruit. Upon completing
her descent down the mountain, she and the
Champions witness the awakening of Ganon."
