#,Title,JPja,USen
1,"""0000""",注目/カメラリセット,Reset Camera
2,"""0001""",なだめる,Soothe
3,"""0002""",ブレーキ,Whoa...
4,"""0003""",Ｇｏ！,Yah!
5,"""0004""",置く,Drop
6,"""0005""",投げる,Throw
7,"""0007""",キャンセル,Put away
8,"""0008""",ジャンプ,Jump
9,"""0009""",手を放す,Let go
10,"""0010""",加速,Dash
11,"""0011""",移動,Move
12,"""0012""",カメラ操作,Camera
13,"""0013""",操作説明,Controls
14,"""0015""",ジャンプ,Jump
15,"""0016""",やめる,Quit
16,"""0017""",奥に移動,Push
17,"""0018""",手前に移動,Pull
18,"""0019""",足元を狙う,Aim underfoot
19,"""0020""",照準に戻す,Aim outward
20,"""0021""",やめる,Cancel
21,"""0022""",減速する,Slow down
22,"""0023""",動かす,Move
23,"""0024""",やめる,Cancel
24,"""0025""",近くに置く,Near
25,"""0026""",遠くに置く,Far
26,"""0027""",ダッシュ,Sprint
27,"""0028""",上下左右に移動,Move
28,"""0029""",起爆する,Detonate
29,"""0030""",おりる,Climb down
30,"""0031""",スピンアタック,Spin Attack
31,"""0032""",加速,Accelerate
32,"""0033""",バイクジャンプ,Zero Jump
33,"""0034""",ブレーキ,Brake
