#,Title,JPja,USen
1,QL_UMiiMini_MakeVillage_Desc,"サクラダ工務店のベテラン大工 エノキダが
事業拡大のためアッカレ地方に旅立った

アッカレ地方は ハテノ村からはるか北にある

近くを通った時にでも
エノキダを訪ねてみよう","Hudson, Bolson Construction's veteran
carpenter, has departed for theAkkala
region to expand the business.

Akkala is far to the north of Hateno Village.
If you happen to be passing by, stop in and
payHudson a visit."
2,QL_UMiiMini_MakeVillage_Finish,"エノキダとパウダの結婚式も終わり
イチカラ村も大きく栄えた

エノキダからは今までの感謝を込めて
たくさんの宝石をもらった
これらの宝石は イチカラ村を開拓している時に
出てきた物らしい
いつまでも幸せな2人であってほしい","Hudson and Rhondson are happily married, and
Tarrey Town is enjoying great prosperity.

As a sign of appreciation for bringing the town
together and as compensation for your work,
Hudson gave you a hefty amount of gems that
were unearthed during the town's construction.

You wished the couple eternal happiness before
heading on your way."
3,QL_UMiiMini_MakeVillage_Invite01,"ゴロン族のグレーダが イチカラ村に引っ越した！
弟のププンダも一緒に付いて行ったようだ
無事に到着しただろうか？

彼らの様子をうかがいに行くついでに
今までの出来事を
エノキダに報告しに行こう","Greyson the Goron has moved to Tarrey Town,
and his younger brother Pelison tagged along
for the ride.

Pay the town a visit to make sure they
arrived safely, and check in withHudson
while you're there."
4,QL_UMiiMini_MakeVillage_Invite02,"ゲルド族のパウダが イチカラ村に引っ越した！
無事に到着しただろうか？

彼女の様子をうかがいに行くついでに
今までの出来事を
エノキダに報告しに行こう","A Gerudo by the name of Rhondson has moved
to Tarrey Town.

Pay the town a visit to make sure she arrived
safely. Check in withHudsonwhile you're there."
5,QL_UMiiMini_MakeVillage_Invite03,"リト族のペーダが イチカラ村に引っ越した！
無事に到着しただろうか？

彼の様子をうかがいに行くついでに
今までの出来事を
エノキダに報告しに行こう","A Rito by the name of Fyson has moved to
Tarrey Town to run the general store.

Pay the town a visit to make sure he arrived
safely, and check in withHudsonwhile
you're there."
6,QL_UMiiMini_MakeVillage_Invite04,"ゾーラ族のカポーダが イチカラ村に向かった！
無事に到着しただろうか？

彼の様子をうかがいに行くついでに
今までの出来事を
エノキダに報告しに行こう","A former Zora priest by the name of Kapson
has moved to Tarrey Town!

Pay the town a visit to make sure he arrived
safely and to see what other shenanigans
Hudsonhas been up to. There's always
something going on with that guy!"
7,QL_UMiiMini_MakeVillage_Invite05,"サクラダとカツラダが無事 イチカラ村に向かった！
あとはイチカラ村で
エノキダとパウダの結婚式を執り行うだけだ

今までの出来事をエノキダに報告し
結婚式に参加しよう","Bolson and Karson departed for Tarrey Town.

All that's left now is to return to the town
yourself and enjoy Hudson and Rhondson's
wedding ceremony!

Head back to the town and look forHudson."
8,QL_UMiiMini_MakeVillage_LookFor01,"エノキダに薪の束を持っていってあげた！

今度は イチカラ村に散らばる岩を壊したいので
腕っぷしの強いゴロン族を探して欲しい との事

サクラダ工務店の入社条件に則り
名前の最後が「ダ」で終わるゴロン族に
声をかけてみよう","You brought Hudson enough wood to get him
started, but now he needs to break the boulders
scattered across the future site of Tarrey Town.
He's asked you to find aGoronstrong enough
to help out.

According to the Bolson Construction hiring
guidelines, you need to seek outa Goron
whose name ends in \""son.\"" The guidelines are
unusually specific about this."
9,QL_UMiiMini_MakeVillage_LookFor02,"エノキダに薪の束を持っていってあげた！

エノキダが言うには次は
彼の作業着を修理してくれる
お裁縫の上手なゲルド族を探して欲しい との事
サクラダ工務店の入社条件に則り
名前の最後が「ダ」で終わるゲルド族に
声をかけてみよう","You delivered more wood to Hudson.

But now he needs someone who can mend his
work clothes. He wants you to find aGerudo
skilled at sewing, but remember the stipulation
in the Bolson Construction hiring guidelines:
theGerudo's name must end in \""son.\"""
10,QL_UMiiMini_MakeVillage_LookFor03,"エノキダに薪の束を持っていってあげた！

エノキダが言うには村によろず屋を開きたいので
よろず屋のノウハウがある
リト族を探して欲しい との事
サクラダ工務店の入社条件に則り
名前の最後が「ダ」で終わるリト族に
声をかけてみよう","You brought Hudson more wood.

His next goal is to open up a general store and
trade routes, and he thinks aRitomerchant
would be perfect for the job.

Find a Rito with the know-how to manage a
shop and the connections to set up trade,
and of course, make surehis or her name
ends in \""son.\"""
11,QL_UMiiMini_MakeVillage_LookFor04,"エノキダに薪の束を持っていってあげた！

そして なんとエノキダは パウダと婚約したようだ
結婚式を挙げたいので神父ができるゾーラ族を
探して欲しいとの事
サクラダ工務店の入社条件に則り
名前の最後が「ダ」で終わるゾーラ族に
声をかけてみよう","You brought Hudson enough wood!

And now, as it turns out, Hudson is engaged to
Rhondson! Can you believe it?

They want to hold a ceremony, so he wants you
to find aZorawho can officiate. Even though
this Zora technically won't be working for
Hudson's company, he would be much more
comfortable if theZora's name ended in \""son.\"""
