#,Title,JPja,USen
1,talk000,"奴の大剣に気を付けな！
",Watch out for that sword!
2,talk010,いいぞ！相棒！,"Nice one, little guy!"
3,talk011,効いてるぞ！,Stay on it!
4,talk012,その調子だ！,Just like that!
5,talk020,しっかりしろ！,Get it together!
6,talk021,大丈夫か？,You're OK!
7,talk022,相棒！,Little guy!
8,talk030,とんでもねえ攻撃力だな,You OK there?
9,talk031,今ので随分とやられちまったな,Looks like you're hurtin'.
10,talk032,さっきの攻撃…もう喰らわねえようにな！,"Stay strong, now..."
11,talk040,"今だ！ 
一気に行こうぜ！",Now's your chance!
12,talk041,"よーし！
やっちまいな！",Go for it!
13,talk042,"チャンスだ
相棒！","Lay it on, little guy!"
14,talk050,体力回復しねえと やべえぞ！,Need some health?
15,talk051,"おいおい！
やられちまうぞ？！",Stay in there...
16,talk052,"何でもいい！
回復だ！",Grab some health!
17,talk060,"炎の玉に注意しろ！
あれは やばいぜ！",That flaming ball is dangerous.
18,talk070,やるな！,Nice!
19,talk071,"相棒！
流石だな！",I knew you had it in you!
20,talk072,"いいぞ！
相棒！","Good one, little guy!"
21,talk080,今の奴に普通の攻撃は効かねえぞ！,Your regular attacks won't work here!
22,talk081,"炎の玉を出す前の奴の動きを良く見な！
",Watch him before he tries to blast you.
23,talk082,爆弾吸い込ませるってのはどうだ？,Maybe he'd like a bomb snack...
24,talk110,ウォーッ！！,""""
25,talk130,ダルケルの護り いつでも使えるぜ！,Daruk's Protection is now ready to roll!
