#,Title,JPja,USen
1,talk000,"奴の射撃は正確だよ！
気を付けるんだね！",His aim is dead-on! Watch yourself!
2,talk010,"良いね！
悪くない",Not bad.
3,talk011,効いてる！,Nice.
4,talk012,調子良いんじゃない？！,"So far, so good."
5,talk020,"おいおい！
気を付けなきゃ",Careful!
6,talk021,大丈夫かい？,You OK?
7,talk022,気を抜いちゃ駄目だよ！,Keep your head in the game.
8,talk030,凄い攻撃力だ,Doing all right?
9,talk031,キツイのを貰っちゃったね,"Hurting, are we?"
10,talk032,"今の攻撃…
僕なら避けられたと思うよ？",Avoiding attacks might be wise.
11,talk040,一気に攻撃するんだ！,Hit it now!
12,talk041,"良いぞ！
弱ってる！",Go for it!
13,talk042,"よーし！
チャンスだ！",Now's your chance!
14,talk050,体力を回復しないと！,Get some health.
15,talk051,このまま やられるつもりかい？,Don't go out like this!
16,talk052,回復しないと持たないよ？,Some healing...?
17,talk060,"死角からも攻撃が来る！
気を付けるんだね！",Watch your blind spot!
18,talk070,やるじゃないか！,Nicely done!
19,talk071,君にしちゃ上手かったよ！,Well executed!
20,talk072,ナイスタイミングだ！,Nice timing!
21,talk080,避けられない攻撃は柱を利用して隠れるんだ！,"You can use the columns
to shield yourself."
22,talk081,そこの上昇気流で飛んでみたらどうだい？,Try using an updraft.
23,talk082,奴の眼を狙えるかい？,Aim for the eye!
24,talk100,フゥーッ…,""""
25,talk110,ハァッ！！,""""
26,talk131,リーバルの猛り いつでもOKだ！,Revali's Gale is now ready!
