#,Title,JPja,USen
1,talk000,"奴の動きは速い！
惑わされるんじゃないよ！",This thing is fast! Watch yourself.
2,talk010,"いいよ！
リンク！","Great, Link!"
3,talk011,効いてるね！,Just like that!
4,talk012,その調子だよ！,Beautiful!
5,talk020,くっ！,""""
6,talk021,大丈夫かい？,You OK?
7,talk022,リンク！,Link!
8,talk030,たいした攻撃力だ,This thing is powerful...
9,talk031,今のは かなり堪えたね……,"Careful, now."
10,talk032,"さっきの攻撃…
次は喰らうんじゃないよ！",There is valor in dodging...
11,talk040,"チャンスだよ！
たたみかけな！",Now's your chance!
12,talk041,"よし！
今だ！",Go!
13,talk042,"さあ！
一気に行こうか！",Unleash your power!
14,talk050,体力を回復出来ないかい？！,Might want to heal.
15,talk051,このままじゃ やられちまうよ？！,Don't go out like this.
16,talk052,隙を見て回復するんだ！,Need some health!
17,talk060,"雷に気を付けるんだ！
でないと私の二の舞だよ！",Watch that lightning!
18,talk070,流石だ！,Well done!
19,talk071,やるじゃないか！,You did it!
20,talk072,良いタイミングだ！,Good timing!
21,talk080,"あの盾…
普通の攻撃は全部防がれちまうよ！",You need a way around that shield...
22,talk081,"あの雷を奴自身に食らわせれば！
",If only you could harness that lightning...
23,talk082,鉄柱を奴の近くに持っていけるかい？！,Get something metallic near that thing!
24,talk101,ハァーッ…,""""
25,talk110,ハッ！！,""""
26,talk130,ウルボザの怒り いつでも放てるよ！,Urbosa's Fury is ready.
