#,Title,JPja,USen
1,Approach_00,近づくぞ！,We're getting closer!
2,Approach_01,いくぞーっ！,Here you go!
3,Approach_02,リンク！電気の矢だ！,Get those shock arrows...
4,Approach_03,電気の矢はあるな？！,Any shock arrows?
5,Approach_04,電気の矢は頼むぞ！,Shock arrows ready?
6,Jump_00,飛べーーー！！,Here we go!
7,Jump_01,上がれぇー！！,Going up!
8,Jump_02,いけーー！！,Upward!
9,Jump_03,ジャンプだリンク！！,"Link, go!"
10,Jump_04,昇れぇーー！！,Swim!
11,Jump_05,さあ いけーっ！,Now go!
12,Jump_06,よし いけーっ！,"All right, go!"
13,Jump_07,さあ とべーっ！,Now fly!
14,Jump_08,よし 昇れーっ！,"All right, go!"
15,Leave_00,チャンスを伺う！,Let's find an opening!
16,Leave_01,あの氷を消せれば…,Can we get rid of that ice?
17,Leave_02,あの氷を壊すんだっ,Break that ice!
18,Leave_03,邪魔な氷めっ！,Watch that ice!
19,Leave_04,氷を壊す術は無いか？,You must break that ice!
20,Restart_00,リンク！行くぞっ！,We move now!
21,Restart_01,よし とばすぞ！,Right! Let's go!
22,Restart_02,振り落とされるなよ！,Don't get thrown off!
23,Restart_03,しっかりつかまれ！,Hold on tight!
24,Restart_04,もう一度だ！,One more time!
25,Return_00,次は溺れるなよっ！,Don't drown!
26,Return_01,溺れても 助けるゾ！,I'll save you!
27,Return_02,何度でも助けるゾッ！,I'll always save you!
28,Return_03,仕切り直しだっ！,Let's start over!
29,Return_04,何とか間に合った…,Just in time somehow...
30,Return_05,大丈夫か？ リンク,"Are you all right, Link?"
31,Return_06,何度でもいくぞ！,As many times as it takes!
32,Return_07,無事かリンク！,"You all right, Link?"
33,Success_00,リンク！最高だっ！！,Marvelous!
34,Success_01,リンク！やったぞ！！,"You did it, Link!"
35,Success_02,リンク！さすがだ！！,I knew you were good!
36,Success_03,リンク！すごいぞ！！,Incredible!
37,Success_04,いいぞ！ リンク！！,That's it!
38,Worry_00,大丈夫か？リンク！,Are you all right?
39,Worry_01,早く乗るんだ！,Get on quick!
40,Worry_02,怪我はないか？！,Are you hurt?!
41,Worry_03,しっかりしろ！,Get it together!
42,Worry_04,あきらめるなよ！,Don't give up!
