#,Title,JPja,USen
1,Broken_00,その調子だ！,That's the way!
2,Broken_01,やるな！リンク！,"Good, Link!"
3,Broken_02,勝てるっ！,We can do this!
4,Broken_03,いいぞ！,Good!
5,Broken_04,よしっ！,That's it!
6,Chance_00,今だ！リンク！,"Link, now!"
7,Chance_01,足を狙え！リンク！,Aim for its feet!
8,Chance_02,今がチャンスだ！,Now's our chance!
9,Chance_03,よし！今だ！,All right! Now!
10,Chance_04,好機到来！,It's right where we want it!
11,Invalidity_00,はぁっ！！,Hah!
12,Invalidity_01,くっ…,Ungh...
13,Invalidity_02,甘いっ！！,Foolish!
14,Invalidity_03,まだまだっ！！,Not yet!
15,Invalidity_04,ぐっ！！,Ugh!
16,Lead_00,ついてこい！,Follow me!
17,Lead_01,こっちだ！リンク！,Over here!
18,Lead_02,よし 接近するぞ！,Close in!
19,Lead_03,遅れをとるなよ！,Don't fall behind!
20,Lead_04,いくぞ！,Let's go!
21,NoWorry_00,ゆくぞ！,We move!
22,NoWorry_01,やるぞ！,Let's go!
23,NoWorry_02,いいな！,Ready?
24,NoWorry_03,ようし！,Here we go!
25,NoWorry_04,いざ！,Now!
26,Retreat_00,戻るのか？！,You're going back?!
27,Retreat_01,神獣を見失うぞ！,Stay with the Divine Beast!
28,Retreat_02,どうした？！,What's the matter?!
29,Retreat_03,あきらめるのか？！,You're giving up?
30,Retreat_04,リンク どこにいく？,Where are you going?!
31,Warn_00,離れるなよ！リンク,Don't wander off!
32,Warn_01,くるぞ！気をつけろ！,Look out!
33,Warn_02,近くに寄れ！,Stay close to me!
34,Warn_03,こっちにこい！,Over here!
35,Warn_04,そばから離れるな,Don't stray!
36,Worry_00,大丈夫か？！,You all right?!
37,Worry_01,怪我は無いか？！,Are you hurt?
38,Worry_02,リンクー！！,Link!
39,Worry_03,無理するな！！,Caution now!
40,Worry_04,油断するな！！,Keep it together!
