#,Title,JPja,USen
1,AllSpeed_Desc,"速く動ける ゴーゴー効果 Lv1
","Grants a low-level movement-speed boost.
"
2,AllSpeed_Desc_02,"速く動ける ゴーゴー効果 Lv2
","Grants a mid-level movement-speed boost.
"
3,AllSpeed_Desc_03,"速く動ける ゴーゴー効果 Lv3
","Grants a high-level movement-speed boost.
"
4,AllSpeed_MedicineDesc,"速く動ける ゴーゴー効果 Lv1
運動神経がすごく良くなる薬
走って登って泳いで すべての動きが速くなる","Grants a low-level haste effect, which
boosts your movement speed while
running, swimming, or climbing."
5,AllSpeed_MedicineDesc_02,"速く動ける ゴーゴー効果 Lv2
運動神経がすごく良くなる薬
走って登って泳いで すべての動きが速くなる","Grants a mid-level haste effect, which
boosts your movement speed while
running, swimming, or climbing."
6,AllSpeed_MedicineDesc_03,"速く動ける ゴーゴー効果 Lv3
運動神経がすごく良くなる薬
走って登って泳いで すべての動きが速くなる","Grants a high-level haste effect, which
boosts your movement speed while
running, swimming, or climbing."
7,AllSpeed_Name,ゴーゴー,Hasty
8,AllSpeed_Name_Feminine,ゴーゴー,Hasty
9,AllSpeed_Name_Masculine,ゴーゴー,Hasty
10,AllSpeed_Name_Neuter,ゴーゴー,Hasty
11,AllSpeed_Name_Plural,ゴーゴー,Hasty
12,AttackUp_Desc,"攻撃が強くなる チカラ効果 Lv1
","Grants a low-level attack-power boost.
"
13,AttackUp_Desc_02,"攻撃が強くなる チカラ効果 Lv2
","Grants a mid-level attack-power boost.
"
14,AttackUp_Desc_03,"攻撃が強くなる チカラ効果 Lv3
","Grants a high-level attack-power boost.
"
15,AttackUp_MedicineDesc,"攻撃が強くなる チカラ効果 Lv1
使うと全身に力がみなぎり
武器を使った攻撃力が増加する","Grants a low-level might effect, which
strengthens your body and mind to boost
your attack power with all weapons."
16,AttackUp_MedicineDesc_02,"攻撃が強くなる チカラ効果 Lv2
使うと全身に力がみなぎり
武器を使った攻撃力が増加する","Grants a mid-level might effect, which
strengthens your body and mind to boost
your attack power with all weapons."
17,AttackUp_MedicineDesc_03,"攻撃が強くなる チカラ効果 Lv3
使うと全身に力がみなぎり
武器を使った攻撃力が増加する","Grants a high-level might effect, which
strengthens your body and mind to boost
your attack power with all weapons."
18,AttackUp_Name,チカラ,Mighty
