#,Title,JPja,USen
1,"""1501011""",ディスクを入れてください｡,Please insert a disc.
2,"""1501013""","本体のUSB端子に
USB記録メディアを接続してください｡","Connect a USB storage device to one of
the USB ports."
3,"""1501014""","本体のSDカードスロットに
SDカードを差し込んでください｡",Insert an SD card into the SD card slot.
4,"""1501021""","ディスクを読み取れませんでした｡

ディスクイジェクトボタンを押して
ディスクを取り出し､
レーベル面の向きが正しいか､
ディスクにWii UまたはWiiのマークが
表示されているかを確認してください｡","The disc could not be read.

Press the EJECT Button, remove
the disc, and check that the label side
is facing the proper direction and
displays either the Wii U or Wii logo."
5,"""1501023""","このUSB記録メディアは使用できません｡

使用できるUSB記録メディアについては
任天堂ホームページのサポート情報を
ご覧ください｡","This USB storage device cannot
be used.

For a list of supported USB
storage devices, please visit
support.nintendo.com."
6,"""1501024""","このSDカードは使用できません｡

使用できるSDカードについては
Wii U電子説明書「SDカードを使う」を
ご覧ください｡","This SD card cannot be used.

For information on supported SD cards,
please visit support.nintendo.com."
7,"""1501031""","ディスクを読み取れませんでした｡
ディスクが汚れている可能性があります｡

ディスクイジェクトボタンを押して
ディスクを取り出し、柔らかい布で
中心から外側に向かって
軽く拭いてください｡

以上の操作で解決しない場合は
Wii U取扱説明書(冊子)をご覧になり､
任天堂サービスセンターに
エラーコードをお伝えください｡","The disc could not be read. It might
be dirty.

Press the EJECT Button, remove
the disc, and clean it gently, using
a soft cloth to wipe outward from
the center.

If that does not resolve the issue,
make a note of the error code and
visit support.nintendo.com."
8,"""1501044""","SDカードのエラーが発生しました｡
SDカードを取り出してください｡","An error relating to the SD card has
occurred.

Please make a note of the error code,
remove the SD card, and then visit
support.nintendo.com."
9,"""1501063""","USB記録メディアが
書き込み禁止になっています｡

お使いのUSB記録メディアの
取扱説明書をご覧になり､
書き込み禁止状態を解除してください｡","The USB storage device is
write-protected.

Please refer to the manual for the
device and disable write-protection."
10,"""1501064""","SDカードが書き込み禁止になっています｡

SDカードの書き込み禁止スイッチを
解除してください｡","This SD card is write-protected.

Please move the write-protection
switch on the SD card to the
unlocked position."
11,"""1501071""","ほかのゲームのディスクが入っています｡

ディスクを入れ替えてください｡","The disc currently in the console
is for a different game.

Please insert the correct disc."
