#,Title,JPja,USen
1,AagetoMt,アゲート山,Mount Agaat
2,AdeyaLake,アデヤ湖,Deya Lake
3,AdeyaVillage,アデヤ村跡,Deya Village Ruins
4,AgePlateau,アージェ台地,Jia Highlands
5,AgunaiLake,ダルニア湖,Darunia Lake
6,AkazaMt,ラネール連峰,Lanayru Range
7,AkkareBigBridge,アッカレ大橋,Akkala Span
8,AkkareBridge,アッカレ大橋,Akkala Span
9,AkkareGarrison,アッカレ練兵場跡,Akkala Parade Ground Ruins
10,AkkareZhai,アッカレ砦跡,Akkala Citadel Ruins
11,AkkareZhaiBridge,アッカレ砦連絡橋跡,Akkala Bridge Ruins
12,AmimePlateau,アミメ台地,Nette Plateau
13,AmonenePlateau,ラルス池,Ralis Pond
14,AnbonBeach,マーサの入り江,Martha's Landing
15,AnchoBeach,トロンボビーチ,Toronbo Beach
16,AncientLabo,アッカレ古代研究所,Akkala Ancient Tech Lab
17,AnoleLake,マルゴ池,Gorko Lake
18,AnoleTunnel,マルゴ坑道,Gorko Tunnel
19,ArafuraPlain,アラフラ平原,Fural Plain
20,AraisoBeach,アライソ海岸,Aris Beach
21,Assassin,イーガ団のアジト,Yiga Clan Hideout
22,AzimetosPlateau,トスメジア台地,Mystathi's Shelf
23,BachimakuMt,ヒトスギ連峰,Solewood Range
24,BaconCliff,トロコ崖,Gortram Cliff
25,BameHill,バメの丘,Passer Hill
26,BanmezaLake,バンメザ湖,Harker Lake
27,BantaValley,終焉の谷,Breach of Demise
28,BarakkiPlain,ダライト森林,Dalite Forest
29,BarumePlain,バルーメ平原,Barula Plain
30,BigBrotherBridge,ふたご兄橋,Big Twin Bridge
31,BigTree,朽ちた千年樹,Ancient Tree Stump
32,BigalLake,チュンゴ湖,Medingo Pool
33,BiginaTrees,ギナビーの森,Ginner Woods
34,BiridinHill,ビリディン高地,Birida Lookout
35,BironSnow,ビロン雪原,Biron Snowshelf
36,BituoValley,ビトゥオ谷,Tobio's Hollow
37,BlindForest,ドイブラン遺跡,Thyphlo Ruins
38,BlizzarValley,ブリザー谷,Coldsnap Hollow
39,BokoboLake,ゲーロ湖,Gero Pond
40,BonrasForest,樹海ボンラス,Bronas Forest
41,BoraraCape,ターム岬,Tarm Point
42,BottuBay,スプール湾,Spool Bight
43,BraveFountain,勇気の泉,Spring of Courage
44,BrosRock,兄弟岩,Warbler's Nest
45,BrostarPlain,サマサ平原,Samasa Plain
46,BuhaIslands,ベフ島,Broca Island
47,BuibuiTrees,ブビンガの森,Bubinga Forest
48,BuichadaPlateau,コーヨウ台地,Tumlea Heights
49,BuidaLake,ブイダ湖,Rassla Lake
50,BumiPlain,風見の草原,Windvane Meadow
51,BuramuPlateau,ポプラー高地,Popla Foothills
52,CastleTownMark,ハイラル城下町跡,Hyrule Castle Town Ruins
53,CelebrationPark,式典場跡,Sacred Ground Ruins
54,CentralExchange,交易所跡,Exchange Ruins
55,ChagaraMt,チャガラ浜,Gogobi Shores
56,ChirakaVillage,コポンガ村跡,Goponga Village Ruins
57,ChuonoPond,ケヤ池,Zelkoa Pond
58,Cohorint,サイハテノ島,Eventide Island
59,Cokiri,コログの森,Korok Forest
60,Corosseo,闘技場跡地,Coliseum Ruins
61,CresiaPeninsula,クレシア半島,Cape Cresia
62,DamzelForest,樹海ダムゼル,Damel Forest
63,DanioPlain,ウクク平原,Ukuku Plains
64,DarinoPond,カイゲン池,Nirvata Lake
65,DasukidaMt,ダスキーダ山,Mount Dunsel
66,DasukidaPlateau,ダスキーダ高原,Dunsel Plateau
67,DatsuPlain,テトラ平原,Parache Plains
68,DeathCaldera,デスカルデラ,Death Caldera
69,DeathMountainHatago,山麓の馬宿,Foothill Stable
70,DeathMountain_Entrance,デスマウンテン登山口,Maw of Death Mountain
71,DekamuPlain,マブルッド平原,Marblod Plain
72,DodoraBridge,ラルート大橋,Luto's Crossing
73,DokamamaPlain,サハスーラ平原,Sahasra Slope
74,DokuroPond,ドクロ池,Skull Lake
75,DonLake,ルル湖,Lulu Lake
76,DotiBeach,リンバービーチ,Rimba Beach
77,DragonMarsh,竜骨沼,Dragon Bone Mire
78,DragonsFar,龍の流刑地,Dragon's Exile
79,Dungeon000,タ・ムールの祠,Tah Muhl Shrine
80,Dungeon001,ジノ・ヨーの祠,Jee Noh Shrine
81,Dungeon002,サ・ダージュの祠,Sah Dahaj Shrine
82,Dungeon003,ハワ・カイの祠,Hawa Koth Shrine
