#,Title,JPja,USen
1,4Relic,四神獣,Four Divine Beasts
2,AllSpeedMedicine,ゴーゴー薬,Hasty Elixir
3,AncientCandlestick,しょく台,Lantern
4,AncientEquipment,古代兵装,Ancient Soldier Gear
5,AncientOven,シーカーレンジ,Ancient Oven
6,Ancient_Downloader,勇導石,Guidance Stone
7,Ancient_Furnace,かまど,Furnace
8,AttackUpMedicine,チカラ薬,Mighty Elixir
9,BlueFire,青い炎,Blue Flame
10,Bokobrin,ボコブリン,Bokoblin
11,Bonfire,たき火,Fire
12,ColdSleep,回生の眠り,Slumber of Restoration
13,DeathMountainTop,デスマウンテン山頂,Death Mountain Summit
14,DefenseUpMedicine,カチコチ薬,Tough Elixir
15,DekuTree_Korok,デクの樹サマ,Great Deku Tree
16,Dlc2_Doushi,ミィズ・キョシア,Maz Koshia
17,DungeonPriest,導師,Monk
18,Dungeon_Shline,古代の祠,Ancient Shrine
19,Endurance,試練,Trial
20,Engine,メイン制御装置,Main Control Unit
21,ExGutsMaxUpMedicine,スタミナ薬,Endurance Elixir
22,FireRelic_SerchLight,サーチライト,Searchlight
23,FireproofMedicine,燃えず薬,Fireproof Elixir
24,ForestGiant,ヒノックス,Hinox
25,Gambari,がんばり,Stamina
26,Gerudo_Protection,ウルボザの怒り,Urbosa's Fury
27,GoronCannon,大砲,cannon
28,GoronShop_Bougu,ガッチムッチ,Ripped and Shredded
29,GoronShop_Ishiyaki,マッスル亭,Protein Palace
30,GoronShop_Yado,ゴロゴロ,Rollin' Inn
31,GoronShop_Yorozu,モリモリ屋,Goron Gusto Shop
32,Goron_Boss,組長,Boss
33,Goron_Protection,ダルケルの護り,Daruk's Protection
34,Guardian,ガーディアン,Guardian
35,GutsRecoverMedicine,がんばり薬,Energizing Elixir
36,HatenoShop_Bougu,ヴェント・エスト,Ventest Clothing
37,HatenoShop_Somemono,東風屋,Kochi Dye Shop
38,HatenoShop_Yado,トンプー亭,Ton Pu Inn
39,HatenoShop_Yorozu,イースト・ウィンド,East Wind
40,Heros,英傑,Champion
41,Hyrule_People,ハイリア人,Hylian
42,IchikaraShop_Bougu,ザ・パウダ,Rhondson Armor
43,IchikaraShop_Gem,ププンダ屋,Ore and More
44,IchikaraShop_Yorozu,ちゅん天堂 イチカラ村支店,Slippery Falcon (Tarrey Town Branch)
45,Item,アイテム,Rune
46,KingHyrule,ローム・ボスフォレームス・ハイラル,Rhoam Bosphoramus Hyrule
47,KingdomOfHyrule,ハイラル王国,Hyrule
48,Korok,コログ,Korok
49,KorokShop_Kinoko,きのこ屋さん,Spore Store
50,KorokShop_Yado,デクの樹サマのおヘソ,Great Deku Tree's Navel
51,KorokShop_Yorozu,いろいろ屋さん,General Shoppe
52,LifeMaxUpMedicine,マックス薬,Hearty Elixir
53,MAP,マップ,Map
54,MAP_00,望遠鏡,Scope
55,MamonoGoods,マモノグッズ,Monster Gear
56,MamonoGoods_00,魔物,Monster
57,MamonoMaterial,魔物素材,Monster Parts
58,MamonoMoney,マモ,Mon
59,MamonoShop,マモノショップ,Fang and Bone
60,MapPin,マップピン,Pin
61,Picture,写し絵,Picture
62,PicturePack,写し絵パック,Picture Pack
63,PlayerName,リンク,Link
64,Pocketbook,冒険手帳,Adventure Log
65,Porch,ポーチ,Inventory
66,PowerPlant,制御端末,Terminal
67,QuietnessMedicine,しのび薬,Sneaky Elixir
68,RemainsElectric_NickName,ナボリス,Naboris
69,RemainsFire_NickName,ルーダニア,Rudania
70,RemainsWater_NickName,ルッタ,Ruta
71,RemainsWind_NickName,メドー,Medoh
72,ResistColdMedicine,ピリ辛薬,Warming Elixir
73,ResistElectricMedicine,エレキ薬,Electro Elixir
74,ResistHotMedicine,ひんやり薬,Cooling Elixir
75,RitoShop_Bougu,紅孔雀,Brazen Beak
76,RitoShop_Yado,ツバメの巣,Swallow's Roost
77,RitoShop_Yorozu,ちゅん天堂,Slippery Falcon
78,Rito_Protection,リーバルの猛り,Revali's Gale
79,RockGolem,イワロック,Talus
80,SandWorm,モルドラジーク,Molduga
81,SearchMachine,偵察機,Sentry
82,SeeKerTower,シーカータワー,Sheikah Tower
83,SheikerMicrowave,チェリーちゃん,Cherry
84,Shline,祠,Shrine
85,Stamp,スタンプ,Stamp
86,Stand_Bow,弓スタンド,Bow Rack
87,Stand_Shield,盾スタンド,Shield Rack
88,Stand_Weapon,武器スタンド,Weapon Rack
89,Storehouse,保管庫,vault
90,System_Demo,思い出した記憶,Memories
91,System_MainCH,メインチャレンジ,Main Quest
92,System_MiniCH,ミニチャレンジ,Side Quest
93,System_SubCH,ほこらチャレンジ,Shrine Quest
94,TamulPowerPlant,古代炉,Ancient Furnace
95,VolcanicBomb,火山弾,Magma Bomb
96,WarpPoint,ワープ地点,Travel Gate
97,WolfLink,ウルフリンク,Wolf Link
98,Zelda,ゼルダ,Zelda
99,ZoraShop_Factory,ハンマーヘッド,The Hammerhead
100,ZoraShop_Yado,サカナのねや,Seabed Inn
101,ZoraShop_Yorozu,コーラル・リーフ,Coral Reef
102,Zora_Protection,ミファーの祈り,Mipha's Grace
