#,Title,JPja,USen
1,"""0000""",DIRECTOR,DIRECTOR
2,0000_0000,Hidemaro Fujibayashi,Hidemaro Fujibayashi
3,0000_SPACE_01,,
4,"""0001""",,
5,0001_0000,,
6,0001_SPACE_01,,
7,"""0002""",ASSISTANT DIRECTOR,ASSISTANT DIRECTOR
8,0002_0000,Daiki Iwamoto,Daiki Iwamoto
9,0002_SPACE_01,,
10,"""0003""",,
11,0003_0000,,
12,0003_SPACE_01,,
13,"""0004""",GAME DESIGN,GAME DESIGN
14,0004_0000,Kentaro Tominaga,Kentaro Tominaga
15,0004_0001,Hiroaki Tamura,Hiroaki Tamura
16,0004_0002,Yohei Fujino,Yohei Fujino
17,0004_0003,Hiroshi Sakasai,Hiroshi Sakasai
18,0004_0004,Yasutaka Takeuchi,Yasutaka Takeuchi
19,0004_0005,Eiji Mukao,Eiji Mukao
20,0004_0006,Yuya Sato,Yuya Sato
21,0004_0007,Yutaka Hiramuki,Yutaka Hiramuki
22,0004_0008,Takayuki Ikkaku,Takayuki Ikkaku
23,0004_0009,Shinichi Ikematu,Shinichi Ikematu
24,0004_0010,Mari Shirakawa,Mari Shirakawa
25,0004_0011,Yoichi Yamada,Yoichi Yamada
26,0004_0012,Kanae Nakayama,Kanae Nakayama
27,0004_0013,Hiroshi Ando,Hiroshi Ando
28,0004_0014,Naoto Murakami,Naoto Murakami
29,0004_0015,Tomonori Kawazoe,Tomonori Kawazoe
30,0004_0016,Kohei Kawazoe,Kohei Kawazoe
31,0004_0017,Yuichiro Tsumita,Yuichiro Tsumita
32,0004_0018,Emi Takano,Emi Takano
33,0004_0019,Makoto Shimamoto,Makoto Shimamoto
34,0004_0020,Erina Shimamoto,Erina Shimamoto
35,0004_0021,Takahito Sekimoto,Takahito Sekimoto
36,0004_0022,Yuya Imagawa,Yuya Imagawa
37,0004_0023,Hiroshi Konishi,Hiroshi Konishi
38,0004_SPACE_01,,
39,"""0005""",SCRIPT SUPERVISOR,SCRIPT SUPERVISOR
40,0005_0000,Akihito Toda,Akihito Toda
41,0005_SPACE_02,,
42,"""0006""",TECHNICAL DIRECTOR,TECHNICAL DIRECTOR
43,0006_0000,Takuhiro Dohta,Takuhiro Dohta
44,0006_SPACE_01,,
45,"""0007""",SYSTEM ARCHITECT,SYSTEM ARCHITECT
46,0007_0000,Yuichiro Okamura,Yuichiro Okamura
47,0007_SPACE_01,,
48,"""0008""",PROGRAMMING LEAD,PROGRAMMING LEAD
49,0008_1000,Kenji Matsutani,Kenji Matsutani
50,"""0009""",,
51,0009_1000,Hiroshi Umemiya,Hiroshi Umemiya
52,0009_SPACE_01,,
53,"""0010""",PLAYER PROGRAMMING,PLAYER PROGRAMMING
54,0010_0000,Junya Okamoto,Junya Okamoto
55,0010_SPACE_01,,
56,"""0011""",CAMERA PROGRAMMING,CAMERA PROGRAMMING
57,0011_0000,Minoru Hamaura,Minoru Hamaura
58,0011_SPACE_01,,
