#,Title,JPja,USen
1,"""0000""",DIRECTOR,DIRECTOR
2,0000_1000,Kentaro Tominaga,Kentaro Tominaga
3,0000_SPACE_01,,
4,"""0001""",GAME DESIGN,GAME DESIGN
5,0001_0000,Yuya Sato,Yuya Sato
6,0001_0001,Hiroshi Ando,Hiroshi Ando
7,0001_0002,Naoto Murakami,Naoto Murakami
8,0001_0003,Yutaro Nishida,Yutaro Nishida
9,0001_0004,Tomonori Kawazoe,Tomonori Kawazoe
10,0001_0005,Erina Shimamoto,Erina Shimamoto
11,0001_0006,Takahito Sekimoto,Takahito Sekimoto
12,0001_SPACE_01,,
13,"""0002""",DUNGEON DIRECTOR,DUNGEON DIRECTOR
14,0002_1000,Yohei Fujino,Yohei Fujino
15,0002_SPACE_01,,
16,"""0003""",DUNGEON GAME DESIGN,DUNGEON GAME DESIGN
17,0003_0000,Yuichiro Tsumita,Yuichiro Tsumita
18,0003_0001,Kohei Kawazoe,Kohei Kawazoe
19,0003_0002,Maya Katsurashima,Maya Katsurashima
20,0003_0003,Hidenori Shimizu,Hidenori Shimizu
21,0003_SPACE_01,,
22,"""0004""",SCRIPT DESIGN,SCRIPT DESIGN
23,0004_1000,Naoki Mori,Naoki Mori
24,"""0005""",,
25,0005_1000,Akihito Toda,Akihito Toda
26,0005_SPACE_02,,
27,"""0006""",PROGRAMMING DIRECTOR,PROGRAMMING DIRECTOR
28,0006_1000,Takahiro Okuda,Takahiro Okuda
29,0006_SPACE_01,,
30,"""0007""",PROGRAMMING,PROGRAMMING
31,0007_0000,Kota Wada,Kota Wada
32,0007_0001,Tadashi Sakamoto,Tadashi Sakamoto
33,0007_0002,Hiroki Taguchi,Hiroki Taguchi
34,0007_0003,Corey Bunnell,Corey Bunnell
35,0007_0004,Haruya Uematsu,Haruya Uematsu
36,0007_0005,Masato Orishige,Masato Orishige
37,0007_0006,Haruki Sato,Haruki Sato
38,0007_0007,Naoki Fukada,Naoki Fukada
39,0007_0008,Naoto Takahashi,Naoto Takahashi
40,0007_0009,Takahiro Matsuzawa,Takahiro Matsuzawa
41,0007_0010,Yoshiharu Miyake,Yoshiharu Miyake
42,0007_0011,Yuya Tokaji,Yuya Tokaji
43,0007_0012,Naoki Hirai,Naoki Hirai
44,0007_0013,Hiroki Nakamura,Hiroki Nakamura
45,0007_0014,Daisuke Imoto,Daisuke Imoto
46,0007_SPACE_01,,
47,"""0008""",PROGRAMMING SUPPORT,PROGRAMMING SUPPORT
48,0008_0000,Katsuhisa Sato,Katsuhisa Sato
49,0008_0001,Takahiro Takayama,Takahiro Takayama
50,0008_0002,Kazuya Sumaki,Kazuya Sumaki
51,0008_0003,Takuma Oiso,Takuma Oiso
52,0008_0004,Toshihiro Taguchi,Toshihiro Taguchi
53,0008_SPACE_02,,
54,"""0009""",LEAD ARTISTSLANDSCAPE,LEAD ARTISTSLANDSCAPE
55,0009_1000,Manabu Takehara,Manabu Takehara
56,"""0010""",CHARACTER,CHARACTER
57,0010_1000,Yoshiyuki Oyama,Yoshiyuki Oyama
58,0010_SPACE_01,,
59,"""0011""",RIDING ANIMATION,RIDING ANIMATION
