#,Title,JPja,USen
1,EnemyBokoblin_00,ボコブリン凶暴な敵ではあるが蜂を嫌う性質がある。,"BokoblinsWithout much in the way of clothing to protect them, they tend to
run when menaced by bees."
2,EnemyBokoblin_01,ボコブリン雑食性で肉や魚だけでなく果物も好んで食べる。,"BokoblinsThese omnivorous monsters enjoy not only meat and fish but also
fresh fruit."
3,EnemyChuchu_00,"チュチュ攻撃すると爆発することがある。
遠くから槍などで突けば安全だ。","ChuchusThey will explode when attacked. Try throwing something at them
from a safe distance."
4,EnemyGuardian_00,"ガーディアン古代の兵器であるため現代の武器ではあまりダメージを与えられない。
同じ時代の技術で作られた古代兵装・矢が有効だ。","GuardiansGuardians are ancient, highly advanced weapons, so items from the
current age won't deal much damage. Weapons from their own era
like ancient arrows are better suited to combat them."
5,EnemyLizalfos_00,リザルフォス肉食性で肉や魚だけでなく虫も好んで食べる。,"LizalfosAs carnivores, they eat meat, fish, and even insects."
6,EnemyMoriblin_00,モリブリン肉食性で その巨体を維持するために大量の肉と魚のみを食べる。,"MoblinsThese large carnivores require sizable helpings of meat and fish
to sustain their bulky frames."
7,Tactics_00,"静粛性雨の日は足音が聞こえづらくなる。
敵に気づかれず こっそりと近づく時に有効だ。","Stealth TipIt's harder to hear footsteps when it's raining...making it the
perfect time to sneak up on some monsters!"
8,Tactics_01,"静粛性草むらでしゃがむと敵や獣に気づかれにくくなる。
戦いを避けたり不意をつく時に有効だ。","Stealth TipCrouching in a grassy field makes it harder for monsters and enemies
to detect you. Keep this in mind if you want to ambush enemies or
avoid fighting altogether."
9,Tactics_02,"クリティカルヒット敵や獣の頭部に矢を当てると
通常の倍 ダメージを与えることができる。","Critical HitsHitting a monster or enemy in the head with an arrow deals double
the normal amount of damage."
10,Tactics_03,"馬上戦馬上で武器を使って戦闘する時は
小剣よりも リーチの長い槍や大剣などの方が有利だ。","Horseback BattlesWhen fighting on horseback, weapons with reach such as spears and
big swords have an advantage over short swords and clubs."
11,Tactics_04,"戦闘のコツ戦いの成否は戦略によるものが大きい。
工夫次第では たくさんの敵を まとめて倒すこともできる。","Battle TipThe difference between winning and losing a battle often comes down
to strategy. With the right tactics, you may be able to defeat an entire
group of enemies at once."
12,Tactics_05,"戦闘のコツ拠点の敵は武器を置いて油断していることもある。
こっそり武器を奪ってしまえば楽に倒すことができる。","Battle TipMonsters sometimes leave their weapons lying around their camp.
Sneaking up and stealing these items will make defeating them
much easier!"
13,Tactics_06,"氷の矢敵が多過ぎて太刀打ちできない時は
氷の矢で凍らせてしまえば動きを封じることができる。","Ice ArrowsIf you find yourself surrounded by an overwhelming number of
enemies, try using ice arrows to freeze them in their tracks."
14,Tactics_07,"炎の矢炎の矢を撃ち込んで枯れ草を炎上させれば
まとめて敵を倒すこともできる。","Fire ArrowsUse fire arrows to burn dry grass and defeat multiple enemies
at the same time."
15,Tactics_08,"電気の矢電気の矢を鉄製の物や水面に撃ち込めば
激しく放電して敵を感電させることができる。","Shock ArrowsShoot shock arrows into water or metallic objects to electrify
enemies and monsters."
