#,Title,JPja,USen
1,Album_00,"ハイラル図鑑ウツシエで撮ったものは ハイラル図鑑に登録することができる。 
登録できる物は生き物・魔物・素材・武器・お宝だ。","Hyrule CompendiumImages captured with your Camera are logged in your
Hyrule Compendium. Things that can be logged include wildlife,
monsters, ingredients, and weapons."
2,Horse_00,"馬の登録野生馬を捕まえたら馬宿まで連れて行って登録するとよい。 
自分の愛馬になれば いつでも呼び出せるようになる。","Registering HorsesOnce you've tamed a wild horse, you can register it by taking it
to a stable. Do this, and you'll be able to call your beloved steed
to your side whenever you please."
3,Horse_01,"野生馬を捕まえる背後から しゃがんで静かに近づくのがよい。
馬の真後ろにいる時に気づかれると蹴られてしまうので注意が必要だ。","Wild HorsesIf you see a wild horse you'd like to ride, crouch down so you can
approach it quietly from behind. Take heed, though—if the horse
notices you while you're directly behind it, it will kick you!"
4,Horse_02,"馬を呼ぶ所有馬は マップに居場所が表示されている。
近くにいる馬はで呼ぶと駆けつけてくれる。","Calling Your HorseHorses you have registered are displayed on the map. If one of
them is nearby, call it with and it will come running."
5,Horse_03,"馬のしつけ捕まえたばかりの野生馬は あまり言うことを聞かないが
一緒に冒険すればするほど懐いて賢くなっていく。","Training Your HorseHorses that you have just caught won't listen to much of what you tell
them to do. The more time you spend adventuring with your steed,
the better behaved it will become."
6,Horse_04,"馬をなだめる捕まえた野生馬が暴れて言うことを聞かない時はでなだめるとよい。
繰り返すうちに懐いて素直になっていく。","Calming Your HorseWhen a wild horse that you're riding starts to act out or ignore you,
try soothing it with. If you keep this up, it will become more
obedient over time."
7,Horse_05,"馬の気性気性の荒い馬もいれば臆病な馬もいる。
臆病な馬で敵に向かって行くとひるんでしまう。","Horse TemperamentsJust as some horses have a naturally wild temperament, some horses
are inherently shy. If you try to approach monsters atop a shy steed,
it will become frightened and try to turn away."
8,Horse_06,"愛馬との旅懐いている馬は街道に沿って進んでくれる。
たまには走るのを馬にまかせて あたりを見回してみるのもよい。","The Steed Takes the LeadObedient horses will follow pathways without being told to.
Leave the running up to your loyal steed every once in a while
so you can enjoy the scenery!"
9,Horse_07,"馬の襲歩馬を最高速で走らせることを襲歩という。
襲歩させるには馬を走らせてだ。","GallopingRunning your horse at max speed is called galloping. Press to
increase your horse's speed until it reaches a full gallop."
10,Horse_08,"馬の襲歩馬によって襲歩できる数は違っている。
たくさん襲歩できる野生馬を見つけて愛馬にするのがよい。","GallopingThe number of times you can increase your speed depends on
each horse. If you find a horse with a high number of spurs,
consider keeping it as your companion."
11,Horse_09,馬の気性気性の荒い馬で無理やり速度を上げようとすると振り落とされてしまう。,"Horse TemperamentsTrying to force a rowdy and untamed horse to speed up will likely
result in you being tossed to the ground."
12,Horse_10,"馬の襲歩襲歩で突っ込めば小さな敵を蹴散らすこともできるが
小回りがきかないので注意が必要だ。","GallopingYou can run down smaller monsters atop your galloping steed,
but don't forget that you cannot make quick turns when traveling
this way."
13,Horse_11,"馬の歩法速度が上がるにつれて常歩・速歩・駈歩・襲歩と足の運び方が変わっていく。
で速度を上げで速度を落として馬を操る。","Horse GaitsAs your horse's speed increases—between walk, trot, canter,
and gallop—their gait changes as well. Use to increase
your speed, and use to decrease it."
14,Horse_12,"馬のステップ移動馬を停止させを押しながらで ステップ移動ができる。
怖がって嫌がる場所や狭い場所で立ち往生してしまった時に使うとよい。","Horse StepsWhile totally motionless, if you press and hold, your horse 
will take careful steps in any direction with. Do this if your
horse balks or when you find yourself stuck somewhere."
15,IceMaker_00,アイスメーカー水面に氷の柱を作って上に登ったり物を押し上げることができる。,"CryonisUse this power to create a pillar of ice on the water's surface.
Such pillars can be used for lifting objects or climbing."
16,IceMaker_01,アイスメーカー氷の柱は再び照準を合わせてで壊すことができる。,"CryonisAn ice pillar can be broken by lining your reticle up with it
and pressing."
17,IceMaker_02,"アイスメーカーで自分の足元を狙えば直接氷の柱の上に乗ることができる。
照準に戻したい時は再びだ。","CryonisAim at your feet with to create an ice pillar directly beneath you.
Press again to return to the reticle."
18,Magnetglove_00,マグネキャッチ金属製の物であれば どれだけ重くても持ち上げることができる。,"MagnesisWhen you find a metallic object, you can use this power to lift it up
and move it around freely, regardless of how heavy it is."
19,Magnetglove_01,マグネキャッチ水中に沈んでいる金属製の物を引き上げることができる。,MagnesisUse this power to lift up metallic objects hidden in water.
20,Magnetglove_02,マグネキャッチ重い金属製の物を振り回したり落下させれば攻撃手段にもなる。,"MagnesisTo save wear and tear on your weapons, try swinging heavy metallic
objects around or dropping them on foes' heads."
21,Map_00,"望遠鏡とピン望遠鏡であたりを眺めている時に気になる物や場所を見つけたら
でピンを打ち マップに目印を付けることができる。","Scope TipWhen you find an object or place of interest while looking through
your scope, press to place a pin on your map in that location
so you won't forget about it."
22,Map_01,"マップピンピンは望遠鏡を眺めながら打つだけではなく
シーカーストーンのマップからも打ったり消したりすることができる。","Map PinsNot only can you drop pins while looking through the scope, but
you can also add or delete pins from the map on your Sheikah Slate."
23,Map_02,"マップのスタンプシーカーストーンのマップは スタンプを配置することができる。
気になる物の位置を覚えておきたい時は スタンプの種類を使い分けるとよい。","Map StampsYou can stamp the map on your Sheikah Slate with reminders
of important discoveries, like the location of a cooking pot or
something unusual you want to investigate later."
24,Player_00,"泳ぐコツ泳いでいる時にで加速することができる。
がんばり過ぎて溺れないよう多用は禁物だ。","Swimming TipWhen in the water, you can swim faster using. Be careful not to
overuse this, lest your stamina run low and you drown."
25,Player_01,"崖登りのコツ急いでいる時はでジャンプすると素早く登ることができる。
がんばりゲージの消費が多いので使いどころに注意が必要だ。","Climbing TipIf you're in a hurry to climb somewhere, you can scale a wall quicker
by using. Doing so uses up a lot of stamina, so make sure you
have enough to make it to the top!"
26,Player_02,"崖登りのコツ険しい傾斜ほど がんばりゲージの消費が多い。
より高く登るには緩やかな壁を選ぶのが重要だ。","Climbing TipThe stamina required for climbing increases with the steepness of
the cliff. To climb higher while using less stamina, it's important
to find walls that have a gentler slope."
27,Player_03,"ダッシュを押しながら移動すると走ることができる。
敵の攻撃を避けたり急ぎたい時に有効だ。","SprintingMove around while holding to sprint. This is useful for evading
monster attacks or whenever you're in a hurry."
28,Player_04,"パラセールパラセールがあれば高いところから飛び降りても平気だ。
で見回しながら安全な降下地点を探すとよい。","ParagliderWith the paraglider, you can glide down from high places with ease.
Use to scope out a safe spot to land."
29,Player_05,"魚獲りのコツ泳いでいる時にで加速すれば
魚に逃げられる前に近づくことができる。","Fishing TipIf you use to dash while swimming, you can get up close to a
school of fish before they swim away."
30,Player_06,"崖登りのコツ雨の日は滑るので がんばりの消費が多い。
崖を登るなら晴れの日がよい。","Climbing TipIn rainy weather, cliffs become slippery and may not be possible
to scale. Wait for clear weather before attempting to climb a steep
cliff whenever possible."
31,Player_07,"盾サーフィン盾を構えながら ジャンプしてで盾に乗ることができる。 
盾の耐久力を消耗するが坂を滑り降りて速く移動したい時に有効だ。","Shield SurfingIf you jump while your shield is out, you can climb aboard it
using. This will knock some durability off of the shield, but it's
an effective way to travel downhill quickly!"
32,Player_08,"基本操作冒険に必要な基本操作は
ポーズメニューのシステム画面で いつでも確認することができる。","Basic ControlsTake a peek at your controls at any time by opening the menu
and checking under System."
